"encriptado"	"seg_gol"	"sex_enc"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"fecha_stock"
"11"	"jZxCCBOcpSAF"	"MV"	"Hombre"	"3"	"PORQUE EL SERVICIO ES MALO, TIENE PROBLEMAS, DICE QUE VENDE 40 MEGAS O 50 MEGAS Y NUNCA LLEGA A ESE TOPE, TIENE UNA SERIE DE PROBLEMAS."	"2019_q1"
"12"	"47SM7EdWBtbi"	"Mas"	"Mujer"	"5"	"PORQUE NO ESTOY MUY INSATISFECHA Y NADA, ES UN TÉRMINO Y MEDIO. NADA, ES QUE NO ESTOY INSATISFECHA CON NADA, SOLAMENTE NO ESTOY SATISFECHA, NIVEL MEDIO. (NO DA MÁS INFORMACIÓN)."	"2019_q1"
"13"	"9LmbQ0fQmQFj"	"Mas"	"Hombre"	"7"	"POR QUE ES BUENO, EN TODO, NO SABRÍA DECIRTE, PERO ES BUENO EN TODO. (NO DA MÁS INFORMACIÓN)"	"2019_q1"
"14"	"VjkhEOAI07rw"	"Mas"	"Hombre"	"5"	"PORQUE TENGO PROBLEMA CON EL INTERNET, SE CAE, TENGO PROBLEMA DESDE LA MAÑANA HASTA LAS 3 DE LA TARDE POR AHÍ."	"2019_q1"
"15"	"CqUhjkln5Xay"	"MP"	"Hombre"	"6"	"PORQUE EL SERVICIO ES BASTANTE ROBUSTO EN CUANTO A LA CONECTIVIDAD, NO PRESENTA MAYORES PROBLEMAS, CAÍDAS NI NADA, SE ENTREGA LO QUE SE OFRECE, PERO EL ÚNICO PROBLEMA ES QUE EL PRECIO ES DEMASIADO ELEVADO."	"2019_q1"
"16"	"t0MZ0u59oed2"	"Mas"	"Hombre"	"6"	"POR QUE LA VERDAD EL SERVICIO ES BASTANTE BUENO, ES RÁPIDO Y NO SE CAE."	"2019_q1"
"17"	"xp4lnvXmzfg4"	"Mas"	"Hombre"	"7"	"PORQUE TODO BIEN, ME FUNCIONA TODO BIEN, POR LO GENERAL ME LLEGA BIEN, NO TENGO PROBLEMAS CON EL INTERNET, EL TELÉFONO CUANDO LO INSTALAN ME LLAMAN, O SEA CUMPLE CON LA FUNCIÓN QUE TIENE QUE CUMPLIR, ESTÁ BIEN."	"2019_q1"
"18"	"l5WdcBQmVcR9"	"MV"	"Hombre"	"5"	"PORQUE PAGO TRES  TELEFONOS, Y LAS VECES QUE HE IDO A PAGAR DEBERÍA PAGAR MAXIMO 75 Y EN LOS ÚLTIMOS HEMOS PAGADO 100 Y NADIE ME DA RESPUESTA, HE TRATADO DE DAR DE  BAJA A UN TELEFONO UN PLAN, TENGO QUE LLAMAR A OTRO NUMERO, ATENCIÓN A EMPRESAS, LES DIGO QUE QUIERO DAR DE BAJA, SOLO ESO, ME DICEN QUE NO ME PUEDEN DAR DE BAJA A LOS TELEFONOS."	"2019_q1"
"19"	"sV0wEGIPNhtt"	"MasPrem"	"Mujer"	"6"	"PORQUE ES BASTANTE BUENO EN CUANTO AL SERVICIO QUE TIENE"	"2019_q1"
"20"	"u2lRqAz7XAeY"	"MV"	"Hombre"	"7"	"PORQUE NO HE TENIDO PROBLEMAS CON ELLOS, MUY BIEN, LA VERDAD ES QUE ES LO QUE CONTRATE, FUNCIONA EL INTERNET CON VELOCIDAD ACEPTABLE, NO SE CAE, POR ESO."	"2019_q1"
"21"	"MwtcivJ3Lgiq"	"MV"	"Hombre"	"6"	"POR QUE ES BUENO PERO HAY FALENCIAS EN EL SENTIDO DE LOS COBROS, NO ACTUALIZAN, SOY CLIENTE ANTIGUO Y CONTRATO UN PLAN NUEVO Y LE PAGO SETECIENTOS MIL PESOS DE INTERNET A UNA RED FIJA, Y LE CONTRATO EL MISMO SERVICIO AHORA Y VOY A PAGAR CUATROCIENTOS Y NO ME HACEN LA REBAJA QUE DEBERÍAN HACERME, NO TIENEN UNA TARIFA FIJA A LOS CLIENTES EN LOS PLANES."	"2019_q1"
"22"	"PWHbp2Npo7yg"	"Mas"	"Hombre"	"2"	"PORQUE TODO EL MES HE TENIDO PROBLEMAS CON MI LINEA, SE VA Y VUELVE.  TENGO UN RESTAURANTE, NECESITO AJUSTAR LA LINEA TELEFÓNICA, NUNCA ME DIERON SOLUCIÓN, LEVA MAS DE UN MES Y SIGUE CON LO MISMO."	"2019_q1"
"23"	"uTZqnWLJJ7zn"	"AP"	"Mujer"	"6"	"PORQUE EL TIEMPO DE RESPUESTA CUANDO HAY ALGÚN PROBLEMA QUE TENEMOS CON LA SEÑAL."	"2019_q1"
"24"	"2MvpLhaBGJXe"	"Mas"	"Hombre"	"7"	"POR LA CALIDAD Y LA CONFIABILIDAD (NO DA MÁS INFORMACIÓN)"	"2019_q1"
"25"	"oqTBXfeXRHpA"	"MasPrem"	"Hombre"	"7"	"PORQUE NO HEMOS TENIDO INCONVENIENTES CON EL SERVICIO, HA FUNCIONADO BIEN."	"2019_q1"
"26"	"TMBeJKqsRpy5"	"MasPrem"	"Hombre"	"6"	"PORQUE EL 7 ES OPTIMO, NO ES FALLA TODO BIEN Y DE REPENTE HAY DETALLITOS."	"2019_q1"
"27"	"1H0BEEKEoQVg"	"MV"	"Hombre"	"6"	"PORQUE NO ES PARA UN 7 NI PARA UN 5 EL SERVICIO ES BUENO ES UN POCO BUENO Y NO LE PONDRÍA ALGUNA OTRA CALIFICACIÓN"	"2019_q1"
"28"	"kuOmDqCZZC9j"	"MV"	"Mujer"	"7"	"PORQUE EL SERVICIO SI SE CAE O ALGÚN PROBLEMA EL SERVICIO TÉCNICO ES MUY BUENO Y SE MANTIENE BASTANTE ESTABLE, APARTE SIEMPRE VAN CAMBIANDO EL MATERIAL DE FORMA MODERNA."	"2019_q1"
"29"	"NddT4jL4Q8nj"	"MV"	"Hombre"	"6"	"PORQUE DE REPENTE HAY PROBLEMAS QUE NO SE PUEDEN SOLUCIONAR, UNO HACE CONSULTA SOBRE LA EMPRESA Y EL PROBLEMA QUE TIENE LA COMPAÑÍA NO PUEDEN SOLUCIONARLO, SE DEMORAN EN DAR SOLUCIONES, SE DEMORAN EN DAR RESPUESTA EN CUANTO A QUE NECESITAMOS CAMBIAR LA FIBRA ÓPTICA Y DIJERON QUE SI PERO A LA FINAL DIJERON QUE NO SE PUEDE, SE ARREGLAN PERO NO AL TIRO."	"2019_q1"
"30"	"RiXxI9B24m1o"	"Mas"	"Mujer"	"6"	"PORQUE FUNCIONAN LOS EQUIPOS BIEN"	"2019_q1"
"31"	"qBI1oogMX8GQ"	"Mas"	"Mujer"	"6"	"PORQUE DE REPENTE SE CAE LA PAGINA, PERO HA SIDO EN FORMA INTERMITENTE.  ANTES SE ME CAÍA MAS LA PAGINA, ESTUVE A PUNTO DE CAMBIARME, PERO SE MEJORO ARTO EL SERVICIO PORQUE HICIERON INSTALAR UNA TIERRA Y ESO HIZO QUE SE ARREGLARA EL SERVICIO, AUNQUE TENGO ESA CUENTA HACE MUCHOS AÑOS, LA TIENE MI JEFE EN REALIDAD PERO LA PAGO YO, TRABAJO YO CON ELLA, PEDÍ UNA REBAJA Y NO ME LA HICIERON."	"2019_q1"
"32"	"UZxSry0zbhNf"	"Mas"	"Hombre"	"6"	"PORQUE PODRÍA TENER MEJOR (NO DA MÁS INFORMACIÓN)"	"2019_q1"
"33"	"4z4fks5idLB5"	"MasPrem"	"Hombre"	"6"	"PORQUE CREO QUE TIENEN UN BUEN SERVICIO YA QUE EN GENERAL ME LOS ENVIAN, ME DAN LA INFORMACIÓN QUE YO NECESITO, BASTANTE PRONTO, EN GENERAL SON CONEXIONES BASTANTE ESTABLES, SOLO FUE UNA OPORTUNIDAD DE PROBLEMAS QUE NO FALTAN."	"2019_q1"
"34"	"8zQdcCNDNZuN"	"AP"	"Hombre"	"6"	"POR LA DISPONIBILIDAD DEL SERVICIO."	"2019_q1"
"35"	"y3xb1hvU02BO"	"MasPrem"	"Hombre"	"5"	"PORQUE NO SON EMPRESAS QUE TENGAN UNA POLÍTICA QUE PONGAN AL MEDIO DEL CLIENTE, EN FORMA ABSURDA GENERAN PLANES QUE LE COBRAN MUCHO MÁS BARATO A LOS NUEVOS CLIENTES Y A LOS ANTIGUOS LOS MANTIENEN CON PLANES MÁS CAROS, POR ESO TENEMOS QUE CAMBIARNOS, QUE HACEMOS LOS PEQUEÑOS EMPRESARIOS, CADA CIERTO TIEMPO HACEMOS PORTABILIDAD Y CAMBIANDO DE COMPAÑÍAS PORQUE NOS OFRECEN SERVICIOS MÁS BARATOS, POR ESO LA CALIFICO CON 05."	"2019_q1"
"36"	"yLHVSZ07nJo5"	"Mas"	"Hombre"	"7"	"PORQUE NO HE TENIDO PROBLEMAS, BÁSICAMENTE ESO NADA MÁS Y ES BIEN TRANSPARENTE LA VERDAD EN EL SENTIDO DE QUE NO ME VEO LA NECESIDAD DE CONTACTAR A NADIE PORQUE NORMALMENTE OPERA EN FORMA ESTABLE."	"2019_q1"
"37"	"XsETVuyjTHTx"	"Mas"	"Mujer"	"5"	"PORQUE LA TELEFONÍA ME PARECE QUE ES MALA PORQUE LA FIBRA ÓPTICA NO ES MUY BUENA EL INTERNET ES BUENO PERO LA TELEFONÍA NO TANTO"	"2019_q1"
"38"	"0NbgQiMQRa7c"	"MV"	"Hombre"	"6"	"PORQUE NO HE TENIDO PROBLEMAS, TENGO COMUNICACIÓN, COBERTURA E INTERNET."	"2019_q1"
"39"	"dKsUlQ1mS3NJ"	"MV"	"Mujer"	"6"	"PUES PORQUE SIEMPRE HA ESTADO MAL. (NO DA MÁS INFORMACIÓN)."	"2019_q1"
"40"	"KSoFPrrVY8hX"	"MasPrem"	"Hombre"	"7"	"PORQUE NO HE TENIDO PROBLEMAS FUNCIONA BIEN Y LA VELOCIDAD Y NO SE CAE"	"2019_q1"
"41"	"xXOS0qClb8RV"	"MasPrem"	"Hombre"	"7"	"PORQUE NUNCA HE TENIDO PROBLEMA."	"2019_q1"
"42"	"y8A71JuqfYur"	"MP"	"Hombre"	"1"	"TENGO TODOS LOS SERVICIOS MALOS, HE INSISTIDO CON LA COMPAÑÍA Y HE TENIDO QUE HACER MILES DE MALABARES."	"2019_q1"
"43"	"kdwWABtLtcg7"	"MasPrem"	"Mujer"	"7"	"PORQUE NO HE TENIDO NUNCA UN PROBLEMA Y POR BUEN SERVICIO."	"2019_q1"
"44"	"YfPajjsTS5gx"	"Mas"	"Hombre"	"7"	"FUNCIONA BIEN EL SERVICIO EN CASO DE QUE SE CAIGA ALGUNA COSA O HAYA ALGÚN PROBLEMA LOS TÉCNICOS ACUDEN DURANTE EL DÍA A SOLUCIONAR EL PROBLEMA."	"2019_q1"
"45"	"kCebvrsPN4np"	"Mas"	"Hombre"	"7"	"PORQUE AL TENER FIBRA ÓPTICA LLEGA BIEN Y PUEDE OCUPAR TODA LA BANDA ANCHA, ANTIGUAMENTE TENIA MOVISTAR PERO ERA POR CABLE Y NO FIBRA ÓPTICA ENTONCES ERA MUY MALO."	"2019_q1"
"46"	"PfE8WPBuLPz0"	"AV"	"Hombre"	"5"	"POR INTERMITENCIA A LA CONEXIÓN DE LA ESTABILIDAD DE LA RED Y LA DESCONEXIÓN O  CAÍDAS DE TELEFONÍA FIJA TAMBIÉN."	"2019_q1"
"47"	"2g06igtnsdwT"	"MV"	"Hombre"	"6"	"PORQUE EN GENERAL ESTAMOS SATISFECHOS, EN CUANTO A QUE HEMOS TENIDO DE FORMA ININTERRUMPIDA EL SERVICIO DURANTE TODO ESTE TIEMPO."	"2019_q1"
"48"	"byirlJSLL1AK"	"AV"	"Mujer"	"6"	"PORQUE AHORA HE TENIDO UNOS CUANTOS PROBLEMAS PORQUE NO ME PUEDEN ENVIAR LA FACTURA MENSUAL, COMO SOMOS BOLIVIANOS, NOS DESIGNAN LA PERSONA PARA ENVIAR LA FACTURA Y TODO ESO, EN LA ACTUALIZACIÓN DE DATOS Y AHÍ ES DONDE HE TENIDO LOS PROBLEMAS EN LA FACTURA."	"2019_q1"
"49"	"YPfar3rcuDEg"	"MV"	"Hombre"	"6"	"ES BASTANTE BUENO EN CUANTO AL CONTACTO, COMUNICACIÓN CON EL EJECUTIVO PARA ATENDER REQUERIMIENTOS, PERO HAY VECES QUE HAY QUE ESTAR INSISTIENDO UN POCO CON ALGUNAS SOLICITUDES."	"2019_q1"
"50"	"8KNNMwlgliwT"	"AV"	"Mujer"	"7"	"TIENE BUEN SERVICIO, NO TIENE FALLAS Y LA ATENCIÓN PARA CLIENTES ES BUENA."	"2019_q1"
"51"	"ZzZHnqQhii2F"	"MasPrem"	"Hombre"	"7"	"PORQUE ES BUENO EL SERVICIO,NO TENGO NINGÚN RECLAMO HASTA EL MOMENTO;OSEA ENTREGAN EL SERVICIO QUE NECESITO Y EL PRECIO EL QUE  CORRESPONDE AL MERCADO"	"2019_q1"
"52"	"ebQYhxOBP5ZM"	"MV"	"Mujer"	"5"	"PORQUE EN VARIAS OPORTUNIDADES HEMOS TENIDO PROBLEMAS DE CONECTIVIDAD Y HEMOS CONTACTADO PARA SOLUCIONAR Y NO TENEMOS UN TERCERO PARA QUE NOS SOLUCIONE."	"2019_q1"
"53"	"B7LJEavQ74TI"	"AV"	"Hombre"	"7"	"POR QUE NO HE TENIDO NINGÚN PROBLEMA."	"2019_q1"
"54"	"J0UYW59TEdXn"	"MV"	"Hombre"	"4"	"PORQUE EL SERVICIO TUVO HARTOS PROBLEMAS TUVE HARTOS INCONVENIENTES CUANDO QUISE TRASLADAR EL SERVICIO LA ATENCION NO FUE BUENA ES MUY DIFICIL COMUNICARSE CON ELLOS PARA SOLUCIONAR PROBLEMAS QUE VAYAN UN POCO MAS ALLA DE LOS PROBLEMAS RUTINARIOS"	"2019_q1"
"55"	"oXyZKMHMXrwH"	"MV"	"Hombre"	"4"	"POR QUE RESULTA QUE  EL INTERNED ESTA MUY INTERMITENTE ;LA ÚNICA."	"2019_q1"
"56"	"tbqnzNU5oqBG"	"AV"	"Hombre"	"6"	"PORQUE HEMOS TENIDO CAÍDAS Y FALLAS DEL TELÉFONO, HEMOS QUEDADO UN PAR DE HORAS SIN TELÉFONO FIJO. SIN EMBARGO EL TIEMPO DE RESPUESTA ES MUY RÁPIDO LO CUAL ES MUY BUENO, EL SERVICIO AL CLIENTE ES BUENO, NUESTRA EJECUTIVA COMERCIAL CONTESTA SIEMPRE Y ESTA BIEN PREOCUPADA."	"2019_q1"
"57"	"J5BqI3ZzgMkK"	"MasPrem"	"Hombre"	"6"	"PORQUE HEMOS TENIDO PROBLEMAS EN BASE A SEÑAL Y EN BASE A LA PARTE ADMINISTRATIVA."	"2019_q1"
"58"	"txvqOzMCZ3Ks"	"MP"	"Hombre"	"7"	"PORQUE NO HE TENIDO NINGÚN PROBLEMA Y PORQUE EL SERVICIO QUE OFRECEN ES DE ACUERDO A LO QUE ESTOY PAGANDO."	"2019_q1"
"59"	"8XLiXL47NKEZ"	"AV"	"Hombre"	"3"	"POR EL MAL SERVICIO COMERCIAL Y MAL SERVICIO DE LA FACTURA."	"2019_q1"
"60"	"kupsHdIJ1Awo"	"Mas"	"Hombre"	"7"	"PORQUE ME ATIENDEN RÁPIDO, EN MENOS DE 3 HORAS LLEGAN ACÁ, ES MUY BUENA LA ATENCIÓN, ME SOLUCIONAN EL PROBLEMA RÁPIDO Y LOS TÉCNICOS TIENEN CONOCIMIENTO DEL TRABAJO QUE ESTÁN REALIZANDO."	"2019_q1"
"61"	"JeEFqMq03KtE"	"AV"	"Hombre"	"6"	"PORQUE ES BUENO ES DECIR BRINDAR CIERTA CALIDAD DEL SERVICIO PERO SUELE TENER INCONVENIENTES."	"2019_q1"
"62"	"SMJ6Y3EiRCVb"	"AV"	"Hombre"	"6"	"POR LA CALIDAD Y SERVICIO EN CUANTO A LA COBERTURA DE LAS COMUNICACIONES, PROBLEMAS DE DETECCIÓN DEL SISTEMA, COBERTURA, ESTABILIDAD DE LAS COMUNICACIONES, VELOCIDAD."	"2019_q1"
"63"	"808K3zVMfkhB"	"AP"	"Hombre"	"6"	"PORQUE LA SITUACIÓN ESTA PERCEPTIBLE NO SE DE ELLOS LA RESPUESTA A SUS REQUERIMIENTOS PODRÍA SER MAS RÁPIDA ES ESO PERO EN SI EL SERVICIO ES MUY BUENO"	"2019_q1"
"64"	"85biifDBDnin"	"MP"	"Hombre"	"6"	"PORQUE EN OCASIONES SE CAE EL SISTEMA EN CUANTO AL INTERNET"	"2019_q1"
"65"	"YwmZAHlCxm3j"	"Mas"	"Hombre"	"4"	"POR UNOS PROBLEMAS DE FACTURACIÓN."	"2019_q1"
"66"	"UdcNEfxf2aXJ"	"MP"	"Hombre"	"6"	"PORQUE EL SERVICIO ES BUENO EN ALGUNOS PUNTOS ATENCION TECNICA SERVICIO ES PERMANENTE NO TIENE CAIDAS"	"2019_q1"
"67"	"q00V01qYVbNk"	"MP"	"Hombre"	"5"	"DEBIDO A QUE EL SERVICIO ES MUY BUENO, INTERNET TAMBIÉN ES BUENO, EL TIEMPO DE RESPUESTA ES MEDIANO, PERO LA TELEFONÍA ES MALISIMO."	"2019_q1"
"68"	"XuX3cJSYMBAj"	"AV"	"Mujer"	"7"	"PORQUE NO HE TENIDO PROBLEMAS CON ELLOS, LAS VECES QUE HAY ALGÚN PROBLEMA ME LO RESUELVEN EN EL MOMENTO"	"2019_q1"
"69"	"PBvlwcxzitoe"	"MV"	"Hombre"	"7"	"PORQUE TIENE LOS COSTOS BAJOS Y BUENA CANTIDAD DE MEGAS"	"2019_q1"
"70"	"fB2a4fAVDfPf"	"MV"	"Hombre"	"6"	"PORQUE HE TENIDO MUCHA CONTINUIDAD ES DECIR DISPONIBILIDAD DEL SERVICIO."	"2019_q1"
"71"	"Cphi5Jpyb9xw"	"MP"	"Mujer"	"6"	"PORQUE DEMORAN EN ALGUNAS COSAS EN CUANTO A LA INSTALACIÓN, EL SERVICIO ES SÚPER BUENO."	"2019_q1"
"72"	"z62CnBknhFas"	"MV"	"Hombre"	"1"	"POR QUE EL SERVICIO SIEMPRE TIENE DIFICULTADES, SIEMPRE HEMOS TRATO DE QUE NOS ATIENDAN PARA MEJORAR EL SERVICIO Y NO NOS HAN ECHO NINGUNA VISITA NI NADA PARA MEJORAR LA DISTRIBUCIÓN INTERNA."	"2019_q1"
"73"	"Pp6eVi26Z7LJ"	"Mas"	"Mujer"	"6"	"POR LA ATENCIÓN AL CLIENTE HA SIDO EFECTIVA Y PORQUE NO ME CUESTA COMUNICARME CON ELLOS."	"2019_q1"
"74"	"ZIyCXoi59Vbh"	"MasPrem"	"Mujer"	"6"	"POR EL TEMA EL DE FACTURACIÓN QUE NO ME LLEGA LA FACTURA, QUE AVECES ME LLEGA UN MES SI Y OTRO NO."	"2019_q1"
"75"	"l4Qt6mDl3vIu"	"AV"	"Hombre"	"6"	"TENEMOS BUEN SERVICIO CUMPLEN CON TODO EL TEMA EL PROBLEMA ES EL CAMBIO DE EJECUTIVO NO LO CONOCEMOS PERO EN SI EL SERVICIO ES MUY BUENO"	"2019_q1"
"76"	"RpPPDuZqlNbT"	"MV"	"Hombre"	"6"	"PORQUE SIEMPRE HAY QUE MEJORAR COSAS EN CUANTO AL SERVICIO, EL SEGUIMIENTO MÁS QUE NADA CON EL CLIENTE O ESTAR LLAMANDO SI ES QUE ESTÁN BIEN CON EL SERVICIO, QUIZÁS DAR ALGUNA INFORMACIÓN EN CUANTO A DESPUÉS PORQUE UNO IGUAL HACE CONTRATO A LARGO AÑO CON ELLOS ENTONCES PREOCUPARSE MÁS CON EL CLIENTE."	"2019_q1"
"77"	"UdveylRhLsQ6"	"AP"	"Mujer"	"2"	"PORQUE HAY MUCHAS FALTAS DE SEÑAL, MUCHAS VECES SE CORTA EL INTERNET, HAY QUE LLAMARLOS A ELLOS Y DEMORAN PARA MANDAR AL TÉCNICO ASÍ QUE CAUSA UNA PARADA DE LA FUNCIÓN DEL COLEGIO PORQUE AHORA TODO SE REALIZA POR COMPUTADOR Y NOS COMPLICA, ESTAMOS EN UN SECTOR UN POQUITO NUEVA DE HOSPICIO, ASÍ QUE EN ESTE SECTOR NO HAY MUCHA VARIEDAD DE EMPRESAS A ELEGIR, ENTEL ES EL ÚNICO EN ESTE MOMENTO QUE TIENE EN ESTE SECTOR."	"2019_q1"
"78"	"rskXHjXHYPlt"	"MV"	"Hombre"	"6"	"POR QUE SIEMPRE PUEDE SER MEJOR. LA CONECTIVIDAD EN EL SISTEMA ES MUY DIFÍCIL QUE SE CAIGA."	"2019_q1"
"79"	"DZsBjiSBYeuc"	"MP"	"Hombre"	"6"	"PORQUE DE REPENTE HAY PROBLEMAS QUE SE CAE LA BANDA ANCHA, ESTÁ MUY INTERMITENTE Y HAY QUE SOLUCIONAR EL PROBLEMA ACÁ. DENTRO DE LA NORMA ESTÁ OPTIMO EL SERVICIO."	"2019_q1"
"80"	"Tfg58XtnuvfZ"	"Mas"	"Mujer"	"7"	"PORQUE CUANDO HAY PROBLEMA CON EL SISTEMA MANDAN TÉCNICO INMEDIATAMENTE, APARTE EL SERVICIO LO TENEMOS HACE COMO 10 AÑOS Y LA RAPIDEZ CON QUE LLEGAN LOS TÉCNICOS."	"2019_q1"
"81"	"2EWri3JRFsDT"	"AP"	"Mujer"	"6"	"PORQUE TIENEN LOS PRECIOS MUY ALTOS SIN EMBARGO DAN RESPUESTA RÁPIDAMENTE."	"2019_q1"
"82"	"Td3gmAmytLqB"	"AV"	"Mujer"	"5"	"PORQUE  HE TENIDO FALLAS PERO HAN SABIDO SOLUCIONARLAS"	"2019_q1"
"83"	"JIC5G89Msq8w"	"AP"	"Mujer"	"7"	"PORQUE NO HE TENIDO PROBLEMAS CON EL SERVICIO PRINCIPALMENTE ESO. (NO DA MAS INFORMACIÓN)"	"2019_q1"
"84"	"EGqKNCmdT67L"	"AV"	"Hombre"	"4"	"POR QUE HAY DE COMUNICACIÓN CON LOS EJECUTIVOS."	"2019_q1"
"85"	"GROwIOGmmfca"	"AV"	"Mujer"	"6"	"POR QUE NO HAY SEGUIMIENTO, PERO EL SERVICIO HA FUNCIONADO PERO NO HAY COMO RETROALIMENTACIÓN."	"2019_q1"
"86"	"pQuf1f4U841q"	"MasPrem"	"Mujer"	"7"	"PORQUE OFRECE UN BUEN SERVICIO EN CUANTO A LA VELOCIDAD DEL INTERNET Y POR LO GENERAL HAY CONECTIVIDAD BUENA."	"2019_q1"
"87"	"d6AlucTDTHVE"	"AV"	"Hombre"	"7"	"PORQUE LA VERDAD NUNCA HEMOS TENIDO UN PROBLEMA Y CUANDO LLEGAMOS A TENER UN PROBLEMA QUE SON COMO 2 VECES AL AÑO MÁXIMO HEMOS TENIDO ALGÚN PROBLEMA CON ELLOS, LO SOLUCIONAN INMEDIATAMENTE DENTRO DE LAS 5 HORAS DIRÍA YO, SON SÚPER RÁPIDOS, ENTONCES AL FINAL NO TENEMOS NOSOTROS UN PROBLEMA MAYOR CON ELLOS, AL CONTRARIO SOLUCIÓN INMEDIATA, GENERALMENTE EL ASPECTO TÉCNICO FUNCIONA BIEN EN CUANTO A VELOCIDAD DE INTERNET, VELOCIDAD COMPROMETIDA, LA TELEFONÍA IP QUE ELLOS INSTALARON FUNCIONA BIEN, TODO LO QUE ESTÁ RELACIONADO CON EL CONTRATO ESTÁ FUNCIONANDO BIEN, TODO ANDA BIEN, LO QUE PROMETIERON SE CUMPLE, ASÍ QUE NO HAY PROBLEMA CON ESO COMO EMPRESA."	"2019_q1"
"88"	"F8IRZVdmDu1R"	"AV"	"Mujer"	"6"	"POR QUE TIENE MAS COBERTURA AQUÍ QUE EN CHINA."	"2019_q1"
"89"	"VDzKJgpHSbZc"	"AV"	"Mujer"	"5"	"PORQUE TENGO UN PROBLEMA EN UN POST VENTA YA QUE EN ALGUNAS OPORTUNIDADES NO RESPONDEN COMO YO QUISIERA Y POR PROBLEMAS DE SEÑAL."	"2019_q1"
"90"	"lq055httXirq"	"AP"	"Hombre"	"6"	"PORQUE HEMOS TENIDO CAÍDAS DONDE ESTÁN LAS CAÍDAS DEL SERVICIO Y TOCA ESTAR AVISANDO A ENTEL PARA LA SOLUCIÓN ESO ES LO ÚNICO QUE HA PASADO"	"2019_q1"
"91"	"lTltGrw02Inv"	"AV"	"Hombre"	"5"	"PORQUE CREO QUE PODRÍA SER MEJOR EN CUANTO A VELOCIDAD."	"2019_q1"
"92"	"q1JdRVcqJ5aU"	"AP"	"Hombre"	"5"	"POR QUE TENEMOS PROBLEMAS CON TODOS LOS SERVICIOS. MAS QUE NADA ATRASASOS EN INSTALACIONES, PROBLEMAS CON LA TELEFONÍA FIJA, CON EL INTERNET."	"2019_q1"
