"encriptado"	"seg_gol"	"seg_corfo"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"bench"	"fecha_bench"
"18"	"RiXxI9B24m1o"	"Mas"	"MEDIANA"	6	"PORQUE ES UN BUEN SERVICIO PERO AVECES FALLA PIERDE LA CONEXIÓN CON LA WIFI"	"fijo"	"2019_q1"
"19"	"hZMBoOlsdqij"	"MasPrem"	"MICRO"	6	"EL SERVICIO QUE ME A DADO TE4NGO SATISFACCIONES CON EL NO TENGO PROBLEMAS EN FIN INCLUSO ESTOY EN LA PARTE RURAL ESTOY MUY LEJOS DE LA CIUDAD MAS CERCANA Y NO TENGO PROBLEMA DE SINTONIA EN ABSOLUTO"	"fijo"	"2019_q1"
"20"	"OXE5VPc1TOqF"	"MP"	"MEDIANA"	6	"POR LO CARO, ALTOS COSTOS BANDA ANCHA NO CUMPLE CON LAS EXPECTATIVAS QUE DIJERON QUE ERAN QUE ES INTERNET DEDICADO"	"fijo"	"2019_q1"
"21"	"0mDTkCPi5uAS"	"MasPrem"	"MICRO"	7	"PORQUE TUVE LA COMUNICACIÓN A TRES O CUATRO DÍAS CON UNA FUNCIONARIA Y LAS VECES QUE HE TRATADO ME HA FUNCIONADO DE INMEDIATO Y HE QUEDADO CONFORME. ME AJUSTARON LOS PRECIOS DE LOS SISTEMAS QUE TENÍAMOS CONTRATADOS CON ELLOS ENTONCES CUALQUIER COSA DE ESE TIPO A UNO LO FAVORECE POR SUPUESTO QUE QUEDA CONFORME."	"fijo"	"2019_q1"
"22"	"s76Ru1JchGOZ"	"Mas"	"MICRO"	7	"PORQUE LA ATENCIÓN Y EL SERVICIO ES BUENO."	"fijo"	"2019_q1"
"23"	"KAupE1NXkADB"	"MasPrem"	"PEQUEÑA"	7	"ESTOY MUY SATISFECHA EN TODO"	"fijo"	"2019_q1"
"24"	"aQEk3nxi7iA7"	"Mas"	"MICRO"	5	"PORQUE LLEVO UN CONTRATO DE AÑOS Y HAN COMETIDO ERRORES, HE CONTRATADO CIERTO SERVICIOS DE BLOQUEOS, NO SE ACTIVAN, DE REPENTE ME APARECEN LOS SALDOS MÁS ALTOS QUE LOS QUE CONTRATO Y SI BIEN ME REPONEN EL PORCENTAJE DE DESCUENTO ESO IGUAL NO DEBERÍA OCURRIR."	"fijo"	"2019_q1"
"25"	"NT3Uqo3yTaEj"	"Mas"	"PEQUEÑA"	7	"PORQUE ME HA SALIDO UN BUEN SERVICIO,BUENA COMUNICACIÓN,BUENA ATENCIÓN TÉCNICA, BUENA ASISTENCIA."	"fijo"	"2019_q1"
"26"	"YPfar3rcuDEg"	"MV"	"PEQUEÑA"	5	"LA ATENCIÓN DE POST-VENTA DE LOS EJECUTIVOS SE HA ECHADO A PERDER MUCHO, HACE UN AÑO ATRÁS ERA MUY BUENA Y AHORA ES BASTANTE INEFICIENTE, NO RESPONDEN LOS CORREOS, HAY QUE INSISTIR VARIAS VECES CON LAS SOLICITUDES, HAY QUE ESTAR LLAMANDO PORQUE NO SON MUY ÁGILES EN LAS RESPUESTAS."	"fijo"	"2019_q1"
"27"	"zqVsCFxiNwgT"	"AV"	"GGEE"	6	"PORQUE SIEMPRE PASA ALGO EN QUE POR EJEMPLO A MEDIO DÍA EN PROVIDENCIA NO ENTRAN LAS LLAMADAS, SE CAE UN POCO EL INTERNET, YO CREO QUE ES PORQUE TODO EL MUNDO SE CONECTA A LA HORA DEL ALMUERZO, PERO DEBERÍA SER MAS ESTABLE EL TEMA."	"fijo"	"2019_q1"
"28"	"VDN73DkCi6vL"	"MV"	"PEQUEÑA"	7	"POR QUE NO HEMOS TENIDO MAYORES PROBLEMAS Y CUANTO HEMOS TENIDO PROBLEMAS CON ENTEL SOLUCIONAN MUY RÁPIDO.  NO SÉ, CUANDO HEMOS TENIDO PROBLEMAS CON LA RED INTERMITENTE LLAMAMOS Y EN MENOS DE SEIS HORAS ESTÁ SOLUCIONADO EL TEMA."	"fijo"	"2019_q1"
"29"	"85biifDBDnin"	"MP"	"PEQUEÑA"	6	"SIETE SERÍA COMO PERFECTO Y PERFECTO NO ES. DETALLES, DE REPENTE SE HA CAÍDO EL SISTEMA Y PERO HA SIDO MUY INUSUAL."	"fijo"	"2019_q1"
"30"	"teP9dT0GFFBr"	"Mas"	"MICRO"	4	"PORQUE ESTOY EN LA ZONA RURAL Y HAY MALA CONECTIVIDAD, BAJAR LA INFORMACIÓN ES MUY LENTO Y A VECES NO BAJA LA INFORMACIÓN."	"fijo"	"2019_q1"
"31"	"vAzv4xj1KG1k"	"Mas"	"MICRO"	6	"PORQUE EN TELEFONÍA NO ES MUY BUENO, EN LA SEÑAL DEL TELÉFONO, LOS TELÉFONOS QUE ELLOS PRESTAN LA SEÑALA SE ESCUCHA MAL,ESO ES LO MAS INCOMODO, LO MAS GRAVE."	"fijo"	"2019_q1"
"32"	"PBvlwcxzitoe"	"MV"	"MICRO"	7	"CON ELLOS NO TENEMOS MAYOR PROBLEMA, EN CUANTO A LA SEÑAL."	"fijo"	"2019_q1"
"33"	"PvZyPfdVxYVw"	"MV"	"PEQUEÑA"	5	"PORQUE TUVIMOS PROBLEMAS DE SEÑAL UN TIEMPO ATRÁS Y ESO NOS COSTÓ MUCHO UBICAR LA SEÑAL, UN POCO COMPLICADO, PERO AL FINAL LO SOLUCIONARON."	"fijo"	"2019_q1"
"34"	"9nq3Gwgq0Zl0"	"AP"	"MICRO"	6	"COBERTURA DE INTERNET Y LA CAPACIDAD Y VELOCIDAD; ESPECÍFICAMENTE EN LA VELOCIDAD DE INTERNET Y TAMBIÉN EN LA SEÑAL POR ÁREA TERRITORIAL, UNA EXCELENTE SEÑAL O COBERTURA"	"fijo"	"2019_q1"
"35"	"rskXHjXHYPlt"	"MV"	"GGEE"	6	"PORQUE SON BUENOS PERO PODRÍAN SER MEJOR,SOLUCIONAN LOS PROBLEMAS AL TIRO, LA SEÑAL ES MUY DIFÍCIL QUE SE CAIGA,Y ES UN SERVICIO QUE CUANDO UNO TIENE UN PROBLEMA LO SOLUCIONAN RÁPIDO."	"fijo"	"2019_q1"
"36"	"mW0B5M3kISgT"	"Mas"	"GGEE"	5	"POR LOS COBROS QUE ENVÍAN EXTRAS DE REPENTE HAY QUE ESTAR REVISANDO LAS CUOTAS DETALLADAS Y TODO PORQUE SI UNO NO SE PERCATA DE ESO TE COBRAN COSAS EXTRAS CUANDO UNO VIAJA FUERA DEL PAÍS TODO ESO, Y POR LA MALA ATENCIÓN CUANDO UNO LLAMA NO MANEJAN LOS TEMAS Y TODO"	"fijo"	"2019_q1"
"37"	"bdmXxXfd3dZH"	"MasPrem"	"MICRO"	6	"PORQUE EL SERVICIO FUNCIONA APARENTEMENTE  BIEN PERO EN ALGUNAS OCASIONES CUESTA TOMAR LA CONEXIÓN"	"fijo"	"2019_q1"
"38"	"fStrUY14YqmH"	"MasPrem"	"MICRO"	6	"PORQUE A VECES SE INTERRUMPE EL SERVICIO HAY MOMENTOS QUE SE DESCONTINUA EL SERVICIO SE CAE LA SEÑAL"	"fijo"	"2019_q1"
"39"	"uVrzkOGmziLh"	"MasPrem"	"MICRO"	6	"PORQUE ESTOY CONFORME CON EL SERVICIO, LA VERDAD ES QUE ANTES HABÍAMOS TENIDO PROBLEMAS SE CAÍA MUCHO EL SISTEMA Y DE UN TIEMPO A ESTA PARTE ESO SE HA MEJORADO CONSIDERABLEMENTE."	"fijo"	"2019_q1"
"40"	"cDGVn0nsiPFx"	"AV"	"GGEE"	6	"PORQUE NO TIENEN MÁS FACTIBILIDAD TÉCNICA PARA AMPLIAR LA BANDA ANCHA, LA VELODIDAD, ES LO ÚNICO; ESTAMOS MIGRANDO A UNA EMPRESA PRIVADA."	"fijo"	"2019_q1"
"41"	"IyYEJolu07DW"	"AV"	"PEQUEÑA"	6	"PORQUE NO ES OPTIMO EL SERVICIO CON EL TEMA DE LA COBERTURA MÁS QUE NADA, IGUAL TIENE ALGUNAS FALENCIAS Y POR LA ATENCIÓN, LA ENTREGA DE LOS PRODUCTOS Y LAS SOLICITUDES DE MUNICIPAL."	"fijo"	"2019_q1"
"42"	"VINRHjKflQn5"	"MasPrem"	"PEQUEÑA"	5	"PORQUE MIS PAPAS ESTAN ELLOS TIENEN NEGOCIOS ALLA EN PIPA Y LA COBERTURA NO LLEGA MUY BIEN Y EL INTERNET TAMBIEN NO LLEGA MUY BIEN"	"fijo"	"2019_q1"
"43"	"69CZ4gXch9uU"	"MV"	"PEQUEÑA"	5	"LAS RESOLUCIONES DE SOPORTES BUROCRÁTICAMENTE SON MUY LARGAS PASAN DE UN ESCALAMIENTO PUEDE TOMAR HASTA UNA SEMANA DOS SEMANAS LO CUAL PARA MI ES MUCHO TIEMPO NO MÁS QUE NADA ESO"	"fijo"	"2019_q1"
"44"	"r88yRYWqCfvr"	"AP"	"MEDIANA"	6	"PORQUE ESTAMOS MUY LEJOS NOSOTROS DE TODO EL SISTEMA NO TENEMOS COMUNICACION DIRECTA CON LOS REPRESENTANTES HAY COMUNICACION CON LOS APARATOS PERO NO PRESENCIAL NO HEMOS TENIDO DRAMA CON EL INTERNET SIEMPRE SE MANEJA BIEN NO HAY CORTE NO HAY NADA NO HAY PRESENCIA DE ELLOS PERO HA FUNCIONADO BASTANTE BIEN"	"fijo"	"2019_q1"
"45"	"Y9o2qnfjTaPD"	"Mas"	"MICRO"	7	"PORQUE HA SIDO BUENO EL SERVICIO TANTO EN LA RED DE INTERNET Y EL CELULAR, SIEMPRE HE TENIDO BUENA COBERTURA,PORQUE NO HE TENIDO PROBLEMA CON LA SEÑAL."	"fijo"	"2019_q1"
"46"	"oShp6JrTh47p"	"Mas"	"MICRO"	7	"PORQUE ES BUENA ESPECÍFICAMENTE EN LA PRESTACIÓN DE SERVICIOS."	"fijo"	"2019_q1"
"47"	"Z33MhWmSyx5M"	"MV"	"MICRO"	6	"EVENTUALMENTE TENEMOS ALGUNAS CAÍDAS DEL ENLACE, PORQUE LA TELEFONÍA TAMBIÉN DEPENDE DE QUE TENGAMOS INTERNET, SOLO POR ESO, PORQUE LA ATENCIÓN EN GENERAL ES BUENA YA QUE LOS TIEMPOS DE RESPUESTA SON RAZONABLES."	"fijo"	"2019_q1"
"48"	"sS9bHIXvzErK"	"AP"	"MICRO"	7	"PORQUE EL SERVICIO QUE ENTREGAN ES BUENO RESPONDEN A LOS REQUERIMIENTOS RÁPIDO, NO HE TENIDO PROBLEMAS CON ELLOS."	"fijo"	"2019_q1"
"49"	"ustjrKLclcDp"	"AV"	"GGEE"	6	"PORQUE A VECES SE QUEDA PEGADO EL INTERNET O NO FUNCIONA."	"fijo"	"2019_q1"
"50"	"Ltg04A82RIQ7"	"MasPrem"	"PEQUEÑA"	5	"TENEMOS CELULARES DE EMPRESAS CON ENTEL Y WIFI ENTEL Y LA SEÑAL HAY VECES QUE NO TENGO SEÑAL DE INTERNET POR EJEMPLO EN EL TEMA DE LOS TELEFONOS CUANDO UNO VA HACER ALGUN RECLAMO NO TE DAN SOLUCION AL TIRO"	"fijo"	"2019_q1"
"51"	"ftaK5qbvO3lP"	"MasPrem"	"GGEE"	7	"PORQUE TODO LO QUE UNO NECESITA ESTA Y  TIENEN BUENA COBERTURA."	"fijo"	"2019_q1"
"52"	"sLLlc1YPgJVD"	"Mas"	"MICRO"	5	"PORQUE LA BANDA NO ES MUY ANCHA, PORQUE NO ES MUY RÁPIDA LA COMUNICACIÓN, PORQUE LAS VELOCIDADES SON ERRÁTICAS A DISTINTAS HORAS."	"fijo"	"2019_q1"
"53"	"0MzLuJYtRUnD"	"Mas"	"MICRO"	7	"PORQUE NO HE TENIDO PROBLEMAS CON ELLOS, ENTREGAN UN BUEN SERVICIO (NO DA MÁS INFORMACIÓN)"	"fijo"	"2019_q1"
"54"	"kB8SQDeFVAOx"	"MasPrem"	"MICRO"	6	"PORQUE ENTREGAN UN BUEN SERVICIO EN CUANTO A SERVICIO DE BANDA NUNCA HEMOS TENIDO RECLAMOS CON ELLOS. SERVICIO EN TODOS LO QUE ME ATIENDEN YO TENGO VELOCIDAD ES RÁPIDA, CUANDO TENGO QUE CONSULTAR U OPERAR POR INTERNET SE HACE DE MANERA RÁPIDA Y SIN INCONVENIENTES, NO HE TENIDO CAÍDAS DE SISTEMA."	"fijo"	"2019_q1"
"55"	"uGr8NMPVNVvB"	"AP"	"MEDIANA"	6	"NO TENGO NINGUN PROBLEMA LA CONECTIVIDAD ES RAPIDA NO SE CAEE CASI NUNCA EL SISEMA"	"fijo"	"2019_q1"
"56"	"umZb4wbEsZ5H"	"Mas"	"PEQUEÑA"	6	"PORQUE LA SEÑAL EN EL TEXTOR ES MALA NO ES BUENA Y NO ES UN PROBLEMA DE ENTEL, PERO COMO ES EL QUE ME SUMINISTRA EL SERVICIO OBVIAMENTE QUE LO TENGO QUE EVALUAR NO EN FORMA OPTIMA. PRINCIPALMENTE LA SEÑAL NO ES 100% BUENA, PERO ME DA LA IMPRESIÓN QUE ES EL PRODUCTO DE LA UBICACIÓN DE LA OFICINA."	"fijo"	"2019_q1"
"57"	"Q5b3xCGl4dj4"	"AV"	"MEDIANA"	7	"PORQUE EL SERVICIO FUNCIONA BIEN, EN QUE NO SE CORTA EN QUE NO HAY INTERRUPCIONES LA NAVEGACIÓN ES CONSTANTE, NO HEMOS TENIDO PROBLEMA DESDE QUE INSTALAMOS LA FIBRA ÓPTICA."	"fijo"	"2019_q1"
"58"	"JJTosg5xz1hk"	"Mas"	"PEQUEÑA"	5	"PORQUE NO TIENEN ALGUNAS COSAS QUE YO NECESITO Y COMO SOMOS UNA EMPRESA CHICA NO ME PRESTAN MUCHA ATENCIÓN"	"fijo"	"2019_q1"
"59"	"gDnF0WSXaSU6"	"MasPrem"	"PEQUEÑA"	7	"PORQUE NO TENGO NINGUN PROBLEMA CON ELLOS SIEMPRE QUE VAMOS ME ATIENDEN SIEMPRE QUE NECESITO UN REQUERIMIENTO ME ATIENDEN"	"fijo"	"2019_q1"
"60"	"jdwuyhir6bgM"	"MasPrem"	"PEQUEÑA"	7	"PORQUE NUNCA HE TENIDO PROBLEMAS, ME HAN ATENDIDO BIEN ESPECÍFICAMENTE CUANDO HE TENIDO QUE IR A LA SUCURSAL."	"fijo"	"2019_q1"
"61"	"PN1femEQX0wf"	"MasPrem"	"MICRO"	5	"PORQUE LAS PERSONA QUE SE INCORPORAN A ENTEL TIENEN MAS BENEFICIOS QUE EL BANCO, EN LA ENTREGA DE TELÉFONOS MEJORES PLANES QUE SEAN PARA IR CAMBIÁNDOLOS  Y SIEMPRE HE RECLAMADO LO MISMO PARA LA EMPRESA."	"fijo"	"2019_q1"
"62"	"IIAlVl6jykYm"	"MasPrem"	"PEQUEÑA"	5	"PORQUE NO ME DA TODO LO QUE NECESITO; NECESITO SOPORTE"	"fijo"	"2019_q1"
"63"	"9s3tQdQFOcVC"	"Mas"	"PEQUEÑA"	6	"PORQUE TIENE UN BUEN SERVICIO PERO HAY VECES QUE ALGO FALLA, FALLAS EN CONEXIÓN EL INTERNET SE PONE LENTO"	"fijo"	"2019_q1"
"64"	"rRLUJ0S8VpAw"	"MP"	"MEDIANA"	4	"PORQUE EL SERVICIO TÉCNICO ES LENTO EN CUANTO A REPARAR EL SERVICIO CUANDO SE CAE Y LA COBERTURA EN LAS LINEAS MÓVILES A VECES NO TENGO SEÑAL."	"fijo"	"2019_q1"
"65"	"AnUbzKqfZlSq"	"MP"	"PEQUEÑA"	6	"YO ESTOY SATISFECHA,SEGUIR MEJORANDO EL INTERNET FUERA DEL BARRIO URBANO, O SEA EN EL CAMPO. (NO DA MÁS INFORMACIÓN)"	"fijo"	"2019_q1"
"66"	"1t0YLjwYzI2S"	"AP"	"GGEE"	6	"HAY OCASIONES EN QUE EL INTERNET SE PONE LENTO EN LA VELOCIDAD DEL INTERNET."	"fijo"	"2019_q1"
"67"	"DtCy7UqYCnfy"	"AV"	"GGEE"	7	"PORQUE TIENE UN BUEN SERVICIO EN INTERNET Y TELEFONIA"	"fijo"	"2019_q1"
"68"	"BNozrpL3z0YV"	"Mas"	"PEQUEÑA"	6	"ES QUE UNA BUENA EVALUACIÓN, TIENE BUENA COBERTURA; EN QUE PUEDO LLAMAR POR TELÉFONO A VARIAS PARTES DE CHILE"	"fijo"	"2019_q1"
"69"	"stUV7G9EGnes"	"AP"	"MEDIANA"	7	"PORQUE TENEMOS BUEN SERVICIO, EN LA TELEFONÍA FIJA Y EL INTERNET."	"fijo"	"2019_q1"
"70"	"ENm0ijIBOJI6"	"MasPrem"	"GGEE"	5	"POR LA CALIDAD DEL SERVICIO QUE NOS ENTREGA EN POST VENTA Y TODO LO QUE SEA CON ESTO, ES DECIR CUESTA COMUNICARSE ES IMPOSIBLE, HAY QUE TERMINAR EN SUS OFICINAS PARA SOLUCIONAR LOS PROBLEMAS PORQUE VÍA TELÉFONO ES IMPOSIBLE."	"fijo"	"2019_q1"
"71"	"IjCvaENLTyA4"	"MasPrem"	"PEQUEÑA"	6	"PORQUE ES BUENO ESTABILIDAD PERO SI HAY TEMAS DE VELOCIDAD SERVICIO TECNICO ATENCION AL CLIENTE"	"fijo"	"2019_q1"
"72"	"ro61m36mY47N"	"AP"	"MEDIANA"	5	"POR LA RESPUESTA A LOS REQUERIMIENTOS CUANDO SE TRATA DE CONTACTAR A ENTEL A CUALQUIER COSA ES EXTRAORDINARIAMENTE BUROCRATICO LENTO"	"fijo"	"2019_q1"
"73"	"kyXXeFviTX5a"	"MasPrem"	"PEQUEÑA"	3	"POR SERVICIOS DE ATENCIÓN AL CLIENTE HAY QUE IR A LAS OFICINAS ES EMBORROZO CUALQUIER TRAMITE"	"fijo"	"2019_q1"
"74"	"2ZHLbBrVhFTZ"	"Mas"	"PEQUEÑA"	7	"PORQUE NUNCA HA PRESENTADO PROBLEMAS EL SERVICIO SIEMPRE HA SIDO CONTINUO Y SIN DIFICULTADES, EN LA NAVEGACIÓN NUNCA HEMOS TENIDO PROBLEMAS DE CORTE O LENTITUD DEL SERVICIO; LA FORMA EN QUE UNO SE VINCULA CON ELLOS A TRAVEZ DE PLATAFORMA, TELEFÓNICAMENTE SIEMPRE HAY RESPUESTA PARA CONSULTAS."	"fijo"	"2019_q1"
"75"	"6e2g3Qn6jk3G"	"MasPrem"	"PEQUEÑA"	5	"DE REPENTE EL INTERNET SE CAE."	"fijo"	"2019_q1"
"76"	"KMPI1whRfXk8"	"AV"	"GGEE"	7	"PORQUE ME HAN PRESTADO EL SERVICIO COMO CORRESPONDE, ME DAN EL SOPORTE INMEDIATO, HE TENIDO BUENOS PRECIOS."	"fijo"	"2019_q1"
"77"	"e2oDC2MGUeSl"	"MasPrem"	"PEQUEÑA"	4	"SE CAE POR CIERTO TIEMPO, SE DESCONECTA EL INTERNET (NO DA MAS INFORMACIÓN)"	"fijo"	"2019_q1"
"78"	"kR0x32NH4kzK"	"MasPrem"	"PEQUEÑA"	6	"LA RESPUESTA DEL SERVICIO UN POCO LENTA CORTAN MUCHAS VECES EL INTERNET POR COSAS COMO DE ÁREAS Y HAY LENTA RECUPERACIÓN DEL SERVICIO NO SOLO ESA"	"fijo"	"2019_q1"
"79"	"6hqpBPc67UNv"	"MP"	"PEQUEÑA"	6	"CUANDO SE NECESITA HACER UNA CONSULTA LO COMUNICAN CON UNA OPERADORA CON VARIAS OPCIONES Y LA DEMORAN"	"fijo"	"2019_q1"
"80"	"Pl2kcIbwNlU7"	"MP"	"MEDIANA"	4	"PORQUE ESTAMOS CON MUCHOS PROBLEMAS DE CONECTIVIDAD EN QUE SE PIERDE LA SEÑAL, DE REPENTE NO TENEMOS LA CAPACIDAD COMPLETA PARA RECIBIR"	"fijo"	"2019_q1"
"81"	"3XNbcxaT9OHU"	"MP"	"MICRO"	7	"PORQUE ES UN BUEN SERVICIO Y UNA BUENA ATENCION LLEVAMOS 9 AÑOS CON ENTEL Y YO CREO QUE ESO LO DICE TODO"	"fijo"	"2019_q1"
"82"	"8zbftfDFpd1y"	"MasPrem"	"PEQUEÑA"	5	"PORQUE SE SUPONE QUE TENGO UN BUEN PLAN DE INTERNET Y SIEMPRE TENGO FALLAS LA SEÑAL NO ESTA SIEMPRE AL FULL A LO QUE YO TENGO CONTRATADO SE CAE DE REPENTE SE DEMORA EN ENTREGARME 100 POR CIENTO EL INTERNET"	"fijo"	"2019_q1"
"83"	"FyxRs8g8r5PQ"	"Mas"	"MICRO"	7	"PORQUE ME PRESTA UN BUEN SERVICIO, QUE ES BARATO Y BUENO (NO DA MAS INFORMACIÓN)"	"fijo"	"2019_q1"
"84"	"tlqavTV0Wo0z"	"MP"	"PEQUEÑA"	7	"PORQUE ME GUSTA MUCHO EL SERVICIO, EN WIFI SIEMPRE TENGO COBERTURA, HAY BUENAS PROMOCIONES, Y ATIENDEN BIEN, EN COMPARACIÓN A OTRAS COMPAÑÍAS"	"fijo"	"2019_q1"
"85"	"wdCSALg963zt"	"MasPrem"	"PEQUEÑA"	7	"PORQUE SON EFICIENTES EN EL SERVICIO QUE ME PRESTA, NUNCA HE TENIDO PROBLEMAS Y ME GUSTA."	"fijo"	"2019_q1"
"86"	"8le32cdQ6iy0"	"MasPrem"	"MICRO"	6	"PORQUE TIENE TODOS LOS SERVICIOS QUE YO TENGO ES UN POCO MAS DIFÍCIL ACCEDER ALGÚN CAMBIO PERO ESTA TODO BIEN, EN CONTINUIDAD DEL SERVICIO, ENVIÓ DE LAS CUENTAS Y POR EL PRECIO DE LOS SERVICIOS QUE ME BRINDAN."	"fijo"	"2019_q1"
"87"	"o8CtYQQ6luPC"	"Mas"	"PEQUEÑA"	7	"PORQUE ME FUNCIONA TODO BIEN, ME FUNCIONA EL INTERNET, EL TELÉFONO, NO TENGO MAYORES PROBLEMAS ENTONCES CONSIDERO QUE EL SERVICIO QUE ME PRESTAN ES BUENO.(NO DA MÁS INFORMACIÓN)"	"fijo"	"2019_q1"
"88"	"mePR9OFMHjeJ"	"MasPrem"	"PEQUEÑA"	4	"PORQUE CADA CIERTO TIEMPO HAY QUE ESTAR LLAMANDO PARA QUE HA UNO LE MEJOREN EL PLAN YO CONSIDERO QUE SOY UN BUEN CLIENTE PAGO AL DÍA Y SI YO NO LLAMO A MI LA EMPRESA NO ME LLAMA PARA OFRECERME ALGO BUENO PARA RETENERME COMO CLIENTE TENGO QUE ESTAR LLAMANDO YO PARA DECIRLE ME ESTÁN LLAMANDO DE TAL EMPRESA ME VOY A CAMBIAR HA NO SE CAMBIE LE VAMOS A HACER TAL DESCUENTO PERO MIENTRAS YO NO LLAMO A MI NADIE ME LLAMA PARA OFRECERME USTED ES BUEN CLIENTE LE VOY A OFRECER UN BUEN DESCUENTO NADIE."	"fijo"	"2019_q1"
"89"	"NEAT09utSSns"	"AP"	"MEDIANA"	7	"PORQUE NO HEMOS TENIDO NINGÚN PROBLEMA CON ELLOS."	"fijo"	"2019_q1"
