"V1"	"encriptado"	"seg_gol"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"periodo"
"54"	54	"kB8SQDeFVAOx"	"MasPrem"	"6"	"PORQUE ENTREGAN UN BUEN SERVICIO EN CUANTO A SERVICIO DE BANDA NUNCA HEMOS TENIDO RECLAMOS CON ELLOS. SERVICIO EN TODOS LO QUE ME ATIENDEN YO TENGO VELOCIDAD ES RÁPIDA, CUANDO TENGO QUE CONSULTAR U OPERAR POR INTERNET SE HACE DE MANERA RÁPIDA Y SIN INCONVENIENTES, NO HE TENIDO CAÍDAS DE SISTEMA."	"2019_q1"
"55"	55	"uGr8NMPVNVvB"	"AP"	"6"	"NO TENGO NINGUN PROBLEMA LA CONECTIVIDAD ES RAPIDA NO SE CAEE CASI NUNCA EL SISEMA"	"2019_q1"
"56"	56	"umZb4wbEsZ5H"	"Mas"	"6"	"PORQUE LA SEÑAL EN EL TEXTOR ES MALA NO ES BUENA Y NO ES UN PROBLEMA DE ENTEL, PERO COMO ES EL QUE ME SUMINISTRA EL SERVICIO OBVIAMENTE QUE LO TENGO QUE EVALUAR NO EN FORMA OPTIMA. PRINCIPALMENTE LA SEÑAL NO ES 100% BUENA, PERO ME DA LA IMPRESIÓN QUE ES EL PRODUCTO DE LA UBICACIÓN DE LA OFICINA."	"2019_q1"
"57"	57	"Q5b3xCGl4dj4"	"AV"	"7"	"PORQUE EL SERVICIO FUNCIONA BIEN, EN QUE NO SE CORTA EN QUE NO HAY INTERRUPCIONES LA NAVEGACIÓN ES CONSTANTE, NO HEMOS TENIDO PROBLEMA DESDE QUE INSTALAMOS LA FIBRA ÓPTICA."	"2019_q1"
"58"	58	"JJTosg5xz1hk"	"Mas"	"5"	"PORQUE NO TIENEN ALGUNAS COSAS QUE YO NECESITO Y COMO SOMOS UNA EMPRESA CHICA NO ME PRESTAN MUCHA ATENCIÓN"	"2019_q1"
"59"	59	"gDnF0WSXaSU6"	"MasPrem"	"7"	"PORQUE NO TENGO NINGUN PROBLEMA CON ELLOS SIEMPRE QUE VAMOS ME ATIENDEN SIEMPRE QUE NECESITO UN REQUERIMIENTO ME ATIENDEN"	"2019_q1"
"60"	60	"jdwuyhir6bgM"	"MasPrem"	"7"	"PORQUE NUNCA HE TENIDO PROBLEMAS, ME HAN ATENDIDO BIEN ESPECÍFICAMENTE CUANDO HE TENIDO QUE IR A LA SUCURSAL."	"2019_q1"
"61"	61	"PN1femEQX0wf"	"MasPrem"	"5"	"PORQUE LAS PERSONA QUE SE INCORPORAN A ENTEL TIENEN MAS BENEFICIOS QUE EL BANCO, EN LA ENTREGA DE TELÉFONOS MEJORES PLANES QUE SEAN PARA IR CAMBIÁNDOLOS  Y SIEMPRE HE RECLAMADO LO MISMO PARA LA EMPRESA."	"2019_q1"
"62"	62	"IIAlVl6jykYm"	"MasPrem"	"5"	"PORQUE NO ME DA TODO LO QUE NECESITO; NECESITO SOPORTE"	"2019_q1"
"63"	63	"9s3tQdQFOcVC"	"Mas"	"6"	"PORQUE TIENE UN BUEN SERVICIO PERO HAY VECES QUE ALGO FALLA, FALLAS EN CONEXIÓN EL INTERNET SE PONE LENTO"	"2019_q1"
"64"	64	"rRLUJ0S8VpAw"	"MP"	"4"	"PORQUE EL SERVICIO TÉCNICO ES LENTO EN CUANTO A REPARAR EL SERVICIO CUANDO SE CAE Y LA COBERTURA EN LAS LINEAS MÓVILES A VECES NO TENGO SEÑAL."	"2019_q1"
"65"	65	"AnUbzKqfZlSq"	"MP"	"6"	"YO ESTOY SATISFECHA,SEGUIR MEJORANDO EL INTERNET FUERA DEL BARRIO URBANO, O SEA EN EL CAMPO. (NO DA MÁS INFORMACIÓN)"	"2019_q1"
"66"	66	"1t0YLjwYzI2S"	"AP"	"6"	"HAY OCASIONES EN QUE EL INTERNET SE PONE LENTO EN LA VELOCIDAD DEL INTERNET."	"2019_q1"
"67"	67	"DtCy7UqYCnfy"	"AV"	"7"	"PORQUE TIENE UN BUEN SERVICIO EN INTERNET Y TELEFONIA"	"2019_q1"
"68"	68	"BNozrpL3z0YV"	"Mas"	"6"	"ES QUE UNA BUENA EVALUACIÓN, TIENE BUENA COBERTURA; EN QUE PUEDO LLAMAR POR TELÉFONO A VARIAS PARTES DE CHILE"	"2019_q1"
"69"	69	"stUV7G9EGnes"	"AP"	"7"	"PORQUE TENEMOS BUEN SERVICIO, EN LA TELEFONÍA FIJA Y EL INTERNET."	"2019_q1"
"70"	70	"ENm0ijIBOJI6"	"MasPrem"	"5"	"POR LA CALIDAD DEL SERVICIO QUE NOS ENTREGA EN POST VENTA Y TODO LO QUE SEA CON ESTO, ES DECIR CUESTA COMUNICARSE ES IMPOSIBLE, HAY QUE TERMINAR EN SUS OFICINAS PARA SOLUCIONAR LOS PROBLEMAS PORQUE VÍA TELÉFONO ES IMPOSIBLE."	"2019_q1"
"71"	71	"IjCvaENLTyA4"	"MasPrem"	"6"	"PORQUE ES BUENO ESTABILIDAD PERO SI HAY TEMAS DE VELOCIDAD SERVICIO TECNICO ATENCION AL CLIENTE"	"2019_q1"
"72"	72	"ro61m36mY47N"	"AP"	"5"	"POR LA RESPUESTA A LOS REQUERIMIENTOS CUANDO SE TRATA DE CONTACTAR A ENTEL A CUALQUIER COSA ES EXTRAORDINARIAMENTE BUROCRATICO LENTO"	"2019_q1"
"73"	73	"kyXXeFviTX5a"	"MasPrem"	"3"	"POR SERVICIOS DE ATENCIÓN AL CLIENTE HAY QUE IR A LAS OFICINAS ES EMBORROZO CUALQUIER TRAMITE"	"2019_q1"
"74"	74	"2ZHLbBrVhFTZ"	"Mas"	"7"	"PORQUE NUNCA HA PRESENTADO PROBLEMAS EL SERVICIO SIEMPRE HA SIDO CONTINUO Y SIN DIFICULTADES, EN LA NAVEGACIÓN NUNCA HEMOS TENIDO PROBLEMAS DE CORTE O LENTITUD DEL SERVICIO; LA FORMA EN QUE UNO SE VINCULA CON ELLOS A TRAVEZ DE PLATAFORMA, TELEFÓNICAMENTE SIEMPRE HAY RESPUESTA PARA CONSULTAS."	"2019_q1"
"75"	75	"6e2g3Qn6jk3G"	"MasPrem"	"5"	"DE REPENTE EL INTERNET SE CAE."	"2019_q1"
"76"	76	"KMPI1whRfXk8"	"AV"	"7"	"PORQUE ME HAN PRESTADO EL SERVICIO COMO CORRESPONDE, ME DAN EL SOPORTE INMEDIATO, HE TENIDO BUENOS PRECIOS."	"2019_q1"
"77"	77	"e2oDC2MGUeSl"	"MasPrem"	"4"	"SE CAE POR CIERTO TIEMPO, SE DESCONECTA EL INTERNET (NO DA MAS INFORMACIÓN)"	"2019_q1"
"78"	78	"kR0x32NH4kzK"	"MasPrem"	"6"	"LA RESPUESTA DEL SERVICIO UN POCO LENTA CORTAN MUCHAS VECES EL INTERNET POR COSAS COMO DE ÁREAS Y HAY LENTA RECUPERACIÓN DEL SERVICIO NO SOLO ESA"	"2019_q1"
"79"	79	"6hqpBPc67UNv"	"MP"	"6"	"CUANDO SE NECESITA HACER UNA CONSULTA LO COMUNICAN CON UNA OPERADORA CON VARIAS OPCIONES Y LA DEMORAN"	"2019_q1"
"80"	80	"Pl2kcIbwNlU7"	"MP"	"4"	"PORQUE ESTAMOS CON MUCHOS PROBLEMAS DE CONECTIVIDAD EN QUE SE PIERDE LA SEÑAL, DE REPENTE NO TENEMOS LA CAPACIDAD COMPLETA PARA RECIBIR"	"2019_q1"
"81"	81	"3XNbcxaT9OHU"	"MP"	"7"	"PORQUE ES UN BUEN SERVICIO Y UNA BUENA ATENCION LLEVAMOS 9 AÑOS CON ENTEL Y YO CREO QUE ESO LO DICE TODO"	"2019_q1"
"82"	82	"8zbftfDFpd1y"	"MasPrem"	"5"	"PORQUE SE SUPONE QUE TENGO UN BUEN PLAN DE INTERNET Y SIEMPRE TENGO FALLAS LA SEÑAL NO ESTA SIEMPRE AL FULL A LO QUE YO TENGO CONTRATADO SE CAE DE REPENTE SE DEMORA EN ENTREGARME 100 POR CIENTO EL INTERNET"	"2019_q1"
"83"	83	"FyxRs8g8r5PQ"	"Mas"	"7"	"PORQUE ME PRESTA UN BUEN SERVICIO, QUE ES BARATO Y BUENO (NO DA MAS INFORMACIÓN)"	"2019_q1"
"84"	84	"tlqavTV0Wo0z"	"MP"	"7"	"PORQUE ME GUSTA MUCHO EL SERVICIO, EN WIFI SIEMPRE TENGO COBERTURA, HAY BUENAS PROMOCIONES, Y ATIENDEN BIEN, EN COMPARACIÓN A OTRAS COMPAÑÍAS"	"2019_q1"
"85"	85	"wdCSALg963zt"	"MasPrem"	"7"	"PORQUE SON EFICIENTES EN EL SERVICIO QUE ME PRESTA, NUNCA HE TENIDO PROBLEMAS Y ME GUSTA."	"2019_q1"
"86"	86	"8le32cdQ6iy0"	"MasPrem"	"6"	"PORQUE TIENE TODOS LOS SERVICIOS QUE YO TENGO ES UN POCO MAS DIFÍCIL ACCEDER ALGÚN CAMBIO PERO ESTA TODO BIEN, EN CONTINUIDAD DEL SERVICIO, ENVIÓ DE LAS CUENTAS Y POR EL PRECIO DE LOS SERVICIOS QUE ME BRINDAN."	"2019_q1"
"87"	87	"o8CtYQQ6luPC"	"Mas"	"7"	"PORQUE ME FUNCIONA TODO BIEN, ME FUNCIONA EL INTERNET, EL TELÉFONO, NO TENGO MAYORES PROBLEMAS ENTONCES CONSIDERO QUE EL SERVICIO QUE ME PRESTAN ES BUENO.(NO DA MÁS INFORMACIÓN)"	"2019_q1"
"88"	88	"mePR9OFMHjeJ"	"MasPrem"	"4"	"PORQUE CADA CIERTO TIEMPO HAY QUE ESTAR LLAMANDO PARA QUE HA UNO LE MEJOREN EL PLAN YO CONSIDERO QUE SOY UN BUEN CLIENTE PAGO AL DÍA Y SI YO NO LLAMO A MI LA EMPRESA NO ME LLAMA PARA OFRECERME ALGO BUENO PARA RETENERME COMO CLIENTE TENGO QUE ESTAR LLAMANDO YO PARA DECIRLE ME ESTÁN LLAMANDO DE TAL EMPRESA ME VOY A CAMBIAR HA NO SE CAMBIE LE VAMOS A HACER TAL DESCUENTO PERO MIENTRAS YO NO LLAMO A MI NADIE ME LLAMA PARA OFRECERME USTED ES BUEN CLIENTE LE VOY A OFRECER UN BUEN DESCUENTO NADIE."	"2019_q1"
"89"	89	"NEAT09utSSns"	"AP"	"7"	"PORQUE NO HEMOS TENIDO NINGÚN PROBLEMA CON ELLOS."	"2019_q1"
"90"	90	"Npn6iY52csbk"	"MV"	"4"	"PORQUE EL SERVICIO ES DEFICIENTE, TODO LO QUE ES OFERTAS."	"2019_q1"
"91"	91	"tDrRup8T9Wob"	"MP"	"6"	"PORQUE TENEMOS PROBLEMAS CON INTERNET EN QUE SE CAE A CADA RATO ES LENTO ESO ES LO QUE TENGO QUE LLAMAR Y VER QUE ALTERNATIVAS ME OFRECEN PARA MEJORAR EL SERVICIO"	"2019_q1"
"92"	92	"0PZXaIZhdWTs"	"MV"	"2"	"HEMOS TENIDO UN MAL SERVICIO EN TODO, EN VARIAS COSAS, TEMAS DE ESTABILIDAD, RESOLUCIÓN DE PROBLEMAS, EN TEMAS DE CELULARES, VARIAS COSAS."	"2019_q1"
"93"	93	"TvtbjC4dRAlY"	"MasPrem"	"6"	"PORQUE TIENE UN BUEN SERVICIO EN CUALQUIER MINUTO QUE TENEMOS PROBLEMA RESPONDEN AL TIRO, EN GENERAL CUANDO UNO SE CONECTA TELEFÓNICAMENTE LLEGA DIRECTO A LA GENTE QUE NECESITA CONTESTAR NO TE DERIVAN A UNA CENTRALES TELEFÓNICAS EN COLOMBIA EN ESE SENTIDO"	"2019_q1"
"94"	94	"Rehz2hBgaRme"	"Mas"	"7"	"PORQUE NUNCA HE TENIDO NINGÚN PROBLEMA DESDE QUE ESTOY OPERANDO CON ELLOS."	"2019_q1"
