"encriptado"	"seg_gol"	"seg_corfo"	"principal compañía"	"filtro1 - filtro 1: ¿es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"p7 - 7. y en lo que respecta a servicio a clientes, en escala de 1 a 7 ¿cuán satisfecho está ud . {#principal}{#princ_text}?"	"p9__1 - a) precio en relación al mercado (competitividad) :"	"p9__2 - b) competitividad de planes en cuanto a minutos :"	"p9__1 - contratación de nuevos servicios :"	"p10__6 - 'consultas de la factura, como fecha pago, montos, detalles de cobros' :"	"p16 - facturación: 16. en cuanto a la facturación de todos los servicios móviles que tiene con {#principal}, en una escala de 1 a 7 ¿cómo evalúa el proceso de facturación de {#principal} en general?"	"p17 - problemas 17. en los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#principal}?"	"p15 - 15. ¿qué problema ha tenido? sondear literal"	"p19 - 19. ¿comunicó este problema a {#principal}?"	"p20 - 20. ¿y fue solucionado su problema?"	"18. utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿qué tan dispuesto estaría usted a continuar con {#principal}{#princ_text}?"	"p24 - 24. en base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿qué tan dispuesto estaría usted a recomendar a {#principal}?"	"p_3a - 3) 3) para servicios fijos, ¿hace cuánto tiempo que tiene esta cuenta con {#principal}{#princ_text}? años"	"p_3b - meses"	"p_4 - 4) ¿ pensando en su relación con {#principal}{#princ_text} ¿tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"	"bench"	"fecha_bench"
"11"	"nStwxuKPrHcv"	"MasPrem"	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE LA SEÑAL CUANDO SE VA POR CARRETERA LA SEÑAL SE ME HA COMPLICADO Y NO HE PODIDO OPTIMIZAR LA SEÑAL,ANTES ERA MUY BUENA."	"5"	"5"	"7"	"Si"	"7"	"7"	"Sí"	"LO DE LA CONECTIVIDAD,ENTRO AL SISTEMA Y SE ME CAE O NO ME LLEGA LA RED COMPLETA."	"Sí"	"Está en trámite"	7	7	5	3	"No"	"fijo"	"2019_q1"
"12"	"jxNbtwoJtBbQ"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"SIEMPRE TIENE UN PROBLEMA DE CONECTIVIDAD EN ALGUNOS MOMENTO Y LA RESPUESTA NUNCA ES RÁPIDA"	"5"	"4"	"4"	"Si"	NA	"5"	"Sí"	"COMUNICACIONAL INTERNET DE VOZ Y DE INTERNE Y ESO"	"Sí"	"No"	3	4	7	3	"Sí"	"fijo"	"2019_q1"
"13"	"RH64M14wv14C"	"MasPrem"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE DE REPENTE SE CAE, EL SERVICIO SE CAE."	"6"	"6"	"6"	"No"	NA	"7"	"No"	NA	NA	NA	6	10	3	0	"No"	"fijo"	"2019_q1"
"14"	"cERhkmM3qXbd"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"BUENO BASICAMENTE EL PROBLEMA ES DE REPENTE SEÑAL PORQUE YO ANDO MAS PRACTICAMENTE PARTES RURALES Y HAY PARTES QUE NO HAY COBERTURA BASICAMENTE ESO"	"6"	"6"	"5"	"No"	"6"	"7"	"No"	NA	NA	NA	7	8	1	6	"Sí"	"fijo"	"2019_q1"
"15"	"JodcTmeqaU2X"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"POR QUE DE REPENTE SE CAE LA SEÑAL DE REPENTE SE CAE EL WIFI ESO ES LO QUE MAS ES LA UNICA"	"7"	"5"	"6"	"No"	NA	"5"	"No"	NA	NA	NA	5	7	99	6	"No"	"fijo"	"2019_q1"
"16"	"7TefWZlQ1gOn"	"MasPrem"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE IGUAL SE NOS HA IDO LA SEÑAL EL INTERNET Y TODO ESO"	"6"	"5"	"7"	"No"	"6"	"7"	"Sí"	"EL TEMA DE LA SEÑAL PORQUE SE CAYO LA SEÑAL NO TENIA INTERNET EN EL TELÉFONO Y ESO"	"Sí"	"Si"	6	6	4	99	"No"	"fijo"	"2019_q1"
"17"	"k79WMlpkcLHi"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE EL SERVICIO ES BUENO EN LA ATENCIÓN AL CLIENTE, PODRÍA SER MAS BARATO PERO ES BUENO."	"6"	"6"	"6"	"No"	"6"	"6"	"No"	NA	NA	NA	7	9	5	0	"No"	"fijo"	"2019_q1"
"18"	"RiXxI9B24m1o"	"Mas"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE ES UN BUEN SERVICIO PERO AVECES FALLA PIERDE LA CONEXIÓN CON LA WIFI"	"5"	"5"	"5"	"No"	NA	"7"	"No"	NA	NA	NA	6	10	4	99	"Sí"	"fijo"	"2019_q1"
"19"	"hZMBoOlsdqij"	"MasPrem"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"EL SERVICIO QUE ME A DADO TE4NGO SATISFACCIONES CON EL NO TENGO PROBLEMAS EN FIN INCLUSO ESTOY EN LA PARTE RURAL ESTOY MUY LEJOS DE LA CIUDAD MAS CERCANA Y NO TENGO PROBLEMA DE SINTONIA EN ABSOLUTO"	"6"	"6"	"9. NS/NR"	"No"	NA	"6"	"No"	NA	NA	NA	6	6	20	99	"No"	"fijo"	"2019_q1"
"20"	"OXE5VPc1TOqF"	"MP"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"POR LO CARO, ALTOS COSTOS BANDA ANCHA NO CUMPLE CON LAS EXPECTATIVAS QUE DIJERON QUE ERAN QUE ES INTERNET DEDICADO"	"6"	"6"	"9. NS/NR"	"No"	NA	"6"	"No"	NA	NA	NA	6	5	10	99	"No"	"fijo"	"2019_q1"
"21"	"0mDTkCPi5uAS"	"MasPrem"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE TUVE LA COMUNICACIÓN A TRES O CUATRO DÍAS CON UNA FUNCIONARIA Y LAS VECES QUE HE TRATADO ME HA FUNCIONADO DE INMEDIATO Y HE QUEDADO CONFORME. ME AJUSTARON LOS PRECIOS DE LOS SISTEMAS QUE TENÍAMOS CONTRATADOS CON ELLOS ENTONCES CUALQUIER COSA DE ESE TIPO A UNO LO FAVORECE POR SUPUESTO QUE QUEDA CONFORME."	"6"	"6"	"6"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	12	4	"Sí"	"fijo"	"2019_q1"
"22"	"s76Ru1JchGOZ"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE LA ATENCIÓN Y EL SERVICIO ES BUENO."	"7"	"7"	"7"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	15	99	"No"	"fijo"	"2019_q1"
"23"	"KAupE1NXkADB"	"MasPrem"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"ESTOY MUY SATISFECHA EN TODO"	"7"	"7"	"7"	"No"	NA	"7"	"No"	NA	NA	NA	7	7	4	99	"9. NS/NR"	"fijo"	"2019_q1"
"24"	"aQEk3nxi7iA7"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE LLEVO UN CONTRATO DE AÑOS Y HAN COMETIDO ERRORES, HE CONTRATADO CIERTO SERVICIOS DE BLOQUEOS, NO SE ACTIVAN, DE REPENTE ME APARECEN LOS SALDOS MÁS ALTOS QUE LOS QUE CONTRATO Y SI BIEN ME REPONEN EL PORCENTAJE DE DESCUENTO ESO IGUAL NO DEBERÍA OCURRIR."	"6"	"5"	"5"	"No"	"5"	"6"	"No"	NA	NA	NA	1	0	15	2	"No"	"fijo"	"2019_q1"
"25"	"NT3Uqo3yTaEj"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE ME HA SALIDO UN BUEN SERVICIO,BUENA COMUNICACIÓN,BUENA ATENCIÓN TÉCNICA, BUENA ASISTENCIA."	"7"	"7"	"7"	"Si"	"7"	"7"	"No"	NA	NA	NA	7	10	10	0	"Sí"	"fijo"	"2019_q1"
"26"	"YPfar3rcuDEg"	"MV"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"LA ATENCIÓN DE POST-VENTA DE LOS EJECUTIVOS SE HA ECHADO A PERDER MUCHO, HACE UN AÑO ATRÁS ERA MUY BUENA Y AHORA ES BASTANTE INEFICIENTE, NO RESPONDEN LOS CORREOS, HAY QUE INSISTIR VARIAS VECES CON LAS SOLICITUDES, HAY QUE ESTAR LLAMANDO PORQUE NO SON MUY ÁGILES EN LAS RESPUESTAS."	"4"	"7"	"7"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	15	0	"Sí"	"fijo"	"2019_q1"
"27"	"zqVsCFxiNwgT"	"AV"	"GGEE"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE SIEMPRE PASA ALGO EN QUE POR EJEMPLO A MEDIO DÍA EN PROVIDENCIA NO ENTRAN LAS LLAMADAS, SE CAE UN POCO EL INTERNET, YO CREO QUE ES PORQUE TODO EL MUNDO SE CONECTA A LA HORA DEL ALMUERZO, PERO DEBERÍA SER MAS ESTABLE EL TEMA."	"5"	"6"	"3"	"Si"	NA	"7"	"No"	NA	NA	NA	7	8	2	12	"Sí"	"fijo"	"2019_q1"
"28"	"VDN73DkCi6vL"	"MV"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"POR QUE NO HEMOS TENIDO MAYORES PROBLEMAS Y CUANTO HEMOS TENIDO PROBLEMAS CON ENTEL SOLUCIONAN MUY RÁPIDO.  NO SÉ, CUANDO HEMOS TENIDO PROBLEMAS CON LA RED INTERMITENTE LLAMAMOS Y EN MENOS DE SEIS HORAS ESTÁ SOLUCIONADO EL TEMA."	"7"	"7"	"7"	"Si"	"7"	"7"	"No"	NA	NA	NA	7	10	4	6	"No"	"fijo"	"2019_q1"
"29"	"85biifDBDnin"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"SIETE SERÍA COMO PERFECTO Y PERFECTO NO ES. DETALLES, DE REPENTE SE HA CAÍDO EL SISTEMA Y PERO HA SIDO MUY INUSUAL."	"7"	"7"	"9. NS/NR"	"No"	"6"	"6"	"No"	NA	NA	NA	6	9	20	0	"Sí"	"fijo"	"2019_q1"
"30"	"teP9dT0GFFBr"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	4	"PORQUE ESTOY EN LA ZONA RURAL Y HAY MALA CONECTIVIDAD, BAJAR LA INFORMACIÓN ES MUY LENTO Y A VECES NO BAJA LA INFORMACIÓN."	"6"	"7"	"6"	"Si"	NA	"7"	"No"	NA	NA	NA	6	8	5	99	"Sí"	"fijo"	"2019_q1"
"31"	"vAzv4xj1KG1k"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE EN TELEFONÍA NO ES MUY BUENO, EN LA SEÑAL DEL TELÉFONO, LOS TELÉFONOS QUE ELLOS PRESTAN LA SEÑALA SE ESCUCHA MAL,ESO ES LO MAS INCOMODO, LO MAS GRAVE."	"5"	"4"	"4"	"No"	"5"	"5"	"Sí"	"LA MALA SEÑAL DEL TELÉFONO, LOS TELÉFONOS LOS PONEN ELLOS MISMO Y SE ESCUCHA MUY MAL Y EL CABLE QUE PEGA DE REPENTE LOS CANALES HD,SE ORIENTA."	"Sí"	"No"	4	5	10	99	"No"	"fijo"	"2019_q1"
"32"	"PBvlwcxzitoe"	"MV"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"CON ELLOS NO TENEMOS MAYOR PROBLEMA, EN CUANTO A LA SEÑAL."	"7"	"7"	"7"	"Si"	NA	"7"	"Sí"	"LA VELOCIDAD, ES QUE SOMOS MUCHOS ACÁ, ENTONCES DE REPENTE COMO QUE SE PONE LENTO EL INTERNET."	"Sí"	"Está en trámite"	7	10	3	99	"Sí"	"fijo"	"2019_q1"
"33"	"PvZyPfdVxYVw"	"MV"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE TUVIMOS PROBLEMAS DE SEÑAL UN TIEMPO ATRÁS Y ESO NOS COSTÓ MUCHO UBICAR LA SEÑAL, UN POCO COMPLICADO, PERO AL FINAL LO SOLUCIONARON."	"6"	"5"	"5"	"No"	NA	"5"	"No"	NA	NA	NA	5	5	1	4	"No"	"fijo"	"2019_q1"
"34"	"9nq3Gwgq0Zl0"	"AP"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"COBERTURA DE INTERNET Y LA CAPACIDAD Y VELOCIDAD; ESPECÍFICAMENTE EN LA VELOCIDAD DE INTERNET Y TAMBIÉN EN LA SEÑAL POR ÁREA TERRITORIAL, UNA EXCELENTE SEÑAL O COBERTURA"	"7"	"5"	"5"	"Si"	NA	"7"	"No"	NA	NA	NA	6	7	4	0	"Sí"	"fijo"	"2019_q1"
"35"	"rskXHjXHYPlt"	"MV"	"GGEE"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE SON BUENOS PERO PODRÍAN SER MEJOR,SOLUCIONAN LOS PROBLEMAS AL TIRO, LA SEÑAL ES MUY DIFÍCIL QUE SE CAIGA,Y ES UN SERVICIO QUE CUANDO UNO TIENE UN PROBLEMA LO SOLUCIONAN RÁPIDO."	"7"	"7"	"7"	"Si"	"7"	"7"	"No"	NA	NA	NA	7	8	99	99	"Sí"	"fijo"	"2019_q1"
"36"	"mW0B5M3kISgT"	"Mas"	"GGEE"	"Entel"	"SI -> CONTINUAR"	5	"POR LOS COBROS QUE ENVÍAN EXTRAS DE REPENTE HAY QUE ESTAR REVISANDO LAS CUOTAS DETALLADAS Y TODO PORQUE SI UNO NO SE PERCATA DE ESO TE COBRAN COSAS EXTRAS CUANDO UNO VIAJA FUERA DEL PAÍS TODO ESO, Y POR LA MALA ATENCIÓN CUANDO UNO LLAMA NO MANEJAN LOS TEMAS Y TODO"	"4"	"4"	"4"	"Si"	"4"	"4"	"Sí"	"DE LA FACTURACIÓN, PROBLEMA CON UNOS COBROS MAL COBRADOS CON UNOS CARGOS QUE NO SE HABÍAN REALIZADO"	"Sí"	"No"	4	5	6	0	"No"	"fijo"	"2019_q1"
"37"	"bdmXxXfd3dZH"	"MasPrem"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE EL SERVICIO FUNCIONA APARENTEMENTE  BIEN PERO EN ALGUNAS OCASIONES CUESTA TOMAR LA CONEXIÓN"	"5"	"6"	"5"	"Si"	NA	"7"	"Sí"	"MIRANDO TELEVISIÓN CUESTAN QUE LOS DECODIFICADORES DE REPENTE FUNCIONEN CUESTA CONECTARSE DE REPENTE CON UNO O DOS DECODIFICADORES PERO YA ULTIMO NO HA PASADO NADA ENTONCES NO HE HECHO EL RECLAMO"	"Sí"	"Si"	7	10	0	3	"No"	"fijo"	"2019_q1"
"38"	"fStrUY14YqmH"	"MasPrem"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE A VECES SE INTERRUMPE EL SERVICIO HAY MOMENTOS QUE SE DESCONTINUA EL SERVICIO SE CAE LA SEÑAL"	"7"	"7"	"7"	"No"	NA	"6"	"Sí"	"CAIDA DEL SISTEMA INTERRUPCION DEL SERVICIO NO HA HABIDO INTERNET SE HA CAIDO"	"Sí"	"Si"	7	10	2	6	"Sí"	"fijo"	"2019_q1"
"39"	"uVrzkOGmziLh"	"MasPrem"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE ESTOY CONFORME CON EL SERVICIO, LA VERDAD ES QUE ANTES HABÍAMOS TENIDO PROBLEMAS SE CAÍA MUCHO EL SISTEMA Y DE UN TIEMPO A ESTA PARTE ESO SE HA MEJORADO CONSIDERABLEMENTE."	"3"	"4"	"4"	"No"	"3"	"2"	"Sí"	"SE HA INTERRUMPIDO EL SERVICIO DE ENTEL BANDA."	"Sí"	"Si"	2	2	2	99	"Sí"	"fijo"	"2019_q1"
"40"	"cDGVn0nsiPFx"	"AV"	"GGEE"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE NO TIENEN MÁS FACTIBILIDAD TÉCNICA PARA AMPLIAR LA BANDA ANCHA, LA VELODIDAD, ES LO ÚNICO; ESTAMOS MIGRANDO A UNA EMPRESA PRIVADA."	"6"	"7"	"7"	"Si"	NA	"7"	"Sí"	"CAÍDA DE LAS CONEXIONES."	"Sí"	"Si"	6	9	10	5	"Sí"	"fijo"	"2019_q1"
"41"	"IyYEJolu07DW"	"AV"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE NO ES OPTIMO EL SERVICIO CON EL TEMA DE LA COBERTURA MÁS QUE NADA, IGUAL TIENE ALGUNAS FALENCIAS Y POR LA ATENCIÓN, LA ENTREGA DE LOS PRODUCTOS Y LAS SOLICITUDES DE MUNICIPAL."	"6"	"6"	"5"	"Si"	"5"	"3"	"Sí"	"NOS APARECIERON EN ESTE AÑO 2019 FACTURAS DEL 2018 QUE NO ESTABAN EN EL SISTEMA Y APARECIERON AHORA Y NUNCA FUERON ENVIADAS AL CORREO ELECTRÓNICO, NO ESTÁN EN EL PORTAL Y NO SABEMOS A QUE CORRESPONDEN."	"Sí"	"No"	5	5	5	0	"Sí"	"fijo"	"2019_q1"
"42"	"VINRHjKflQn5"	"MasPrem"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE MIS PAPAS ESTAN ELLOS TIENEN NEGOCIOS ALLA EN PIPA Y LA COBERTURA NO LLEGA MUY BIEN Y EL INTERNET TAMBIEN NO LLEGA MUY BIEN"	"6"	"6"	"7"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	3	99	"Sí"	"fijo"	"2019_q1"
"43"	"69CZ4gXch9uU"	"MV"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"LAS RESOLUCIONES DE SOPORTES BUROCRÁTICAMENTE SON MUY LARGAS PASAN DE UN ESCALAMIENTO PUEDE TOMAR HASTA UNA SEMANA DOS SEMANAS LO CUAL PARA MI ES MUCHO TIEMPO NO MÁS QUE NADA ESO"	"5"	"4"	"5"	"Si"	"5"	"6"	"Sí"	"LO QUE PASA ES QUE TENGO SERVICIO CONTRATADOS EN EL SUR TENGO SUCURSALES ENTONCES CUESTA MUCHO QUE ENTRE ELLOS SE ENTIENDAN CUANDO UNO HACE LAS SOLICITUDES LA HACEN EN SANTIAGO EN CASA MADRID Y TODO LO GESTIONAN AQUÍ EN SANTIAGO TOMAN VARIOS DÍAS QUE ENTIENDAN QUE EL LUGAR DE ATENCIÓN ES EN EL SUR MAS QUE NADA ESO LA DEMORA LAS GESTIONEN LA DEMORAN MUCHO DESPUÉS ENTRAN LAS FESTIVIDADES EN EVALUACIONES Y ESO TOMA MAS FÁCIL 20 DÍAS."	"Sí"	"Si"	7	0	25	99	"Sí"	"fijo"	"2019_q1"
"44"	"r88yRYWqCfvr"	"AP"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE ESTAMOS MUY LEJOS NOSOTROS DE TODO EL SISTEMA NO TENEMOS COMUNICACION DIRECTA CON LOS REPRESENTANTES HAY COMUNICACION CON LOS APARATOS PERO NO PRESENCIAL NO HEMOS TENIDO DRAMA CON EL INTERNET SIEMPRE SE MANEJA BIEN NO HAY CORTE NO HAY NADA NO HAY PRESENCIA DE ELLOS PERO HA FUNCIONADO BASTANTE BIEN"	"6"	"6"	"6"	"Si"	"7"	"7"	"No"	NA	NA	NA	6	9	15	4	"Sí"	"fijo"	"2019_q1"
"45"	"Y9o2qnfjTaPD"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE HA SIDO BUENO EL SERVICIO TANTO EN LA RED DE INTERNET Y EL CELULAR, SIEMPRE HE TENIDO BUENA COBERTURA,PORQUE NO HE TENIDO PROBLEMA CON LA SEÑAL."	"6"	"5"	"4"	"No"	NA	"3"	"No"	NA	NA	NA	4	4	16	12	"No"	"fijo"	"2019_q1"
"46"	"oShp6JrTh47p"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE ES BUENA ESPECÍFICAMENTE EN LA PRESTACIÓN DE SERVICIOS."	"7"	"7"	"7"	"Si"	"7"	"6"	"No"	NA	NA	NA	7	10	12	0	"No"	"fijo"	"2019_q1"
