encriptado	GOL (BASE STOCK SEP 2019)	SEGMENTO CORFO	Principal compañía	Filtro1 - Filtro 1: ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	P1 - 1. En su empresa, ¿con qué compañías tiene contratado los servicios móviles como teléfonos o banda ancha móvil? (respuesta múltiple)	3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 =  Muy insatisfecho y 7 =  Muy satisfecho, ¿Cuán satisfecho está Ud. con {#Principal}?	"P4 - 4.	¿Por qué evalúa con esa nota? LITERAL"	P5__1 - a) {#Principal} es una empresa con buena imagen en general :	P6 - 6. ¿Y con qué nota de 1 a 7, evalúa a {#Principal} en cuanto a la Calidad y Cobertura de las llamadas?	"P7 - 7.	Ahora pensando en la navegación a través de su celular, es decir internet móvil empresa contratado con {#Principal}, ¿Con qué nota de 1 a 7, evalúa la navegación a través del celular?"	"P8 - 8.	Y en lo que respecta  a Servicio a Clientes, ¿cuán satisfecho está Ud. con {#Principal}"	"P9__1 - a)	Precio del Plan en relación al mercado (Competitividad) :"	"P9__2 - b)	Competitividad de planes en cuanto a minutos :"	"P9__3 - c)	Competitividad de planes en cuanto a Internet Móvil o internet en su celular :"	"P9__4 - d)	El precio de los equipos en relación al mercado :"	P10__1 - Contratación de nuevas líneas :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P10__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P10__5 - Solicitar cambio de plan :	P10__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P10__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P11__1 - Contratación de nuevas líneas :	"P11__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P11__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P11__5 - Solicitar cambio de plan :	P11__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P11__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P12__1 - Contratación de nuevas líneas :	"P12__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P12__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P12__5 - Solicitar cambio de plan :	P12__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P12__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P13__1 - 1: Ejecutivo asignado para su empresa :	P13__2 - 2: Call center :	P13__3 - 3: Página Web {#Principal} Empresas :	P13__4 - 4: En tiendas/ sucursales :	P13__5 - 5: App Administradores Empresa :	"P16 - FACTURACIÓN:
       16. En cuanto a la Facturación de todos los servicios móviles que tiene con {#Principal}, en una escala de 1 a 7 ¿Cómo evalúa el proceso de facturación de {#Principal} en general?"	"P17 - PROBLEMAS
         17. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#Principal}?"	"P18 - 18.	¿Qué problema ha tenido? Sondear LITERAL"	"P19 - 19.	¿Comunicó este problema a {#Principal}?"	"P20 - 20.	¿Y fue solucionado su problema?"	"P21 - LEALTAD
         Ahora pensando en todos los servicios que recibe con {#Principal} en general y en la relación que tiene con esta compañía, me podría decir…
    
         21. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7"	P22 - 22. Pensando como cliente empresa, y en su opinión ¿Cuál diría Ud. qué es la mejor compañía de servicios móviles? (Leer opciones, respuesta única)	"P24 - 24.	En base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿Qué tan dispuesto estaría usted a recomendar a {#Principal}?"	P_2 - 2) ¿Cuál de estas categorías calza mejor con el giro de su empresa? (Leer opciones, respuesta única)	"P_3A - 3)	¿Hace cuánto tiempo que tiene esta cuenta con {#Principal}?
            AÑOS"	P_3B - MESES	"P_4 - 4)	¿ Pensando en su relación con {#Principal} ¿Tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"
pK4ejvgZkjE7	Mas	GGEE	Entel	SI -> CONTINUAR	Entel,Otros	5	POR QUE LAS LLAMADAS SE CORTAN EN CIERTOS LUGARES NO HAY COBERTURA TOTAL EN SANTIAGO,EN LA CARRETORA SE CORTA . TNEGO QUE LLAMARLO 3 VECES AL CLIENTE NO A MEJORADO LA ANTENA.	6	1	6	1	5	6	6	9. NS/NR	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	Sí	CORTE LLAMADAS, LA COBERTURA  DE LA ANTENA PASO POR CIERTO LUGARES Y SE CORTA Y TENGO QUE VOLVER A LLAMAR . SON TRES PARTES DEL TRAYECTO DE MI CASA QUE SE CORTA.	Sí	No	5	Otra (NO Leer)	0	"6.	Servicios"	3	0	No
3CcpTZlzdQ6D	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	7	PORQUE LOS EN EL PASADO TUVE UN INCONVENIENTE EN TODOS LADOS SUCEDE, HE ANDADO BIEN HA TENIDO LA COBERTURA QUE NECESITO Y TAMBIÉN INTERNET PARA LO QUE UNO NECESITA ESTOY CONFORME. LOS SERVICIOS EN REALIDAD, LOS CENTROS DE PAGO QUE UNO VA, LA ATENCIÓN ES BUENA. ES MEJOR QUE LOS DEMÁS. SIN SABER COMO SON LOS DEMÁS. DA LA IMPRESIÓN QUE ES MEJOR.	7	6	6	7	6	6	6	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	6	Entel	9	"1.	Agro"	19	0	No
MDr7RG9Rm0hV	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,WOM (No leer)	6	PORQUE A VECES A LOS USUARIOS NUEVOS LE DAN MEJORES OFERTAS.	7	7	7	6	6	7	6	5	No	Si	No	Si	No	No	NA	7	NA	6	NA	NA	NA	2.Call center	NA	4.En tiendas/ sucursales	NA	NA	NA	7	NA	6	NA	7	No	NA	NA	NA	6	Entel	8	"7.	Transporte"	4	0	No
4874qo7NT6tS	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	6	PORQUE TENGO BUENA COBERTURA EN TODAS LA PARTES QUE VOY SIEMPRE TENGO INTERNET Y ME HAN AJUSTADO A MIS NECESIDADES.	6	6	6	6	6	5	5	4	Si	Si	Si	Si	No	Si	7	7	7	7	NA	6	1.Ejecutivo asignado para su empresa	3.Página Web <b>{#\.Principal}</b> Empresas	3.Página Web <b>{#\.Principal}</b> Empresas	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	7	NA	6	NA	NA	6	No	NA	NA	NA	6	Entel	8	"6.	Servicios"	2	0	9. NS/NR
GEMBx17ultyC	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE  LA SEÑAL DEL INTERNET, SEÑAL DE TELEFONÍA Y LA SEÑAL DE INTERNET .ES MALA, MAL CONEXIÓN, SE CAE LAS PAGINAS  DE INTERNET,   LA DEL TELÉFONO ESTA CON INTERFERENCIA .	6	5	5	6	5	6	6	6	No	Si	Si	No	No	Si	NA	7	7	NA	NA	6	NA	5.App Administradores Empresa	5.App Administradores Empresa	NA	NA	1.Ejecutivo asignado para su empresa	5	NA	NA	5	6	6	No	NA	NA	NA	5	Entel	7	"7.	Transporte"	5	0	No
DjNPsb1ygdhD	Mas	MICRO	Entel	SI -> CONTINUAR	Entel,Otros	7	PORQUE DONDE VOY TENGO SEÑAL LO QUE NO ME PASABA CON OTRAS, NO TENGO NINGÚN PROBLEMA, SIEMPRE ESTÁN ATENTOS A LAS PREGUNTAS QUE YO LE PUEDA HACER . CUANDO VIAJE FUERA DEL PAÍS.	7	7	6	6	7	6	6	9. NS/NR	No	Si	No	Si	Si	No	NA	7	NA	7	7	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	7	6	6	NA	NA	6	No	NA	NA	NA	7	Entel	10	"7.	Transporte"	1	0	Sí
XReqtYA0myoa	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	7	BUENA COBERTURA, BUENA SEÑAL, Y BUEN PRECIO. EN TODOS LADOS FUNCIONA EL TELÉFONO, NUNCA SE CAE LA SEÑAL, EL PRECIO ES BARATO.	7	7	7	6	7	7	7	7	No	Si	No	Si	No	No	NA	7	NA	7	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	7	7	NA	7	No	NA	NA	NA	7	Entel	10	"6.	Servicios"	6	0	No
802Jj5ygkP1M	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Claro	1	PORQUE PIENSO QUE MUCHA GENTE SE A CAMBIADO Y YO QUISIERA A VECES CAMBIARME PERO NO ME DAN TANTOS BENEFICIOS. CONSIDERO QUE ENTEL ES LA EMPRESA QUE MENOS DA BENEFICIOS A SUS CLIENTES Y LA GENTE SE QUEJA MUCHO.	7	1	7	1	1	1	7	1	Si	Si	Si	No	No	Si	7	7	7	NA	NA	7	2.Call center	2.Call center	1.Ejecutivo asignado para su empresa	NA	NA	4.En tiendas/ sucursales	7	7	NA	7	NA	7	No	NA	NA	NA	1	Claro	0	"6.	Servicios"	15	0	No
H8pvrP8uCc5M	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	5	PORQUE ANTES ERA MUY ESTABLE Y AHORA ÚLTIMO HA TENIDO UNA BAJA EN TEMA DE SEÑAL, HA TENIDO PROBLEMAS EL SERVICIO. EL SERVICIO DE ATENCIÓN COMERCIAL NO HA SIDO BUENO ÚLTIMAMENTE.	5	4	4	5	5	7	5	6	No	Si	Si	Si	Si	No	NA	6	6	7	6	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	5.App Administradores Empresa	2.Call center	2.Call center	NA	NA	6	5	NA	5	6	Sí	SIN SERVICIO DE TELEFONÍA E INTERNET DURANTE 2 O 3 DÍAS, NO PODÍA HACER LLAMADAS. INTERMITENTE LA SEÑAL, NO PODÍA RESPONDER, AL IGUAL QUE INTERNET.	Sí	Si	5	WOM	3	"7.	Transporte"	4	0	No
tKwVmp5LMzm1	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	7	PORQUE ES UN SERVICIO FUNCIONA SIN INCONVENIENTES, SERVICIO FUNCIONA SIEMPRE ASÍ BIEN, NO HE TENIDO PROBLEMA CON LA SEÑAL NI CON LA CONTINUAD DE LA INFORMACIÓN.	7	6	7	7	5	5	5	6	No	No	No	No	No	Si	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	2.Call center	NA	6	NA	NA	NA	7	No	NA	NA	NA	6	Entel	9	"8.	Comercio (al por mayor y menor)"	5	0	No
1lfwzhDWZ38w	MasPrem	MICRO	Entel	SI -> CONTINUAR	Entel	5	PORQUE NO ESTOY SATISFECHO, MAS QUE NADA POR EL SERVICIO ,A CUANTO HA ESTA LENTO  EL INTERNET	5	4	5	4	4	4	4	5	No	No	No	Si	Si	Si	NA	NA	NA	3	3	6	NA	NA	NA	2.Call center	2.Call center	2.Call center	NA	5	NA	NA	NA	5	Sí	AL CAMBIAR EL PLAN, NO FUE LO QUE ME OFRECIERON , Y HASTA ME HAN BAJADO EL PLAN DE INTERNET.	Sí	No	4	Entel	7	"8.	Comercio (al por mayor y menor)"	3	0	No
RqFBCPN4EDWM	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	PORQUE TODO EL TIEMPO ME ATIENDEN BIEN Y HE ANDADO BIEN CON TODO. NO TENGO INCONVENIENTE CON ELLOS, CUANDO VOY ME ATIENDEN BIEN QUE ES LO MAS CORRECTO. LAS CUENTAS AL DÍA TODO.	7	6	6	7	7	7	7	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	Entel	9	"1.	Agro"	10	0	No
8zpElnoxvBi1	MasPrem	MICRO	Entel	SI -> CONTINUAR	Entel	5	PORQUE YO NO SE MEJOR ESO MAS EFICIENTE POR EJEMPLO EL TEMA DE SEÑAL, DE SATURACIÓN DE DATOS,LO QUE ES COBERTURA  POR ESO. EL SERVICIO NO ES BUENO COMO  ME LO ESPERARÍA Y POR EJEMPLO ESTE AÑO SOY CLIENTE DE ESTA EMPRESA Y NO TENGO NI UNA VENTAJA AL RESPECTO COMO AL TIPO QUE VIENE DE AFUERA QUE SE CAMBIA DE CLARO QUE SE CAMBIA DE MOVISTAR QUE LE CAMBIA LE DA MUCHOS MEJORES PRECIOS YA SEA EN PLANES O EN APARATOS YO TENGO A TENER 15 AÑOS DE ANTIGUA EDAD  PARA MI LA FIDELIZACIÓN DE CLIENTE DE ENTEL ES MUY MALA.	5	4	3	6	4	4	4	3	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	Sí	PROBLEMA DE COBERTURA DE SEÑAL QUE SE VA CUANDO ESTOY EN ALGUNA CUIDAD ALGUNA PARTE .	Sí	No	5	Entel	0	"6.	Servicios"	12	0	No
eK7RPWJCTzip	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	5	PORQUE TIENE MUCHOS DE REPENTE NO HAY SEÑAL, DE QUE REPENTE NO HAY SEÑAL SE COLAPSA NO SE QUE PASA SE PIERDE EL INTERNET.	6	5	5	7	7	7	5	7	No	No	No	Si	Si	No	NA	NA	NA	7	7	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	7	NA	NA	NA	NA	7	No	NA	NA	NA	5	Entel	8	"6.	Servicios"	5	0	No
hAqwp7qRBtNL	MV	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	PORQUE FUNCIONA BIEN, TENGO BASTANTE COBERTURA Y HAY OFICINAS EN TODAS PARTES Y TODO.  Y HAY BUENA ATENCIÓN AL CLIENTE.	7	6	6	7	5	6	7	5	No	No	No	No	No	Si	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	7	NA	NA	NA	NA	7	No	NA	NA	NA	7	Entel	10	"1.	Agro"	20	0	Sí
LOsr2rJ4nBuy	Mas	MICRO	Entel	SI -> CONTINUAR	Entel,Claro,Movistar,WOM (No leer)	7	PORQUE EL SERVICIO ES BUENO, A PESAR DE QUE ES CARO. BUENA CONECTIVIDAD EN LA ZONA.	7	6	5	7	4	4	6	7	Si	No	No	No	No	Si	7	NA	NA	NA	NA	7	4.En tiendas/ sucursales	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	7	NA	7	NA	7	No	NA	NA	NA	7	Entel	10	"8.	Comercio (al por mayor y menor)"	1	0	No
WpVsh79tFFYe	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Otros	5	MUY CARO LA CUENTA SEÑORITA, MUY CARO GANAN MUCHA PLATA TODOS LOS MESES.	5	5	6	5	5	4	5	4	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9. NS/NR	No	NA	NA	NA	5	Entel	6	"8.	Comercio (al por mayor y menor)"	15	0	No
jqtkKLYEHoGo	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	6	PORQUE PUEDA DAR MUCHO MÁS QUE SATISFAGA PERSONA.	6	6	6	6	5	6	5	6	Si	Si	No	No	No	No	7	7	NA	NA	NA	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	6	NA	7	NA	7	No	NA	NA	NA	6	Entel	9	"6.	Servicios"	15	0	No
