Column1	encriptado	...2	SEGMENTO GOL	SEGMENTO CORFO	Principal compañía	Filtro1 - Filtro 1: ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	P1__1 - A: Internet Banda Ancha :	P1__2 - B: Telefonía Fija :	P1__3 - C: Red privada de datos/Transmisión de datos (MPLS) :	P1__4 - 'D: Servicios de Data Center y almacenamiento Cloud (servicios de alojamiento, arriendo, monitoreo y administración de servidores físicos o virtuales)' :	P1__5 - 'E: Servicios de correo electrónico, videoconferencias, creación y edición de documentos en línea y de manera colaborativa' :	P2__1 - A: Internet Banda Ancha :	P2__2 - B: Telefonía Fija :	P2__3 - C: Red privada de datos/Transmisión de datos (MPLS) :	P2__4 - 'D: Servicios de Data Center y almacenamiento Cloud (servicios de alojamiento, arriendo, monitoreo y administración de servidores físicos o virtuales)' :	P2__5 - 'E: Servicios de correo electrónico, videoconferencias, creación y edición de documentos en línea y de manera colaborativa' :	EMPTY LABEL - No Information Provided...17	EMPTY LABEL - No Information Provided...18	3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 =  Muy insatisfecho y 7 =  Muy satisfecho, ¿Cuán satisfecho está Ud. con {#Principal}?	"P4 - 4.	¿Por qué evalúa con esa nota? LITERAL"	P5__1 - a) {#Principal} es una empresa con buena imagen en general :	P6 - 6. Pensando en el funcionamiento del servicio {#P6txt},¿con qué nota de 1 a 7 evalúa el Funcionamiento de este servicio en general?	"P7 - 7.	Y en lo que respecta  a Servicio a Clientes, en escala de 1 a 7 ¿cuán satisfecho está Ud…. {#Principal}{#Princ_text}?"	"P9__1 - a)	Precio en relación al mercado (Competitividad) :"	"P9__2 - b)	Competitividad de planes en cuanto a minutos :"	"P8__3 - c)	Competitividad de planes en cuanto a Internet banda ancha fija :"	P9__1 - Contratación de nuevos servicios :	P9__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P9__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P9__5 - Consultas sobre seguimiento o estado de solicitudes :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P9__7 - Reclamos por fallas  técnicas de los servicios fijos :	P10__1 - Contratación de nuevos servicios :	P10__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P10__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P10__5 - Consultas sobre seguimiento o estado de solicitudes :	P10__6 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' :	P10__7 - Reclamos por fallas  técnicas de los servicios fijos :	P11__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P11__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P11__5 - Consultas sobre seguimiento o estado de solicitudes :	P11__6 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' :	P11__7 - Reclamos por fallas  técnicas de los servicios fijos :	P12__1 - 1: Ejecutivo asignado para su empresa :	P12__2 - '2: A través del Call center, empresa' :	P12__3 - 3: P: A través de la web con clave :	P12__4 - 4: En tiendas/ sucursales :	"P16 - FACTURACIÓN:
       16. En cuanto a la Facturación de todos los servicios móviles que tiene con {#Principal}, en una escala de 1 a 7 ¿Cómo evalúa el proceso de facturación de {#Principal} en general?"	"P17 - PROBLEMAS
         17. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#Principal}?"	"P15 - 15.	¿Qué problema ha tenido? Sondear LITERAL"	"P19 - 19.	¿Comunicó este problema a {#Principal}?"	"P20 - 20.	¿Y fue solucionado su problema?"	18. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con {#Principal}{#Princ_text}?	"P24 - 24.	En base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿Qué tan dispuesto estaría usted a recomendar a {#Principal}?"	"P_3A - 3) 3)	Para servicios fijos, ¿Hace cuánto tiempo que tiene esta cuenta con {#Principal}{#Princ_text}?
            AÑOS"	P_3B - MESES	"P_4 - 4)	¿ Pensando en su relación con {#Principal}{#Princ_text} ¿Tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"	Bench
11	nStwxuKPrHcv	43617	MasPrem	MICRO	Entel	SI -> CONTINUAR	Sí	No	No	No	No	Entel	NA	NA	NA	NA	NA	NA	5	PORQUE LA SEÑAL CUANDO SE VA POR CARRETERA LA SEÑAL SE ME HA COMPLICADO Y NO HE PODIDO OPTIMIZAR LA SEÑAL,ANTES ERA MUY BUENA.	6	5	5	5	7	5	Si	Si	No	No	Si	No	7	7	NA	NA	7	NA	4. En tiendas/ sucursales	NA	NA	4. En tiendas/ sucursales	NA	NA	NA	NA	7	7	Sí	LO DE LA CONECTIVIDAD,ENTRO AL SISTEMA Y SE ME CAE O NO ME LLEGA LA RED COMPLETA.	Sí	Está en trámite	7	7	5	3	No	fijo
12	jxNbtwoJtBbQ	43617	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	No	Sí	Sí	Sí	Entel	NA	Entel	Entel	Entel	NA	NA	5	SIEMPRE TIENE UN PROBLEMA DE CONECTIVIDAD EN ALGUNOS MOMENTO Y LA RESPUESTA NUNCA ES RÁPIDA	5	5	5	4	4	4	Si	Si	No	Si	No	Si	2	5	NA	3	NA	1	2. A través del Call center, empresa	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	2. A través del Call center, empresa	NA	5	5	NA	5	Sí	COMUNICACIONAL INTERNET DE VOZ Y DE INTERNE Y ESO	Sí	No	3	4	7	3	Sí	fijo
13	RH64M14wv14C	43617	MasPrem	MICRO	Entel	SI -> CONTINUAR	Sí	No	No	No	No	Entel	NA	NA	NA	NA	NA	NA	6	PORQUE DE REPENTE SE CAE, EL SERVICIO SE CAE.	7	6	6	6	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	6	10	3	0	No	fijo
14	cERhkmM3qXbd	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Telefónica del Sur	NA	NA	NA	NA	NA	5	BUENO BASICAMENTE EL PROBLEMA ES DE REPENTE SEÑAL PORQUE YO ANDO MAS PRACTICAMENTE PARTES RURALES Y HAY PARTES QUE NO HAY COBERTURA BASICAMENTE ESO	6	6	6	6	5	6	No	No	No	No	Si	No	NA	NA	NA	NA	6	NA	NA	NA	NA	4. En tiendas/ sucursales	NA	NA	NA	NA	6	7	No	NA	NA	NA	7	8	1	6	Sí	fijo
15	JodcTmeqaU2X	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	6	POR QUE DE REPENTE SE CAE LA SEÑAL DE REPENTE SE CAE EL WIFI ESO ES LO QUE MAS ES LA UNICA	7	6	7	5	6	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	No	NA	NA	NA	5	7	99	6	No	fijo
16	7TefWZlQ1gOn	43617	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Otra ¿Cúal?	NA	NA	5	PORQUE IGUAL SE NOS HA IDO LA SEÑAL EL INTERNET Y TODO ESO	6	6	6	5	7	7	No	Si	Si	Si	Si	Si	NA	7	7	6	6	6	1. Ejecutivo asignado	1. Ejecutivo asignado	2. A través del Call center, empresa	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	1. Ejecutivo asignado	6	7	7	NA	7	Sí	EL TEMA DE LA SEÑAL PORQUE SE CAYO LA SEÑAL NO TENIA INTERNET EN EL TELÉFONO Y ESO	Sí	Si	6	6	4	99	No	fijo
17	k79WMlpkcLHi	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	6	PORQUE EL SERVICIO ES BUENO EN LA ATENCIÓN AL CLIENTE, PODRÍA SER MAS BARATO PERO ES BUENO.	7	6	6	6	6	5	No	No	No	No	Si	No	NA	NA	NA	NA	6	NA	NA	NA	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	NA	NA	6	NA	6	No	NA	NA	NA	7	9	5	0	No	fijo
18	RiXxI9B24m1o	43617	Mas	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Entel	NA	NA	6	PORQUE ES UN BUEN SERVICIO PERO AVECES FALLA PIERDE LA CONEXIÓN CON LA WIFI	6	6	5	5	5	4	No	Si	No	No	No	No	NA	5	NA	NA	NA	NA	2. A través del Call center, empresa	NA	NA	NA	NA	NA	5	NA	NA	7	No	NA	NA	NA	6	10	4	99	Sí	fijo
19	hZMBoOlsdqij	43617	MasPrem	MICRO	Entel	SI -> CONTINUAR	Sí	No	No	No	Sí	Entel	NA	NA	NA	Otra ¿Cúal?	NA	NA	6	EL SERVICIO QUE ME A DADO TE4NGO SATISFACCIONES CON EL NO TENGO PROBLEMAS EN FIN INCLUSO ESTOY EN LA PARTE RURAL ESTOY MUY LEJOS DE LA CIUDAD MAS CERCANA Y NO TENGO PROBLEMA DE SINTONIA EN ABSOLUTO	6	6	6	6	9. NS/NR	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	6	6	20	99	No	fijo
20	OXE5VPc1TOqF	43617	MP	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Telefónica/ Movistar	NA	NA	Otra ¿Cúal?	NA	NA	6	POR LO CARO, ALTOS COSTOS BANDA ANCHA NO CUMPLE CON LAS EXPECTATIVAS QUE DIJERON QUE ERAN QUE ES INTERNET DEDICADO	6	6	6	6	9. NS/NR	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	6	5	10	99	No	fijo
21	0mDTkCPi5uAS	43617	MasPrem	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Entel	NA	NA	7	PORQUE TUVE LA COMUNICACIÓN A TRES O CUATRO DÍAS CON UNA FUNCIONARIA Y LAS VECES QUE HE TRATADO ME HA FUNCIONADO DE INMEDIATO Y HE QUEDADO CONFORME. ME AJUSTARON LOS PRECIOS DE LOS SISTEMAS QUE TENÍAMOS CONTRATADOS CON ELLOS ENTONCES CUALQUIER COSA DE ESE TIPO A UNO LO FAVORECE POR SUPUESTO QUE QUEDA CONFORME.	7	5	6	6	6	6	No	Si	No	No	No	Si	NA	7	NA	NA	NA	6	1. Ejecutivo asignado	NA	NA	NA	2. A través del Call center, empresa	7	7	NA	NA	7	No	NA	NA	NA	7	10	12	4	Sí	fijo
22	s76Ru1JchGOZ	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	No	No	No	Sí	Entel	NA	NA	NA	Entel	NA	NA	7	PORQUE LA ATENCIÓN Y EL SERVICIO ES BUENO.	7	7	7	7	7	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	10	15	99	No	fijo
23	KAupE1NXkADB	43617	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Otra ¿Cúal?	NA	NA	7	ESTOY MUY SATISFECHA EN TODO	7	7	7	7	7	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	7	4	99	9. NS/NR	fijo
24	aQEk3nxi7iA7	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	No	No	No	No	Entel	NA	NA	NA	NA	NA	NA	5	PORQUE LLEVO UN CONTRATO DE AÑOS Y HAN COMETIDO ERRORES, HE CONTRATADO CIERTO SERVICIOS DE BLOQUEOS, NO SE ACTIVAN, DE REPENTE ME APARECEN LOS SALDOS MÁS ALTOS QUE LOS QUE CONTRATO Y SI BIEN ME REPONEN EL PORCENTAJE DE DESCUENTO ESO IGUAL NO DEBERÍA OCURRIR.	7	5	6	5	5	5	No	Si	Si	Si	Si	No	NA	4	4	6	5	NA	4. En tiendas/ sucursales	4. En tiendas/ sucursales	4. En tiendas/ sucursales	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	NA	NA	9. NS/NR	5	6	No	NA	NA	NA	1	0	15	2	No	fijo
25	NT3Uqo3yTaEj	43617	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	No	Entel	Entel	Entel	NA	NA	NA	NA	7	PORQUE ME HA SALIDO UN BUEN SERVICIO,BUENA COMUNICACIÓN,BUENA ATENCIÓN TÉCNICA, BUENA ASISTENCIA.	7	6	7	7	7	7	Si	Si	Si	Si	Si	Si	7	7	7	7	7	7	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	NA	7	NA	7	No	NA	NA	NA	7	10	10	0	Sí	fijo
26	YPfar3rcuDEg	43617	MV	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	Sí	Entel	Entel	Entel	NA	Entel	NA	NA	5	LA ATENCIÓN DE POST-VENTA DE LOS EJECUTIVOS SE HA ECHADO A PERDER MUCHO, HACE UN AÑO ATRÁS ERA MUY BUENA Y AHORA ES BASTANTE INEFICIENTE, NO RESPONDEN LOS CORREOS, HAY QUE INSISTIR VARIAS VECES CON LAS SOLICITUDES, HAY QUE ESTAR LLAMANDO PORQUE NO SON MUY ÁGILES EN LAS RESPUESTAS.	7	5	4	7	7	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	10	15	0	Sí	fijo
27	zqVsCFxiNwgT	43617	AV	GGEE	Entel	SI -> CONTINUAR	Sí	Sí	Sí	Sí	Sí	Entel	Entel	Entel	Entel	Entel	NA	NA	6	PORQUE SIEMPRE PASA ALGO EN QUE POR EJEMPLO A MEDIO DÍA EN PROVIDENCIA NO ENTRAN LAS LLAMADAS, SE CAE UN POCO EL INTERNET, YO CREO QUE ES PORQUE TODO EL MUNDO SE CONECTA A LA HORA DEL ALMUERZO, PERO DEBERÍA SER MAS ESTABLE EL TEMA.	6	4	5	6	3	3	Si	Si	No	No	No	No	5	5	NA	NA	NA	NA	1. Ejecutivo asignado	NA	NA	NA	NA	6	NA	NA	NA	7	No	NA	NA	NA	7	8	2	12	Sí	fijo
28	VDN73DkCi6vL	43617	MV	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	7	POR QUE NO HEMOS TENIDO MAYORES PROBLEMAS Y CUANTO HEMOS TENIDO PROBLEMAS CON ENTEL SOLUCIONAN MUY RÁPIDO.  NO SÉ, CUANDO HEMOS TENIDO PROBLEMAS CON LA RED INTERMITENTE LLAMAMOS Y EN MENOS DE SEIS HORAS ESTÁ SOLUCIONADO EL TEMA.	7	7	7	7	7	7	Si	No	No	No	Si	Si	7	NA	NA	NA	7	7	NA	NA	NA	2. A través del Call center, empresa	2. A través del Call center, empresa	NA	7	NA	NA	7	No	NA	NA	NA	7	10	4	6	No	fijo
29	85biifDBDnin	43617	MP	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	Sí	Entel	Entel	Entel	NA	Otra ¿Cúal?	NA	NA	6	SIETE SERÍA COMO PERFECTO Y PERFECTO NO ES. DETALLES, DE REPENTE SE HA CAÍDO EL SISTEMA Y PERO HA SIDO MUY INUSUAL.	7	6	7	7	9. NS/NR	7	No	No	No	No	Si	No	NA	NA	NA	NA	6	NA	NA	NA	NA	2. A través del Call center, empresa	NA	NA	7	NA	NA	6	No	NA	NA	NA	6	9	20	0	Sí	fijo
