encriptado	SEG_CORFO_FINAL	CL_SEGMENTO_GOL_original	P36	sex_enc	P27	F1	P1	P1._5	P2	P3	P4	P4_COD	P5[{_1}].resP5	P5[{_2}].resP5	P5[{_3}].resP5	P5[{_4}].resP5	P5[{_5}].resP5	P6	P7	P8[{_1}].resP8	P8[{_2}].resP8	P8[{_3}].resP8	P8[{_4}].resP8	P9	P10	P11[{_1}].rp11	P11[{_2}].rp11	P11[{_3}].rp11	P11[{_4}].rp11	P11[{_5}].rp11	P11[{_6}].rp11	P11[{_7}].rp11	P11[{_8}].rp11	P12[{_1}].rp12	P12[{_2}].rp12	P12[{_3}].rp12	P12[{_4}].rp12	P12[{_5}].rp12	P12[{_6}].rp12	P12[{_7}].rp12	P12[{_8}].rp12	P13[{_1}].rp13	P13[{_2}].rp13	P13[{_3}].rp13	P13[{_4}].rp13	P13[{_5}].rp13	P13[{_6}].rp13	P13[{_7}].rp13	P13[{_8}].rp13	P14[{_1}].rp	P14[{_2}].rp	P14[{_3}].rp	P14[{_4}].rp	P14[{_5}].rp	P15	P16[{_1}].rp16	P16[{_2}].rp16	P16[{_3}].rp16	P16[{_4}].rp16	P17[{_1}].rp17	P17[{_2}].rp17	P17[{_3}].rp17	P17[{_4}].rp17	P18	P18A[{_1}].Rp	P18A[{_2}].Rp	P18A[{_3}].Rp	P18A[{_4}].Rp	P18B[{_1}].Rp	P18B[{_2}].Rp	P18B[{_3}].Rp	P18B[{_4}].Rp	P19	P20	P20_COD	P21	P22	P23	P24	P25	P26	P28	P29	P30	P31	P33	Fecha_Enc
Q8g3hiQfCmLR	PYME	Mas	Regiones	Hombre	Sí	Sí	Entel,Movistar	NA	Entel	6	PORQUE DE REPENTE LAS LÍNEAS CAEN SE QUEDAN SIN COBERTURA	Poca continuidad del servicio  / se corta el servicio,Mala / poco cobertura	7. En absoluto acuerdo	NA	NA	NA	NA	5	6	7	6	Ns/Nr	7	7	7	No	Si	Si	Si	No	No	No	No	NA	6	4	6	NA	NA	NA	NA	NA	5.App Administradores Empresa	5.App Administradores Empresa	5.App Administradores Empresa	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Ha mejorado	8	5	OBRAS MENORES Y FABRICA DE MUEBLES	10 AÑOS	PUERTO MONTT	GERENTE	V1. PRE CRISIS
hAqwp7qRBtNL	PYME	Mas	Regiones	Hombre	Sí	Sí	Entel,Otros	CTR	Entel	7	CUMPLE CON LO QUE NECESITO DAN SOLUCION	Cumplen con lo que ofrecen,Responden / resuelven requerimientos	6	NA	NA	NA	NA	6	7	6	7	5	6	7	7	No	No	No	No	No	No	Si	No	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	9	14	EMPRESA AGRICOLA	20 AÑOS	OCTAVA REGION BIO BIO	DUEÑO	V1. PRE CRISIS
9wU2isU3hymh	PYME	Mas	Regiones	Hombre	Sí	Sí	Entel,WOM (no mencionar)	NA	WOM (no mencionar)	2	LA ATENCION DE  ENTEL SIEMPRE HORRIBLE NO TE SOLUCIONAN NADA DE HECHO TENGO UNA LINEA EN EL CAMPO PORQUE SE SUPONE QUE  TIENE MEJOR SEÑAL PERO EN LOS ULTIMOS 2 MESES LA CALIDAD  HA BAJADO BASTANTE	Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,Lentitud / ineficiencia en solución de problemas,Mala señal / pérdida de señal / interferencias	1. En absoluto desacuerdo	NA	NA	NA	NA	4	4	4	3	2	3	1	5	No	Si	Si	Si	No	Si	Si	Si	NA	4	4	4	NA	1	1	1	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	COBERTURA DE SEÑAL NO TIENE 4 G EN PLENO CENTRO DE LA CIUDAD HACE 4 MESES ATRAS TENIA 4 G Y BAJA A 3 G ES INTERMITENTE	Cobertura,No se activa el 4G,Intermitencia del servicio	NO	NA	NA	3	Ha empeorado	3	9	AGRICOLA	3	PURRANQUE OSORNO	DUEÑO	V1. PRE CRISIS
BwRdR14gtXzf	MICRO	Mas	Santiago	Mujer	Sí	Sí	Entel	NA	NA	6	DERREPENTE SE CAE EL INTERNET PERO MUY POCAS VECES NO HAY SECTOR EN ESPECIAL	Internet lento / inestable	7. En absoluto acuerdo	NA	NA	NA	NA	7	6	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	6	NA	NO	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	LA FLORIDA	NA	V2. POST CRISIS
WJj7gyxd8Nxn	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	EN REALIDAD ANDA BIEN PERO PODRIA SER MEJOR EN CANTIDAD DE GIGAS Y VELOCIDAD LO QUE INTERNET	Faltan cosas por mejorar / no es perfecta,Malos planes  / planes poco flexibles,Internet lento / inestable	7. En absoluto acuerdo	NA	NA	NA	NA	6	6	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	TUCAPEL	NA	V2. POST CRISIS
YFfvRyVmlUEn	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE NO HAY MUCHA SEÑAL, BAJO AHORA HACE 3 MESES	Mala señal / pérdida de señal / interferencias	6	NA	NA	NA	NA	6	7	6	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	Sí	NA	NA	5	5	SI	BAJA DE SEÑAL, TENGO QUE SALIR AL PATIO A BUSCAR SEÑAL, TENGO EQUIPOS NUEVOS	Caída de señal /señal / interferencias / corte de llamadas	SI	NO	NA	5	NA	NA	NA	NA	NA	RENGO	NA	V2. POST CRISIS
EPlw1xuJOhyF	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE PODRIA SER MEJOR EL SERVICIO MAS ECONOMICO QUE ES LO QUE UNICO BUSCA UNO SIEMPRE VA A BUSACAR LA ENMCONMIA MAS M,G	Faltan cosas por mejorar / no es perfecta,Precios altos / es caro / alzas de precio	7. En absoluto acuerdo	NA	NA	NA	NA	6	6	6	6	Ns/Nr	6	6	6	No	Si	No	No	No	No	No	No	NA	6	NA	NA	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Está Igual	7	1	ELECTRICIDAD	2 AÑOS	TEMUCO	GERENTE	V1. PRE CRISIS
Hu4EsPg7U0jU	PYME	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE PODRIA SER UN POCO MEJOR LA COBERTURA EN RESUMEN	Faltan cosas por mejorar / no es perfecta,Mala / poco cobertura	7. En absoluto acuerdo	NA	NA	NA	NA	6	6	7	7	5	7	7	7	No	No	Si	Si	No	No	No	No	NA	NA	7	7	NA	NA	NA	NA	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	6	AGRICOLA	5 AÑOS	FREIRE	PROPIETARIO	V1. PRE CRISIS
cvFrfSFWb6Gx	MICRO	Mas	Santiago	Mujer	Sí	Sí	Entel	NA	NA	3	PORQUE ESTA MUY LENTA LA SEÑAL, ME CORTARON EL TELEFONO ESTANDO PAGADO, NO HAY CON QUIEN HABLAR SOLO GRABADORAS, WEB NO DA RESPUESTAS, NI NADIE	Mala señal / pérdida de señal / interferencias,Poca continuidad del servicio  / se corta el servicio,No apoyan / no ayudan al cliente,Atención poco personalizada/ contestan grabadoras/ ejecutivos virtuales	5	NA	NA	NA	NA	6	3	Ns/Nr	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	Sí	NA	1	1	1	SI	ME CORTARON EL TELEFONO TENIENDO LA CUENTA PAGADA	Problemas con servicio de telefonía,Corte de servicio	SI	NO	NA	3	NA	NA	NA	NA	NA	LA FLORIDA	NA	V2. POST CRISIS
At4KY6wozNaE	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	7	PORQUE SIEMPRE TIENE BUENA SEÑAL Y ENCUENTRO QUE IGUAL ME DA HARTOS BENEFICIOS ENTEL. EN LOS DATOS MOVILES Y EN EL HACER LLAMADAS	Buena señal / no hay caídas de la señal / señal nítida,Otorga beneficios,Buen servicio de telefonía	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	5	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	Sí	NA	NA	7	7	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	CAUQUENES SEPTIMA REGION	NA	V2. POST CRISIS
tfwZt6M59ZpN	MICRO	Mas	Regiones	Mujer	Sí	Sí	Entel	NA	NA	7	NUNCA HE TENIDO UN PROBLEMA Y CUANDO LE HE LLEGADO SIEMPRE LO SOUCIONAN UN AVEZ POCO MINUTOS INMEDAMENTE AMPLIARON EL PLAN NOS  ACOMODO	Funciona bien /sin problemas,Responden / resuelven requerimientos,Buen plan / plan conveniente	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	6	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	CONSTITUCION	NA	V2. POST CRISIS
FdjaD4yxLYuc	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	7	PORQUE NO HE TENIDO NINGUN INCOVENIENTE CON EL SERVICIO Y EL TEMA DE LA FACTURACIONES ME LLEGAN AL DIA SE PUEDEN PAGAR ONLINE NO HE TENIDO PROBLEMAS CON LA COMPAÑIA	Funciona bien /sin problemas,Buenos servicios/ productos,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	6	NA	NA	NA	NA	7	7	6	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	LA SERENA	NA	V2. POST CRISIS
9Ydk7xYyIFjL	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	5	NO ES DE INMEDIATO CUANDO UNO SOLICITA UN REQUERIMIENTO	Lentitud / ineficiencia en solución de problemas	6	NA	NA	NA	NA	7	6	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	RECOLETA	NA	V2. POST CRISIS
xdGty4vesUIx	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel,Claro	NA	Entel	7	PORQUE LAS OTRAS COMPAÑIAS ERAN MUY MALAS POR LO MENOS AQUI EN ENTEL ME A SERVIDO BIEN EL CONVENIO DEL TEMA DE LOS PLANES ME COBRABAN OTRAS COSAS Y TENIA PROBLEMAS DE CONEXION CON CLARA SE CAIAN LAS LLAMADAS	Buena empresa / es la mejor empresa / es mejor que otras,Buen plan / plan conveniente,Buena conectividad	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	7	NA	NA	NA	Ns/Nr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	SANTIAGO CONCHALI	NA	V2. POST CRISIS
AXveRTJD27YK	MICRO	Mas	Regiones	Mujer	Sí	Sí	Entel	NA	NA	5	HE TENIDO PROBLEMAS CON LA SEÑAL HACE MUCHO TIEMPO SOBRETODO CON LA SEÑAL DE INTERNET ADEMAS ME CABRARON ALGO ADICIONAL UNA LLAMADA AL EXTRANJERO Y NO TUVE RESPUESTAS	Mala señal / pérdida de señal / interferencias,Poca continuidad del servicio  / se corta el servicio,Poca transparencia en cuentas / cobros indebidos / problemas de facturación,No responde / no resuelven requerimientos	7. En absoluto acuerdo	NA	NA	NA	NA	5	5	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	Sí	NA	5	NA	5	SI	HE TENIDO PROBLEMAS CON LA SEÑAL Y POR LA PANDEMIA NO DEBERIAN CORTAR LOS SERVICIOS	Caída de señal /señal / interferencias / corte de llamadas	SI	NO	NA	7	NA	NA	NA	NA	NA	LA SERENA - COQUIMBO	NA	V2. POST CRISIS
nN8MPE2xvaiq	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel,Otros	MUNDO PACIFICO	Entel	5	LA INFORMACION QUE DE REPENTE ME LLEGA A MIS CUENTAS NO ES CLARAS LOS CANALES DE PAGOS NO SON VIALES EL TEMA DE SERVICIO DE RESPALDO SE CORTA LA ENERGIA ELECTRICA Y QUEDAMOS SIN SEÑAL POR LAS ANTENAS	No mantiene bien informado / poca claridad en la información,Mala señal / pérdida de señal / interferencias	6	NA	NA	NA	NA	6	5	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	NA	4	5	NA	SI	PROBLEMAS DE SEÑAL CUANDO SE CORTA LA LUZ POR LA ANTENA QUEDAMOS SIN RESPALDO	Caída de señal /señal / interferencias / corte de llamadas	NO	NA	NA	4	NA	NA	NA	NA	NA	COELEMU REGION ÑUBLE	NA	V2. POST CRISIS
gDyzSGY9Hwdi	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE HAN SIDO PRUDENTES ME HAN DADO LO QUE ME HAN OFRECIDO ME COBRAN LO JUSTO Y SON CONSECUENTES ESO ME GUSTA MUCHAS COMPANIAS TE OFRECEN UNA COSA Y DESPUES NO ME LO DAN MAS QUE NADA MOVISTAR ES QUE TE COBRAN COSAS QUE NO CORRESPONDE	Cumplen con lo que ofrecen,Buenos precios / económicos / barato,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	7. En absoluto acuerdo	NA	NA	NA	NA	6	6	6	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	No	NA	7	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	SANTIAGO	NA	V2. POST CRISIS
