encriptado	SEG_CORFO_FINAL	CL_SEGMENTO_GOL_original	P36	sex_enc	P27	F1	P1	P1._5	P2	P3	P4	P4_COD	P5[{_1}].resP5	P5[{_2}].resP5	P5[{_3}].resP5	P5[{_4}].resP5	P5[{_5}].resP5	P6	P7	P8[{_1}].resP8	P8[{_2}].resP8	P8[{_3}].resP8	P8[{_4}].resP8	P9	P10	P11[{_1}].rp11	P11[{_2}].rp11	P11[{_3}].rp11	P11[{_4}].rp11	P11[{_5}].rp11	P11[{_6}].rp11	P11[{_7}].rp11	P11[{_8}].rp11	P12[{_1}].rp12	P12[{_2}].rp12	P12[{_3}].rp12	P12[{_4}].rp12	P12[{_5}].rp12	P12[{_6}].rp12	P12[{_7}].rp12	P12[{_8}].rp12	P13[{_1}].rp13	P13[{_2}].rp13	P13[{_3}].rp13	P13[{_4}].rp13	P13[{_5}].rp13	P13[{_6}].rp13	P13[{_7}].rp13	P13[{_8}].rp13	P14[{_1}].rp	P14[{_2}].rp	P14[{_3}].rp	P14[{_4}].rp	P14[{_5}].rp	P15	P16[{_1}].rp16	P16[{_2}].rp16	P16[{_3}].rp16	P16[{_4}].rp16	P17[{_1}].rp17	P17[{_2}].rp17	P17[{_3}].rp17	P17[{_4}].rp17	P18	P19	P20	P20_COD	P21	P22	P23	P24	P25	P26	P28	P29	P30	P31	P33
PniDOc64JkWy	MICRO	Mas	REGIONES	Mujer	Sí	Sí	Entel	NA	NA	6	PORQUE ÚLTIMAMENTE LA SEÑAL HA SIDO MUY MALA CON RESPECTO AL INTERNET EN LA COMUNA DEL MAULE EN CALLEJONES Y LO OTRO QUE ELLOS NO TIENEN UN INTERNET COMO PARA EL CAMPO HAY UN PLAN QUE NO SIRVE PARA EL CAMPO PORQUE LO TIENEN BLOQUEADO ES UN PLAN DE INTERNET MÓVIL	Mala señal / pérdida de señal / interferencias,Internet lento / inestable,Malos planes  / planes poco flexibles	7	7	7	6	6	5	5	5	5	5	2	5	7	No	No	Si	No	Si	Si	No	No	NA	NA	5	NA	5	6	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	CON RESPECTO AL INTERNET QUE ES MUY LENTO CUANDO UNO QUIERE BAJAR UN VIDEO MUSICAL SE DEMORA MUCHO O CUALQUIER COSA QUE UNO QUIERA BUSCAR EN GOOGLE INCLUSIVE PARA HABLAR POR TELÉFONO UNO TIENE QUE SALIR A LA CALLE PORQUE NO SE PUEDE IGUAL CUANDO QUIERES BAJAR ALGO HAY QUE SALIR CALLE	Baja velocidad de Internet,Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación,Problemas con servicio de telefonía	SI	NO	NA	5	Está Igual	5	2	MINIMERCADO	HACE MUCHOS AÑOS, NO RECUERDO PERO HACE MUCHO TIEMPO	MAULE, TALCA	DUEÑA
Yxk4ts8O9EPQ	PEQUEÑA	Mas	REGIONES	Mujer	Sí	Sí	Entel	NA	NA	4	POR QUE ME HICIERON UNOS COBROS MAS ALTOS ME SOLUCIONARON EL PROBLEMA Y ME CORTARON EL SERVICIO TUVE QUE RECURRIR A SUCURSAL PARA SOLUCIONARLO	Poca transparencia en cuentas / cobros indebidos / problemas de facturación,No responde / no resuelven requerimientos	7	5	5	6	6	6	5	6	6	6	4	3	3	No	Si	Si	Si	Si	No	No	Si	NA	7	7	7	7	NA	NA	3	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	2.Call center	NA	4	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	PROBLEMA DE COBROS INDEBIDOS DESPUES ME DIERON NOTAS DE CREDITO QUE IBA A OCUPAR PARA OTROS PAGOS Y ME CORTARON LOS SERVICIOS 2 O 3 MESES PARA BUSCAR SOLUCION LUEGO CONCURRIR AL CALL CENTER PARA QUE SE REBAJE LA NOTA DE CREDITO Y ACTIVAR EL SERVICIO	Cobros indebidos,Lentitud ante requerimientos,No resuelven requerimientos/no dan respuesta	SI	SI	4	6	Ha mejorado	9	5	CONFECCIONES	MUCHOS AÑOS	SAGRADA FAMILIA, REGION DEL MAULE	DUEÑA
UWM3thNA47dB	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel,WOM (no mencionar)	NA	Entel	4	POR QUE ES MALA EN LA SEÑAL UNO TRABAJA EN LAS MINERAS Y CERROS Y AHORA NO HAY EN TODOS LADOS, ES MALA EL SERVICIO	Mala señal / pérdida de señal / interferencias,Mal servicio / desconforme con el servicio	4	Ns/Nr	5	5	Ns/Nr	4	4	5	Ns/Nr	4	5	7	5	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	LA COBERTURA ES MALA Y EL INTERNET, LA SEÑAL ES MALA	Cobertura,Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación,Caída de señal /señal / interferencias / corte de llamadas	NO	NA	NA	4	Ha empeorado	4	1	NO INDICA	MAS DE QUINCE AÑOS	ANTOFAGASTA	DUEÑO
HHGnSmQpshj4	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel,WOM (no mencionar)	NA	Entel	5	NO TIENEN PROMOCIONES Y NADA ESPECIAL PARA LOS CLIENTES ANTIGUOS	Pocas / malas ofertas,Pocos beneficios para clientes antiguos	6	6	5	5	6	5	6	5	6	5	5	6	6	No	No	No	Si	No	No	No	No	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	5	Ha empeorado	4	7	COMUNICACIONES	10 AÑOS	CURICO	DIRECTOR
fWbU3LhbtYlZ	PEQUEÑA	Mas	SANTIAGO	NA	No	Sí	Entel	NA	NA	7	POR QUE EN TODOS LADOS TIENEN BUENA COBERTURA	Buena cobertura	7	7	7	7	Ns/Nr	7	7	5	7	7	7	7	7	No	Si	No	Si	Si	No	No	Si	NA	7	NA	7	7	NA	NA	7	NA	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	2.Call center	NA	7	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	0	15	VENTAS DETERGENTES	10 AÑOS	SANTIAGO	GERENTE COMERCIAL
9dCJYUHgnRIf	PEQUEÑA	Mas	SANTIAGO	NA	No	Sí	Entel,Movistar	NA	Entel	7	POR UQE NUNCA EH TENIDO PROBLEMA CON SEÑAL NI NADA	Funciona bien /sin problemas,Buena señal / no hay caídas de la señal / señal nítida	7	7	7	7	Ns/Nr	7	7	7	7	7	5	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	5	MINERIA Y AGUA POTABLE	10 AÑOS	CONCHALI	DUEÑA
rrEjsAEuH9VQ	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	4	PRIMERO HE TENIDO BASTANTES PROBLEMAS PORQUE HE TENIDO VARIOS MOVILES Y ME HAN COBRADO CIFRAS EXCESIVAS Y BAJE EL PLAN Y ME SIGUEN COBRANDO LO MISMO TENGO QUE IR A LA EMPRESA Y LA SEÑAL HA ESTADO PESIMA DE HACE DOS AÑOS PARA ACA DONDE VIVO YO	Equipos caros,Poca transparencia en cuentas / cobros indebidos / problemas de facturación,Mala señal / pérdida de señal / interferencias	6	5	5	6	Ns/Nr	6	4	Ns/Nr	Ns/Nr	Ns/Nr	Ns/Nr	6	6	No	No	No	No	Si	No	No	No	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Ha empeorado	6	1	AGRICOLA	25 AÑOS	SAN CLEMENTE	PROPIETARIO
E2gUujiv6W75	PEQUEÑA	Mas	SANTIAGO	Mujer	Sí	Sí	Entel	NA	NA	5	PORQUE AVECES SE CAE Y AVECES NO SOBRE EL INTERNET BAJA LA VELOCIDAD	Poca continuidad del servicio  / se corta el servicio,Internet lento / inestable	6	6	6	5	5	6	5	6	6	6	Ns/Nr	6	7	Si	Si	No	Si	No	No	No	No	7	7	NA	7	NA	NA	NA	NA	2.Call center	3.Página Web Entel Empresas	NA	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	5	TRANSPORTE DE CARGAS EN CARRETERA	1 AÑO	COLINA	DUEÑA
jmUpqSbi81KR	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	7	LA señal que tieNE EN TODOS LADOS ME AGARRA EL CELULAR	Buena señal / no hay caídas de la señal / señal nítida	7	7	7	7	7	7	7	7	7	7	6	7	7	No	No	Si	Si	Si	No	Si	No	NA	NA	7	7	7	NA	7	NA	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Ha mejorado	10	3	ESTACION DE SERVCIO AGRICOLa	7 AÑOS	GRANEROS	DUEÑO
EovwpkY323Vi	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	5	TUVE PROBLEMA DE SEÑAL Y LLAME Y NUNCA ME DIERON UNA ESPLICASION BIEN CLARA	Mala señal / pérdida de señal / interferencias,Lentitud / ineficiencia en solución de problemas,No mantiene bien informado / poca claridad en la información	6	6	6	6	6	6	5	5	5	5	6	6	6	No	No	Si	No	Si	Si	No	Si	NA	NA	5	NA	6	6	NA	5	NA	NA	2.Call center	NA	5.App Administradores Empresa	2.Call center	NA	2.Call center	NA	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	LA SEÑAL DE NAVEGACION Y AVECES POCA SEÑAL DE LLAMADA	Caída de señal /señal / interferencias / corte de llamadas,Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación,Problemas con servicio de telefonía	SI	SI	5	5	Ha empeorado	5	4	TRANSPORTE	15 AÑOS	REGION DEL MAULE , CURICO	REPRESENTANTE
AvHFisoLtVBU	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	7	POR QUE ESTOY CONTENTO ESTOY FELIZ CON LA COMPAÑIA Y SUS SERVICIOS	Le gusta la compañía / empresa,Buen servicio / conforme / satisfecho con el servicio,Satisface necesidades	7	7	7	7	7	7	7	7	7	7	7	7	7	No	No	Si	No	No	Si	No	No	NA	NA	7	NA	NA	7	NA	NA	NA	NA	4.En tiendas/ sucursales,5.App Administradores Empresa	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Ha mejorado	10	5	COMERCIAL	22 AÑOS	LA FLORIDA	DUEÑO
evEM5jtgkeTQ	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	5	PORQUE CUANDO EH TENIDO ALGUN PERCANSE EL TRAMITE HA SIDO DEMASIADO LENTO EN OFICINAS Y LE HAN DADO RESPUESTAS MUY TARDEMENTE	Lentitud / ineficiencia en solución de problemas,Lentitud en la atención	6	6	5	6	6	5	5	5	5	5	5	5	5	No	Si	No	No	Si	Si	Si	Si	NA	5	NA	NA	5	4	6	4	NA	2.Call center,4.En tiendas/ sucursales	NA	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	4.En tiendas/ sucursales	2.Call center,4.En tiendas/ sucursales	NA	3	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	PROBLEMAS DE FACTURACION DE COBERTURA Y PROBLEMAS DE CAMBIO DE EQUIPO	Problemas con la facturación / cobros desfasados / cobros poco claros,Cobertura,Demora en cambio de equipo / demora en entregar equipos	SI	SI	5	5	Está Igual	5	7	AGRICOLA GANADERO	HACE 8 MESES	EN MELIPILLA	DUEÑO
2p2I6PvoaGvm	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	6	DERREPENTE TENGO PROBLEMAS CON EL TELEFONO DICEN QUE ME LLAMAN Y EL TELEFONO NO SUENA NO SIEMPRE	Mal servicio de telefonía/ se cortan las llamadas	7	7	7	7	7	6	7	6	7	7	Ns/Nr	6	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	9	7	SERVICIOS AUTOMOTRIZ	1 AÑO APROX	TALCA	DUEÑO
xodD4lzhndKn	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	5	PORQUE A VECES SOLUCIONAN PROBLEMAS Y OTRAS VECES NO LA SOLUCIONAN ALGUN RECLAMO LOS COBROS DE HECHO LLAME QUE ME TENIA OTRO PLAN FUI A LA SUCURSAL Y NO ERA EL MISMO PLAN QUE ME DIERON EN EL CALL CENTER Y EN LA SUCURSAL ERA MAS CARO ENTONCES HAY UN DESORDEN ENTRE EL CALL CENTER Y LA SUCURSAL ME PASO AYER LLAMO AL CALL CENTER Y ME DICE QUE TENGO UN PLAN Y DESPUES VOY A LA SUCURSAL VOY Y NO ERA LO MISMO ENTONCES ES MEDIO ENREDADO	Responden / resuelven requerimientos,Precios altos / es caro / alzas de precio,No mantiene bien informado / poca claridad en la información	6	4	5	4	4	5	5	4	4	4	4	5	5	No	No	No	No	No	No	No	Si	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	2.Call center	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	5	Está Igual	5	10	VENTA DE RESPUESTOS Y MECANICA Y PRESTACION DE SERVICIOS	15 AÑOS	LA FLORIDA	DUEÑO
Hu4EsPg7U0jU	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	7	POR SIEMPRE ME FUNCIONO BIEN Y NUNCA TUVO PR0BLEMAS Y LA ATENCION ES BUENA	Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas,Buena atención / amabilidad	7	7	7	7	Ns/Nr	6	6	7	7	7	7	7	7	No	No	Si	Si	Si	No	No	No	NA	NA	7	7	7	NA	NA	NA	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	8	AGRICOLA	3 AÑOS	FREIRE	DUEÑO
TZDDSuf84kwR	PEQUEÑA	MasPrem	REGIONES	Mujer	Sí	Sí	Entel	NA	NA	7	PORQUE SIEMPRE ME HAN ENTREGADO BUENOS PRODUCTOS Y BUENAS OFERTAS	Buenos servicios/ productos,Buenas ofertas	7	7	7	7	Ns/Nr	7	7	6	7	7	7	7	7	No	Si	Si	No	No	No	Si	No	NA	7	7	NA	NA	NA	7	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	11	DISTRIBUCION DE PRODUCTOS EDITORIALES	5 A 8 AÑOS	SAN FERNANDO	AGENTE
XucTpcZb0K6p	PEQUEÑA	MasPrem	REGIONES	Mujer	Sí	Sí	Entel	NA	NA	7	PORQUE NO HE TENIDO PROBLEMAS CON LA EMPRESA	Funciona bien /sin problemas	7	7	7	7	Ns/Nr	7	7	7	7	7	Ns/Nr	7	7	No	No	Si	Si	Si	No	Si	Si	NA	NA	7	7	7	NA	7	7	NA	NA	5.App Administradores Empresa	2.Call center	2.Call center	NA	2.Call center	2.Call center,4.En tiendas/ sucursales	NA	5	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	FUE EL CAMBIO DE PLAN Y LA COMUNICACIÓN VIA TELEFONO QUE ME AGREGARON UN LINEA QUE NO SOLICITE, TENGO LA DUDA SI BAJO EL VALOR	Con cambio de plan,Problemas con información/ Información no llega en forma oportuna/ poco clara,Personal de Call Center poco capacitado / ineficiente	SI	Está en trámite	NA	7	Está Igual	10	5	TRANSPORTE	17 AÑOS	ANTOFAGASTA	ADMINISTRADORA
q1KjIo0HQr9G	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	7	POR SU BUEN SERVICIO POR PRODUCTOS MAS ECONÓMICOS LA ATENCIÓN ES BUENA RÁPIDA Y COLISIONAN LOS PROBLEMAS	Buen servicio / conforme / satisfecho con el servicio,Buenos precios / económicos / barato,Buena atención / amabilidad,Rapidez / eficiencia en solución de problemas	7	7	7	7	7	7	7	7	7	7	7	7	7	No	Si	No	No	No	No	No	Si	NA	7	NA	NA	NA	NA	NA	7	NA	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	3.Página Web Entel Empresas	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Ha mejorado	10	3	CONTRATISTA DE OBRAS MENORES	5 AÑOS	MAIPU	JEFE
