encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	P4_COD	Ciudad_comuna	Cargo
07zC79yqAxAI	MICRO	Mas	Santiago	Hombre	4	PORQUE HAY MUCHOS CAMBIOS DE TARIFA Y COMO NO SE PUEDE RECLAMAR UNO SE QUEDA AHI	Poca transparencia en cuentas / cobros indebidos / problemas de facturación,Mal ejecutivo / mala atención del ejecutivo / Difícil contactar	PEDRO AGUIRRE CERDA	NA
wxqFvLKArjUw	MICRO	Mas	Regiones	Hombre	5	DE REPENTE LA SEÑAL NO ES BUENA (HAY LUGARES QUE NO SE ESCUCHA LA COMUNICACIÓN) (EN RAUCO)	Mala señal / pérdida de señal / interferencias	CURICO	DUEÑO
m68d6R5YdMgZ	PYME	Mas	Santiago	Hombre	4	PORQUE LA FIDELIZACIÓN NO SIDO LA MEJOR, POR EL TRATO AL CLIENTE MAS DE 15 AÑOS CON LA EMPRESA Y NO HE TENIDO NINGUNA TRATO DE FIDELIZACIÓN, MEJORES BENEFICIOS, UNO ESPERA MEJORES TRATOS	Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,Pocos beneficios para clientes antiguos	QUINTA NORMAL	DIRECTOR
vNGWxy0axBhR	MICRO	Mas	Regiones	Mujer	5	PORQUE SIEMPRE ESTUVE PAGANDO MAS DE 200000 MIL PESOS DE TELEFONO NUNCA LLEGAMOS A UN ACUERDO Y TENEMOS 5 LINEAS Y AHORA HACE COMO DOS MESES BAJAMOS A UNOS PLANES DE 13000 MIL PESOS	Precios altos / es caro / alzas de precio,Poca transparencia en cuentas / cobros indebidos / problemas de facturación	SANTA BARBARA	NA
9vDEykCTDp3H	MICRO	Mas	Regiones	Mujer	5	NO TIENE TAN BUENOS PLANES	Malos planes  / planes poco flexibles	LOLOL	NA
nw3UYoSmbTmZ	PYME	Mas	Regiones	Mujer	6	TENGO PROBLEMAS EN FACTURACIÒN, COMO PAGAR CUANDO ESTOY ATRASADA, CON LA PAGINA AL TRATAR PAGAR 2 BOLETAS, ES MUY ENGORROSO EL SISTEMA PARA ENTRAR, MARCAR SOLO UNA, SOLO PUEDE IR A LA SUCURSAL DE LUNES A VIERNES Y EXISTE SOLO UNA SUCURSAL EN VIÑA, Y NO SE PUEDEN PAGAR JUNTOS LOS MONTOS. LA FORMA DE PAGAR ATRASADA  ES PESIMA	Poca transparencia en cuentas / cobros indebidos / problemas de facturación,Página Web poco amigable,Pocas sucursales	VIÑA DEL MAR QUINTA REGION	ADMINISTRADORA, JEFA
njVa49LfT5pC	PYME	Mas	Regiones	Hombre	5	PORQUE EL SERVICIO DE INTERNET EN SU DIRECCIÓN PARTICULAR NO LE FUNCIONAN BIEN (LA VELOCIDAD ES LENTA) Y CUANDO ME CAMBIE A ENTEL AL INICIO ERA BIEN	Internet lento / inestable	VILLA RITA	DUEÑO
98N9B58jr426	MICRO	Mas	Santiago	Mujer	5	PORQUE VIVO EN PEÑAFLOR Y HE TENIDO MUY MALA SEÑAL VIENE HACE UN TIEMPO VIENE DE ESTE AÑO ANTES QUE TODO ESTUVIERA COLAPSADO A RATOS SE CAIA 3G 4G	Mala señal / pérdida de señal / interferencias,Problemas con 4G/ mal servicio	LA FLORIDA	NA
mYN4GVlPDjgw	PYME	Mas	Regiones	Hombre	4	PORQUE NO ES BUENA SEÑAL EN LA SEPTIMA REGION EL SERVICIO AL CLIENTE ES PESIMO	Mala señal / pérdida de señal / interferencias,Mal ejecutivo / mala atención del ejecutivo / Difícil contactar	CONSTITUCION	JEFE DE PRODUCCION Y DUEÑO
BmkdCZe2upwD	MICRO	Mas	Santiago	Hombre	7	PORQUE NO TENGO MAYORES PROBLEMAS CON LA SEÑAL NI CON LAS COSAS QUE REALIZA CON EL TELEFONO	Buena señal / no hay caídas de la señal / señal nítida,Buen servicio de telefonía	ÑUÑOA	NA
zJCTctkxHAwp	MICRO	Mas	Regiones	Hombre	7	TENGO COBERTURA POR DONDE ANDO HAY OTRA COMPAÑIAS ES MUY  MALA LA COBERTURA HE PROBADO CON CLARO Y CON MOVISTAR	Buena cobertura	LOS ANGELES	REPRESENTANTE LEGAL
Zdq7b0CJNsY2	MICRO	Mas	Regiones	Hombre	7	PORQUE ME HAN DADO UN BUEN SERVICIO NO HE TENIDO PROBLEMAS EN AÑOS	Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas,Es cliente antiguo/ lleva años	TALCAHUANO	NA
RI2dYuK0vVwz	MICRO	Mas	Santiago	Hombre	4	NO HAY INTERNET LAS LLAMADAS SE INTERRUMPEN. HACE INTERFERENCIA	Internet lento / inestable,Mal servicio de telefonía/ se cortan las llamadas	MELIPILLA	TRANSPORTISTA
GlSNIIOquTNV	MICRO	Mas	Santiago	Mujer	6	ESTOY SATISFECHA CON LA COMPAÑIA NO HE TENIDO PROBLEMAS DE CONEXION PERO HE TENIDO PROBLEMAS DE RESOLUCION DE PROBLEMAS DE CONEXION NO DE CONECTIBIDAD	Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas,Continuidad del servicio,No responde / no resuelven requerimientos	PADRE HURTADO	NA
MLtJW9CwqBXB	MICRO	Mas	Regiones	Mujer	1	PORQUE EL SERVICIO ES PESIMO LA CONEXION ES HORRIBLE NO PUEDES DESCARGAR SE CORTO TODO AQUI EN ISLA DE PASCUA LA ISLA EN GENERAL NO QUIERE SABER NADA DE ENTEL PORQUE LA COMPAÑIA ES PESIMA LA CONECTIVIDAD AQUI ES HORRIBLE TU LLEGAS A SANTIAGO Y VUELA AQUI EN LA ISLA ES HORRIBLE OJALA LLEGARA OTRA EMPRESA LAMENTABLEMENTE ES LO UNICO QUE HAY TIENE EL MONOPOLIO ACA HEMOS HECHO MILLONES DE RECLAMOS Y NO SE HACEN PRESENTE	Mal servicio / desconforme con el servicio,Mala / poco cobertura,Poca continuidad del servicio  / se corta el servicio,Internet lento / inestable	ISLA DE PASCUA	NA
sELrT29kqwti	PYME	Mas	Santiago	Hombre	6	BUENA FUNCIONA BIEN  BUENA COBERTURA CUMPLEN LA PEGA HACEN LA PEGA	Buenos servicios/ productos,Buena cobertura,Cumplen con lo que ofrecen	MAIPU	GERENTE GENERAL
wxckI7AW46ZY	MICRO	Mas	Regiones	Hombre	5	"PORQUE HE TENIDO VARIOS PROBLEMAS CON ENTEL EN CUANTO A LAS FECHAS DE LOS CONTRATOS NOTAS DE CRÉDITO Y CON EL ROAMING
LA SEÑAL PESIMA EL INTERNET PÉSIMA AQUI EN PUERTO WILLIAMS"	No cumplen con lo que ofrecen,Mal funcionamiento del Roaming,Mala señal / pérdida de señal / interferencias,Internet lento / inestable	CABO DE HORNOZ	NA
RUvOq96KAQCP	MICRO	Mas	Santiago	Hombre	4	PORQUE EL SERVICIO QUE SE ME OFRECIO NO ES EL QUE TENGO ACTUALMENTE ES PESIMA LA CONECTIVIDAD  ESTABA EN OPTRA COMPAÑIA UYNA EJECUTIVA ME LLAMO Y ME OFRECIO BASTANTE COSAS Y DESPUES  A EJECUTIVA NO ME LLAMO Y NO LA PUDE UBICAR  NO ES LO QUE OFRECIERON  DEJAN BASTANTE QUE DESEAR   COMO EMPRERSA NO PUEDO  TENER EQUIPO NUEVO Y HAY MUCHAS TRABAS PARA CONSEGUIR ALGO	No cumplen con lo que ofrecen,Mala conectividad,No realizan cambio de equipos/ problemas con cambio de equipos	QUILICURA	NA
R0d2LKgPweJ0	MICRO	Mas	Regiones	Hombre	7	CUANDO TENGO PROBLEMAS ME LOS SOLOCIONAN A LA BREVEDAD Y BUENA COBERTURA	Rapidez / eficiencia en solución de problemas,Buena cobertura	SANTA BARBARA BIO BIO	NA
xYiuFRpLhjuQ	MICRO	Mas	Regiones	Hombre	6	MAS QUE NADA EL TEMA DE LA ESTABILIDAD DE LA VELOCIDAD DEL INTERNET EN DE PENDE MAS DEL CLIMA ADEMAS	Internet lento / inestable	PUTRE	JEFE
cA4zHfUzM1ox	MICRO	Mas	Regiones	Hombre	6	NUNCA TENGO PROBLEMAS CON ENTEL NO SE CAE EN INTERNET PUEDO LLAMAR NO TENGO PROBLEMAS CON LA RED	Funciona bien /sin problemas,Continuidad del servicio,Buen funcionamiento de Internet / velocidad / estabilidad,Buen servicio de telefonía	TEMUCO, LOS JUNCOS	NA
64pH5j6iZGbi	MICRO	Mas	Santiago	Hombre	6	POR QUE EN GENERAL HA SIDO BUEN SERVICIO, HEMOS TENIDO UN PAR DE CAÍDAS PERO LO HEMOS PODIDO SOLUCIONAR DE FORMA RÁPIDA.	Buenos servicios/ productos,Rapidez / eficiencia en solución de problemas	QUINTA NORMAL.	CORDINADOR DE PROYECTOS.
gb6i2HpVylp9	MICRO	Mas	Santiago	Hombre	6	SIEMPRE HAY PROBLEMA EN LOS PAGOS YO TENIA LINEAS QUE SIEMPRE COBROS DEMAS PLAN SE PASARON EN LOS MEGA ACITIVO ALGO SOY EL UNICO QUE USA LA CLAVE ES PERDER TIEMPO EN AVERIGUAR Y LOS RECMAOS NUCA DA SOLUCIONES TE DAN SOLUCIONES CUANDO HYA PROBLEMA DIPOSICION D ELOS OPERADORES	Poca transparencia en cuentas / cobros indebidos / problemas de facturación,No responde / no resuelven requerimientos,Poca preocupación por el cliente	QUILICURA	NA
0Xm4aBgN7Dk8	MICRO	Mas	Regiones	Mujer	6	PORQUE BANDA ANCHA HA SIDO MUY MALO NO ES TAN BUENO PERO ES MAS BUEN QUE MALO ES BUENO Y AHI OPORTUNIDADES EN VERANO QUE LA RED COLAPSA NO SE PUEDE NAVEGAR YO CREO QUE EN CIERTOS HOARIOS HAY HORARIOS EN EL DIA QUE NO TIENE SEÑAL POR LO GENERAL ANDA BIEN EN ESTO MOMENTOS ES MEJOR LLAMAR POR WASAP QUE POR LAS LLAMADAS PORQUE LA LLAMADA SE CORTA AQUI DENTRO DE MI CASA EN CHANCO	Poca continuidad del servicio  / se corta el servicio,Internet lento / inestable,Mala señal / pérdida de señal / interferencias,Mal servicio de telefonía/ se cortan las llamadas	CHANCO	NA
SjNege6jqF8Y	MICRO	Mas	Santiago	Mujer	7	PORQUE DONDE VIVO YO NO TENGO PROBLEMAS DE SEÑAL INTERNET RAPIDO EL PLAN TIENE HARTOS MINUTOS LADO DE LA CORDILLERA DEMASIADO RURAL	Buena señal / no hay caídas de la señal / señal nítida,Buen funcionamiento de Internet / velocidad / estabilidad,Buen plan / plan conveniente	SANTIAGO	INDEPENDIENTE TRABAJOS CONTABLES
TEIkRGjVwvgR	MICRO	Mas	Regiones	Hombre	6	POR QUE TIENE BUENA SEÑAL Y PRECIO ASEGIBLE LA VELOSIDE DE INTERNET CONEXION ES MUY BUENA ESTOY CONFORME SIEMPRE E TENIDO ENTEL	Buena señal / no hay caídas de la señal / señal nítida,Buenos precios / económicos / barato,Buen funcionamiento de Internet / velocidad / estabilidad,Buena cobertura,Buen servicio / conforme / satisfecho con el servicio	TALCA	DUEÑO
TcancJVDFBAK	MICRO	Mas	Regiones	Mujer	6	PORQUE ME HAN RESUELTO LOS PROBLEMAS TENGO BUENA SEÑAL NO HE TENIDO PROBLEMAS Y EN REALIDAD NO HE TENIDO CASI NUNCA PROBLEMAS	Responden / resuelven requerimientos,Buena señal / no hay caídas de la señal / señal nítida,Funciona bien /sin problemas	CHILLAN	NA
wUSr5w1WJI1p	MICRO	Mas	Santiago	Hombre	6	"PORQUE NO ES EXCELENTE UNO PONE UN 7 CUANDO ES EXCELENTE LE CUBRE TODO BAJO COSTO
TIENE UN PROBLEMA DE LA ATENCIÓN QUE ES MUY LENTA CUANDO UNO VA A LA SUCURSAL"	Faltan cosas por mejorar / no es perfecta,Buenos precios / económicos / barato,Lentitud en la atención	SANTIAGO, LA REINA	NA
