encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	P4_COD	Rubro	Ciudad_comuna	Cargo
gkFIOA3Basoi	PEQUEÑA	Mas	SANTIAGO	Mujer	4	HICIERON SUPER COMPLEJO CAMBIO DE PLAN Y ME TUVIERON AMARRADA A UNA TARIFA CARISIMA, POCA FLEXIBILIDAD CON LOS PLANES	Problemas para realizar cambio de plan,Precios altos / es caro / alzas de precio,Malos planes  / planes poco flexibles	ARQUITECTURA Y CONSTRUCCION	LAS CONDES	SOCIA
ULpkfxPj5gMc	MICRO	Mas	SANTIAGO	Hombre	6	PORQUE SE PUEDE MEJORAR PLANES Y TARIFAS. DESTACA CONECTIVIDAD	Malos planes  / planes poco flexibles,Precios altos / es caro / alzas de precio,Buena cobertura	CERVECERIA	SANTIAGO	DUEÑO
fmTMacWHf5Cg	MICRO	Mas	SANTIAGO	Mujer	7	PORQUE ESTAN OTRAS COMPAÑIAS SON UN DESASTRE Y ENTEL SIEMPRE TIENE SEÑAL Y BUEN SERVICIO EN ZONAS RURALES. ES ESTABLE ES MUY ESTABLE, TIENE UNA BUENA SEÑAL DE INTERNET TAMBIEN.	Buena señal / no hay caídas de la señal / señal nítida,Buen servicio / conforme / satisfecho con el servicio,Buen funcionamiento de Internet / velocidad / estabilidad	DISEÑO TEXTIL	PROVIDENCIA	PROPIETARIA
W9ZbQgqEpZvh	MICRO	Mas	REGIONES	Mujer	5	PORQUE AVECES HAY PROBLEMAS CON EL INTERNET Y SEÑAL DE LLAMADAS SE CAE	Internet lento / inestable,Mala señal / pérdida de señal / interferencias,Mal servicio de telefonía/ se cortan las llamadas	TRANSPORTE DE CARGA POR CARRETERA	SAN VICENTE TAGUA TAGUA	DUEÑA
HX1GFej5kJRp	MICRO	Mas	REGIONES	Hombre	7	PORQUE ENTEL RESPONDE EN TODOS LOS AMBITOS	Empresa de prestigio / buena imagen	CONSTRUCCION Y PUBLICIDAD	CHILLAN	DUEÑO
AyJKUGzHl8yl	PEQUEÑA	Mas	REGIONES	Hombre	7	A MI PUNTO DE VISTA NUNCA TUVE PROBLEMAS CON ENTEL	Funciona bien /sin problemas	SERVICIOS MANTENCION ASEO INDUSTRIAL	IQUIQUE	DUEÑO
9QMufYEDWymT	PEQUEÑA	Mas	REGIONES	NA	6	HAY UN TEMA DE COSTO POR EJEMPLO HAY OTRA EMPRESA WOM  QUE ME OFRECEN MENOS COSTO Y MAYORES COSAS POR EJEMPLO MAS GIGAS MAS MINUTOS PARA HABLAR AL MISMO COSTO QUE TENGO CON ENTEL POR ESO NO LE PONGO UN SIETE	Precios altos / es caro / alzas de precio,Malos planes  / planes poco flexibles	REFRIGERACION Y AIRE ACONDICIONADO	VALAPARAISO	GERENTE
M3o9IkFshCeC	PEQUEÑA	Mas	SANTIAGO	Hombre	7	PORQUE NUNCA TENGO PROBLEMA DE SEÑAL Y SIEMPRE TENGO CONTACTO CON TODO	Buena señal / no hay caídas de la señal / señal nítida,Continuidad del servicio	TRANSPORTE	LA GRANJA	EL DUEÑO
tdT0AYhFrQsS	MICRO	Mas	REGIONES	Hombre	6	PORQUE FALTA QUE SEAN MAS APOYEN MAS A SUS CLIENTES PORQUE SOY CLIENTES HACE 3 4 AÑOS Y HE QUERIDO CAMBIAR EQUIPOS Y TENGO 4 LINEAS	Pocos beneficios para clientes antiguos,No realizan cambio de equipos/ problemas con cambio de equipos	SERVICIO TECNICO	CONCEPCIÓN	DUEÑO
BtrO1wwMj8Bx	PEQUEÑA	Mas	SANTIAGO	NA	7	PORQUE TIENE BUEN SERVICIO NO SE PIERDE LA SEÑAL	Buen servicio / conforme / satisfecho con el servicio,Buena señal / no hay caídas de la señal / señal nítida	REPARACIÓN DE MAQUINARIAS	PUENTE ALTO	DUEÑO
HoGjSjGs2saD	PEQUEÑA	Mas	REGIONES	NA	6	PORQUE A MENUDO PUEDE TENER BAJAS DE QUE SE QUEDAN SIN INTERNET  A VECES YO LLAMO A LOS EMPLEADOS DE LA EMPRESA QUE TRABAJAMOS EN TRANSPORTE Y NO CAE LAS LLAMADAS E ALGUNOS LUGARES COMO EN LA ISLA DE CHILOÉ	Internet lento / inestable,Mal servicio de telefonía/ se cortan las llamadas	TRANSPORTE	PUERTO MONTT	DUEÑA
D35XH8nSWDYx	PEQUEÑA	Mas	SANTIAGO	Hombre	7	PORQUE QUIERO NO TENGO PARAMETRO DE MEDICION CON ESTA EMPRESA ES BUENO PORQUE CUMPLE MIS EXPECTATIVAS DENTRO DEL RANGO DE FACTURACIÓN QUE ESTOY HACIENDO ESTA BIEN CUMPLE LOS PARAMETROS ESTABLECIDOS	Satisface necesidades,Buen servicio / conforme / satisfecho con el servicio,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	CONSTRUCCION	CERRILLOS	GERENTE DE OPERACIONES
UnG0AjgidPqA	PEQUEÑA	Mas	SANTIAGO	Mujer	5	SE DEMORARON EN OFRECERME ALGUNOS BENEFICIOS ALGO DE INTERNET	Pocos beneficios	CAFETERÍA	RECOLETA	GERENTE GENERAL
ssL2J2zRRglF	PEQUEÑA	MasPrem	SANTIAGO	Hombre	4	PORQUE PAGABA PLANES ALTO Y NUNCA ME OFRECIAN OFRECIA OFERTAS, NI OPCIONES DE PAGO, ANTES LO HACIAN	Pocas / malas ofertas,No mantiene bien informado / poca claridad en la información	SERVITECA MECANICO	SAN MIGUEL	DUEÑO
TxS8PFd35NJy	PEQUEÑA	Mas	REGIONES	Mujer	6	A VECES NO HAY COBERTURA	Mala / poco cobertura	COMERCIAL	TALAGANTE	DUEÑA
AgKbsW457a1Y	MICRO	Mas	REGIONES	NA	5	PORQUE NO REBAJAN NADA NO DAN INFORMACION CUANDO UNO LLAMA A LA CENTRAL A LA OPERADORA  DE DEBE ESPERAR MUCHA PARA DAR ALGUNA INFORMACION  LOS PLANES SIGUEN IGUAL NO HAY MAYORES EL PLAN QUE TENGO ES HACE AÑO Y HAN APARECIDO PLANES MEJORES CUANO EL TELEFONO SE ECHA A PERDER UNO LLAMA Y NO DAN INFORMACION	Pocas / malas ofertas,No mantiene bien informado / poca claridad en la información,Mal servicio Call center/ Cuesta contactarlos / Call center no atiende,Malos planes  / planes poco flexibles	REPARTO DE VERDURAS	ANTOGASTA	DUEÑO
DeHBqEDI2JrP	MICRO	Mas	REGIONES	Hombre	6	POR QUE LA ENCUENTRO QUE ES BASTANTE CORRECTO Y EFICIENTE EN CUANTO A COBROS Y SERVICIOS	Transparencia / claridad en las cuentas / facturas / exactitud en cobros,Eficiencia,Buen servicio / conforme / satisfecho con el servicio	DISTRIBUCIÓN DE ARTÍCULOS DE CONSUMO MASIVO	CHILLAN	DUEÑO
tTf8ZLP89JDd	PEQUEÑA	Mas	REGIONES	Hombre	5	LA VERDAD ES QUE NUNCA HABÍA TENIDO PROBLEMA PERO HACE POCO MANDE UN TELF A SERVICIO TÉCNICO Y NO HE TENIDO CONTACTO, LLAMO Y LA EJECUTIVA NO ME DAN SOLUCIÓN TAMPOCO ME DICEN CUANDO VA A ESTAR NI ALTERNATIVAS A MIS PROBLEMAS, TENGO QUE ESPERAR	Funciona bien /sin problemas,No responde / no resuelven requerimientos	DISTRIBUIDORA DE GAS	ARICA	DUEÑO
DPLBPtHcM3rU	PEQUEÑA	Mas	SANTIAGO	Hombre	7	TIENE UNA EXCELENTE POST VENTA Y SIEMPRE CUANDO HE NECESITADO ESTAN ALLI EL SERVICIO NO SE ME CAE TIENE BUENA SEÑAL, LA TARIFA ME ACOMODA MUCHO.	Buen servicio de post venta,Facilidad para contactarlos,Buena señal / no hay caídas de la señal / señal nítida,Buenos precios / económicos / barato	ARTESARIA Y MOBILIARIA	SANTIAGO	FAMILIAR EL DUEÑO
CDcAhUomAQxi	PEQUEÑA	Mas	SANTIAGO	Hombre	7	PORQUE TIENE COBERTURA EN TODOS LADOS	Buena cobertura	AREAS VERDES	SANTIAGO	GERENRTE GENERAL
uXaOTmT58hz0	MICRO	Mas	SANTIAGO	Hombre	5	POR EL INTERNET A QUE NO SIEMPRE TENGO 4 G EN LOS SECTORES DONDE ME DESPLAZO	Internet lento / inestable,Problemas con 4G/ mal servicio	OBRAS MENORES EN CONSTRUCCION	MACUL	DUEÑO
6UqFNV70NDrU	PEQUEÑA	Mas	SANTIAGO	Hombre	7	PORQUE RESPONDEN HA TODAS MIS NEESIDADES Y NO TENGO PROBLEMAS CON ELLOS	Responden / resuelven requerimientos,Funciona bien /sin problemas	CONTRUCCION	LA FLORIDA	GERENTE
UZNPYfhUb9no	MICRO	Mas	SANTIAGO	NA	6	PORQUE EL SERVICIO TIENEN BUENA COBERTURA PERO HAY HORAS EN COMO POR EJEMPLO HORAS PUNTAS DE LA TARDE QUE S EPONE LENTO EL INTERNET	Buena cobertura,Internet lento / inestable	SERVICIO TECNICO DE MAQUINARIA	ESTACION CENTRAL SANTIAGO	TECNICO
q0xGYRdqZ1NX	MICRO	Mas	REGIONES	NA	7	PORQUE NO HE TENIDO PROBLEMA DE CONEXION Y LLAMADA DE COBERTURA EN GENERAL ESO	Buena conectividad,Buena cobertura,Buen servicio de telefonía	ACCESORIOS DE MUJER	CHILLAN	DUEÑA
iJ7JAdwmd7EN	MICRO	Mas	SANTIAGO	Mujer	6	PORQUE  TIENE UNO QUE OTRO PROBLEMA PERO EN GENERAL ESTA BIEN SUPER POCO LOS PROBLEMAS QUE TENIDO NO TENIDO MAYORES INCOMVENIENTE Y SI HE TENIDO HAN SIDOP MINIMO  LO UNICO MALO QUE SE ATRASA  Y UNO VA A ENTEL SE PUEDE PAGAR HASTA LAS DOS Y UNO NO PUEDE SALIR A ESA HORA Y  SI VAS A PAGAR Y TE DICEN NO NO PUEDE PAGAR ES RIDICULO	Funciona bien /sin problemas,Poca transparencia en cuentas / cobros indebidos / problemas de facturación	VENTA DE UNIFORMES CORPORATIVOS	SANTIAGO	ADMINISTRADORA
DCAIPCi0Wt07	PEQUEÑA	Mas	SANTIAGO	Hombre	6	PORQUE SIEMPRE HAY UN POCO DE FALENCIA EN LA COBERTURA	Mala / poco cobertura	DISTRIBUCION DE PAQUETERIA	SANTIAGO CENTRO PROVIDENCIA	DUEÑO
JEZhfeeiEMmH	PEQUEÑA	Mas	REGIONES	Mujer	7	NO HE TENIDO NINGUN PROBLEMA Y ES MUY BUENO EN LA SEÑAL COMO ME INDICO	Funciona bien /sin problemas,Buena señal / no hay caídas de la señal / señal nítida	VENTA DE JOYAS	CURICO	DUEÑA
kSPbjrCmEZ5V	PEQUEÑA	Mas	REGIONES	Hombre	7	POR LA SEÑAL BUENA SEÑAL NO SE CAE NUNCA NORMALMENTE LOS PLANES QUE ME HAN OFRECIDO LOS MAS ECONOMICOS Y TENTADORES DEL MERCADO	Buena señal / no hay caídas de la señal / señal nítida,Continuidad del servicio,Buen plan / plan conveniente	HOSPEDAJE ALIMENTACION Y ARRIENDO DE VEHICULOS	SAN PEDRO DE ATACAMA	ADMINISTRADOR
iaeueJkDlCdo	MICRO	Mas	REGIONES	Hombre	6	POR QUE EL PLAN QUE TENGO NO ES TAN CARO Y CUBRE SUS NECESIDADES, MINUTOS ILIMITADOS E INTERNET, PERO AUN ASI ME SIRVE POR QUE TENGO WIFI. TENGO BUENA COBERTURA EN MI ZONA ME ANDA BIEN ENTEL.	Buenos precios / económicos / barato,Satisface necesidades,Buen plan / plan conveniente,Buena cobertura	PRODUCCION DE EVENTOS Y MAQUINAS DISPENSADORAS	COMUNA DE PAIYACO LOS LAGOS.	REPRESENTANTE LEGAL
uZYeZiYYIf8Z	PEQUEÑA	Mas	REGIONES	Hombre	7	POR QUE ESTOY SATISFECHO EN TODO LOS SENTIDO NO HE TENIDO PROBLEMA	Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas	COMERCIANTE PESQUERO	LOS LAGOS	PROPIETARIO
nYwXt6R4Wkpi	MICRO	Mas	REGIONES	Hombre	7	ES QUE YO TENGO ACA LA ANTENA COMO A UN KILOMETRO DE MI CASA ENTONCES ES MUY RARA VEZ QUE TNEMOS PROBLEMAS DE SEÑAL  REGION DE OHIGGINS COMUNA DE NAVIDAD LA VEGA DE PUPUYA LA POCA SEÑAL QUE HAY ACA ES BUENA EL INTERNET SUPER BUENA	Buena señal / no hay caídas de la señal / señal nítida,Buen funcionamiento de Internet / velocidad / estabilidad	ALMACEN	NAVIDAD LA VEGA DE PUPUYA REGION DE OHIGGINS	EL DUEÑO
wAYiiUliA5Wu	MICRO	Mas	SANTIAGO	NA	7	ME FUNCIONA A LA PERFECCION EL PLAN EL TEMA DE LLAMADAS NAVEGACION DE INTERNET LA SEÑAL NUNCA HE TENIDO PROBLEMAS CON LA SEÑAL	Buen plan / plan conveniente,Buen servicio de telefonía,Buen funcionamiento de Internet / velocidad / estabilidad,Buena señal / no hay caídas de la señal / señal nítida	FCA .DE MUEBLES	RECOLETA	DUEÑA
ViVqtCoboYBi	MICRO	Mas	REGIONES	Hombre	1	PORQUE TENEMOS MALA COBERTURA, TODOS TENEMOS PROBLEMAS DE CONEXIÓN, TEMA DE SEÑAL.	Mala / poco cobertura,Mala señal / pérdida de señal / interferencias	SERVICIOS TURÍSTICOS	ARAUCARIA	GERENTE DE OPERACIONES
