encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	Rubro	Ciudad_comuna
JpJR3ItBLu7x	Pequeña	Mas	Regiones	Mujer	4	PORQUE NO TIENE UN BUEN SERVICIO LA COBERTURA ES MUY MALA SE CAE EL SERVICIO ES UN PROBLEMA MUY GRANDE SE CAE LA COBERTURA	MENAJE	ARAUCO
eekRKHmvVTO6	Pequeña	Mas	Santiago	Mujer	4	PORQUE HOY EN DÍA POR EJEMPLO NO SE PREMIA LA CONTINUIDAD DE LOS CLIENTES Y LA COBERTURA NO ES MUY BUENA	INGENIERIA	PUENTE ALTO
groLQZLHnp2D	Pequeña	Mas	Regiones	Hombre	6	ES QUE CREO QUE CREO LA ZONA DONDE ME ENCUENTRO ES RURAL Y LA SEÑAL ES UNA DE LAS MEJORES DEL LUGAR Y ESO ME DEJA TRANQUILO EL SERVICIO EN GENERAL ES BUENO Y DE CALIDAD SI UNO TIENE ALGÚN REQUERIMIENTO LAS SOLUCIONES SON INMEDIATAS NUNCA HE TENIDO UN PROBLEMA CON UN EQUIPO LOS PLANES	CONSTRUCCIÓN ESTRUCTURA MECÁNICA	PUERTO VARA
swyQJmUVHcLj	Pequeña	MasPrem	Regiones	Hombre	4	PORQUE ANTERIORMENTE ESTUVE CON OTRA EMPRESA Y FUNCIONABA MUCHO INTERNET CON WOM, LA CONECTIVIDAD SE CORTA, NO TIENE MUCHA FUERZA, Y CON RESPECTO AL  TELEFONO LA SEÑAL SE PIERDE, HAY LUGARES DONDE NO SE  ESCUCHA BIEN, ERA MUCHO MEJOR CON WOM	EDUCACION	IQUIQUE
of8r41u6ckns	Pequeña	MasPrem	Santiago	Mujer	6	PORQUE TIENE BUEN SERVICIO EN TELEFONIA BUEN INTERNET NO HE TENIDO MAYOR PROBLEMA SI CUANDO SE COMUNICA AL HOLD  TIENE BUEN PERSONAL Y SE COMUNICA BIEN	TRASPORTE DE PASAJEROS URBANOS	LAMPA
RqLSqmfYDYyw	Pequeña	Mas	Regiones	NA	6	PORQUE HAY COSAS QUE HAY QUE MEJORAR SOBRE TODO LOS EQUIPOS QUE PASAN A LAS EMPRESA TENGO UNA CUENTA MAS DE 20 AÑOS Y ME OFRECEN EQUIPOS MUY BASICOS NO HAN HECHO NADA POR FIDELIZARME DE GAMA MEDIA O GAMA ALTA EVALUAR BUENAS OPCIONES	NA	NA
2dj49GbfafHX	Micro	Mas	Regiones	Mujer	4	PORQUE CONTRATE WIFI   Y NUNCA MEDIO RESULTADO Y RECIEN TENEMOS CUATRO G ACA Y ES MUY MALA SEÑAL DE TANTO RECLAMAR  ESTAN ARREGLANDO EL SISTEMA AÑOS MALO EN EL VERANO SIN TELEFONO SIN LINEA SIN NADA	HOTELERIA	CONSTITUCION
Hkw7c1Z7j8xP	Micro	Mas	Regiones	NA	5	PORQUE SIEMPRE CADA CIERTO TIEMPO TIENE DRAMAS CON LA CUENTA, EN UN MES NO LLEGA DEUDA Y DESPUES LLEGAN JUNTAS, TENGO QUE ESTAR LLAMANDO PARA ESO	NA	NA
nbEew4fsd7iN	Micro	MasPrem	Regiones	NA	5	PORQUE NO DAN SOLUCIONES CUANDO UNO LLAMA A LOS NUMEROS EN LA PANTALLAS PARA HACER RECLAMOS Y VERIFICAR QUE ESTA PASANDO CON LA LINEA ES SIEMPRE ESTOY ABURRIDA PORQUE HE TENIDO EL SERVICIO DE TELEFONO SIN PODER RECIBIR NI HACER LLAMADAS TIENEN PESIMA SEÑAL DENTRO DE LA SEÑAL UIN ATOGFAGUEL	NA	NA
jaQuct9LDn7Z	Pequeña	MasPrem	Santiago	Hombre	6	PORQUE NO ME INFORMAN POR MENSAJE TEXTO EL TEMA DE LAS FACTURAS, TENDRIAN QUE AVISAR CON ANTICIPACION	ARRIENDO DE MAQUINARIA DE TIERRA	QUINTA NORMAL
HhqoH5fr4z8S	Pequeña	Mas	Regiones	Hombre	2	MALA GESTION DE ELLOS CUANDO EN LOS SERVICOPS ESTA SEMANA ESTABA PIDIENDO OTROS TELEFONO Y NO ME LO QUISIERON  DAR	AGRICOLA	HIJUELAS QUILLOTA
fNfAkf7wnqwT	Pequeña	MasPrem	Santiago	Hombre	6	DERREPENDTE ALGUNO PROBLEMAS PERO FUNCIONA BIEN FINALMENTE	PANADERIA	PTE, ALTO
XzUZJJycFWXa	Pequeña	MasPrem	Santiago	Hombre	6	POR TEMAS DE EQUIPOS MUY BÁSICOS	ACCESORIOS DE VEHÍCULOS	SANTIAGO
tK6VDDG4iZgq	Mediana	MV	Regiones	Mujer	4	PORQUE TIENEN MALA COBERTURA	AGRICOLA	COLINA
PgUJHKqtX6OL	Micro	Mas	Santiago	Hombre	5	PORQUE A VECES TIENE PORBELMAS ME QUEDO SIN SEÑAL SOLO LA SEÑAL EN TEL,EFONICA	ANTIGUEDADES	SANTIAGO
u4NNe8ihnZmj	Pequeña	MasPrem	Regiones	Hombre	5	PORQUE EL TEMA DE LA OFICINA, ATIENDEN MUY LENTO EN LA SUCURSAL	TRANSPORTE DE CARGA Y TALLER MECANICO DE CARGA	TALCA
XtIVK7GBM5FF	Pequeña	Mas	ns/nr	Hombre	7	PORQUE EL SERVICIO ES ESTABLE EL EJECUTIVO LE INFORMA DE NUEVOS PLANES LE LLAMA POR SEMANA SI TIENEN UNA NECESIDAD Y UN CAMBIO DE EQUIPO LOS EQUIPOS LE LLEGAN DIIRECTO A LA    OFICINA SI HAY UN REQUERIMIENTO ES SOLUCIONADO	TELECOMUNICACIONES	VALLENAR
CYmE0FoPKEML	Micro	Mas	Regiones	Hombre	7	BUENA SEÑAL Y BUENA COBERTURA	CONSTRUCCION	CHIMBARONGO
eH5jgyrQg4I0	Micro	MasPrem	Santiago	Mujer	7	FUNCIONA BIEN Y SIEMPRE TIENE SERVICIO	INFORMATICA	ÑUÑOA
L5ORbAvrV5tQ	Pequeña	Mas	Regiones	Hombre	7	PORQUE DAN BUENA ATENCION CUANDO NECESITA ALGO DAN RESPUESTA SATISFACTORIA BIEN CONFORME ESTA	NO TIENE ESPECIFICACION	CASTRO
6uXqlEtAA7Id	Micro	Mas	Santiago	Mujer	6	PORQUE LOS PLANES RECIEN DESPUES DE TANTOS AÑOS  ESTAN BAJANDO Y LAS SEÑALES SE CORTAN POR DIAS COMPLETOS	PRODUCCION DE HUEVOS	EL MONTE
IGftF58nQQoB	Pequeña	Mas	Regiones	Hombre	6	LAS CUENTAS LOS VALORES NOS CAMBIAN LOS VALORES NO LOGRAMOS BAJAR ELCOSTO ASOCIADO AL PLAN	SEGURIDAD Y SERVICIOS	COPIAPO
ismG3wyKhBSv	Micro	Mas	Regiones	Mujer	5	HE TNIDO PROBLEMAS  CON INTERNET SUPER LENTO Y ES CARO LA SEÑAL HYA MOM QUE NO HE TENIDO OTROAS SI	ARRIENDO DE CABAÑAS	PTO AYSEN
apStLxjjiSsR	Pequeña	Mas	ns/nr	Hombre	5	FALTA INFORMACION ENTEL NO LE DA INFORMACION DE LOS CAMBIOS DE PLANES LOS PLANES SON MAS ECONOMICOS MAS GIGABYTES LO VE EN LA PAGINA WEB	AGRICOLA	LINARES
FY0d0svcL0HM	Pequeña	Mas	Santiago	Mujer	6	PORQUE HAY VECES QUE HAY PROBLEMAS CON LOS TELEFONOS CON LA COBERTURA Y LOSAPARATOS	EDUCACION	SANTIAGO
E4EdDlsqRKUp	Pequeña	MV	Santiago	Hombre	5	EN QUE PIERDE LA COBERTURA ANTES TENIA MEJOR COBERTUA	INGENIERIA PARA MINERIA	LAS CONDES
wVmNS6AAf6bf	Pequeña	Mas	Regiones	Hombre	5	DERREPENTE NO SE MANEJA RMUY BIEN EL CELULAR SE ME QUEDA PRENDIDO SE ME TERMINA EL EL CONTRATO	AGRICOLA	OVALLE
oeJPjTD05xB8	Pequeña	Mas	Santiago	Mujer	6	ME GUSTARIA QUE FUERA MAS BAJO EL COSTO, QUE LA RENOVACION DE LOS EQUIPOS SEA EN MENOR TIEMPO Y EQUIPO DE MEJOR CALIDAD Y  A MAS BAJO VALOR	METALMECANICA	SANTIAGO
QXGGhVzv2UbF	Micro	MasPrem	Santiago	Hombre	7	PORQUE NO HEMOS TENIDO NUNCA PROBLEMAS DE SEÑAL DE COMUNICACIONES, CUANDO HAN TENIDO ALGUN PROBLEMAS VAMOS DIRECTAMENTE Y SIEMPRE HEMOS TENIDO SOLUCION	SERVICIO TECNICO	SANTIAGO
AfEtGv10OWcd	Micro	Mas	Regiones	Hombre	7	PORQUE NUNCA HE TENIDO PROBLEMAS Y TAMBIÉN PORQUE LA POTENCIA ES BUENA NO TENGO PROBLEMAS, YO VIAJO DENTRO DEL PAIS Y LA CORDILLERA Y SIEMPRE ME COMUNICO	TRANSPORTE	LOS ANGELES
5o3HmMGyYn1W	Pequeña	MP	Regiones	Mujer	5	REALMENTE LAS PERSONAS SON DE OTRO PAIS LAS RESPUESTA QUE TYE DAN NISIQUIERA LAS ENTENDIENDEN NO TE DAN SOLUCION TE ENVUELVEN AHI NO MAS LLAMAS A OTRAS NO SI NO HABRAN CHILENAS SON VENEZOLANOS DESAGRADABLE HABLAR CON UN APERSONA  QUE NISIQUIERA TE DAN UNA RESPUESTA POSITIVA EN SEÑAL NO HAY MUCHO QUE ELEGIR POR EJ MOVISTAR NO TIENE ACA COBERTURA ENTEL LA QUE TIENE	AGRICOLA	RIO BUENO
hiBzkxgP0fe8	Pequeña	MasPrem	Regiones	NA	5	PORQUE HAY DETALLES QUE NO ME GUSTAN MUCHO, MUY CARO LOS PRODUCTOS CUANDO UNO QUIERE RENOVARLOS	NA	NA
NL0Pw8Wgbg6y	Micro	Mas	Regiones	Hombre	7	POR QUE NO HE TENIDO PROBLEMAS	CORREDORA DE SEGUROS	PUNTA ARENAS
fpzmxp6WSzIF	Pequeña	Mas	Regiones	Hombre	5	PORQUE NO HAY BUENAS COBERTURAS EN MI CASA EN QUILPUE,ZONAS RURALES HAY PROBLEMAS CON LA COBERTURA	TRANSPORTE	QUILPUE
cX9TKJ3hQh58	Pequeña	Mas	Santiago	Mujer	2	PORQUE SIEMPRE PUEDE SER MEJOR, DEREPENTE LOS PLANES PUEDEN IR MEJORANDO LA CANTIDAD DE GB	METALURGICA	SANTIAGO
BwphRQX5fgJl	Mediana	MV	Santiago	Mujer	5	PORQUE CAMBIARON EL SISTEMA DE EJECUTIVO, YA NO TIENES A UNA PERSONA QUE TE AYUDE COMO LO HACIAN ANTES	IMPORTADORES DE EQUIPAMIENTO DEPORTIVO	PROVIDENCIA
68l7oZ7BcJul	Micro	MasPrem	Santiago	Hombre	5	PORQUE SOY NUEVO TENGO POCOS MESES NO ME GUSTA MUCHO SE CAE MUCHO INTERNET EN CUALQUIER PARTE UNA VEZ A LA SEMANA	TRANSPORTE DE CARGA	LA FLORIDA
069BdfwJlPXF	Pequeña	MasPrem	Regiones	Mujer	5	NO HA SIDO LO QUE NOSOTROS REALMENTE NECESITAMOS LA LIEAN 600 O 800 NO LA PODEMOS USAR POR NO TENER ECCESO DIRECTO Y POR  LOS VALORES HEMOS QUERIDO CAMBAIR NO HEMOS PODIDO LA LINEA PERSONA ES MAS ECONOMICA QUE LA EMPRESA	TOSTADURIA	TALCA
bEuf3UmFjxIX	Pequeña	MasPrem	ns/nr	Hombre	6	PORQUE ACTUALMENTE TUVE UN PROBLEMA CON UN TELEFONO ESO ME MOLESTA HACE UNOS MESES ATRAS CON EL EJECUTIVO NO ERA HABITUAL TIENE BUENA SEÑAL	COMBUSTIBLE	SAN BERNARDO
MdoIdflMxR37	Micro	MasPrem	Regiones	Hombre	6	PORQUE SIEMPRE TIENE QUE TENER UNA MEJORA CONTINUA	CAPACITACION	LOS ANGELES
e9CB68FMmHpx	Pequeña	Mas	Santiago	Mujer	6	PORQUE HE TENIDO BUENA SEÑAL CUANDO SALGO, EN LA OFICINA IGUAL, NO LE COLOCO EL 7 PORQUE DE VEZ EN CUANDO BAJA DE SERVICIO EN CUANTO LA COBERTURA	CAPACITACION	LA CISTERNA
fAIT4Wcf6zBj	Pequeña	MP	Santiago	Mujer	7	A CUMPLIDO TODO LO NECESARIO Y NUNCA A TENIDO PROBLEMAS	EDUCACION	CONCON  5 REGION
gBzWL4HPCEsQ	GGEE	AP	ns/nr	Hombre	5	PORQUE TENGO MALA COMUNICACION CON LA GENTE DE ENTEL ES DIFICIL COMUNICARME CON ELLOS ES COMPLEJA CUANDO RECORREN 120 KILOMETROS EN VEZ DE DEMORARSE 2 HORAS SI TUVIERAN UN SISTEMA DE CONTROL DEL SISTEMA PARA REPARAR SE DEMORAN 8 HORAS EN UNA ZONA RURAL	INDUSTRIA MADERERA	CONSTITUCION
Dr37axtCaDOc	Mediana	MasPrem	Santiago	Hombre	7	PORQUE ES MUY ESTABLE LA SEÑAL NUNCA HEMOS TENIDO PROBLEMAS	CONTRUCCION	SAN BERNARDO
kmRS1zuZdCkk	Pequeña	MasPrem	Regiones	Hombre	4	ME HAN ENTREGADO INFORMACION  CONFUSA Y TAMBIEN ERRONEA COBROS INJUSTIFICADOS EN ALGUNAS OPORTUNIDADES INOPORTUNA EL SERVICIO DE COMUNICACIONES NO ES MALO ATENCION AL CLIENTE ES PESIMO	PRODUCCION DE EVENTOS CORPORATIVOS	VIÑA DEL MAR
4fq8FzMQyMZH	Mediana	AV	Regiones	NA	6	LA CLARIDAD DE LA SEÑAL HA BAJADO EN ESTE ULTIMO TIEMPO SUPERANDO CORTADAS DE LLAMADAS EN PROCESO	NA	NA
7OoNTXij5MCV	Micro	MasPrem	Regiones	Hombre	7	PORQUE SIEMPRE HE TENIDO UNA BUENA ATENCIÓN, BUEN SERVICIO Y BUENA RESPUESTA	DISEÑO Y CONSTRUCCIÓN	QUILPUE
pOyTWY7vE6B3	Pequeña	MasPrem	Regiones	Hombre	7	LO MAS IMPORTANTE ES FACTURACION NUNCA HEMOS TENIDO PROBELMAS CON ELLOS  YA QUE CON LAS OTRAS EMPRESAS CO ENTEL LAS COSAS ESTAN CLARAS EL USO DE LOS TELEFONOS SIEMPRE HA SIDO EJEMPLAR EL INTERNET ES IMPECABLE NO HEMOS TENIDO CAIDAS Y NADA Y ESO HACE QUE UNO ESTE TRANQUILO	TRASPORTE	CONCEPCION
t7qy29RFYEVA	Pequeña	MasPrem	Santiago	Hombre	7	PORQUE EL FUNCIONAMIENTO ES EXCELENTE, BUENA SEÑAL.	SEGURIDAD	PROVIDENCIA
lqiuMxF45TCR	Pequeña	Mas	Regiones	Hombre	7	POR TIENE MEJOR COBERTURA DE LLAMADAS	TRANSPORTE DE COMBUSTIBLE	YUMBEL
vKGxn3JDMgOy	Pequeña	MasPrem	Santiago	Hombre	4	ANTIGUAMENTE ERA MAS FACIL SACAR TELEFONO EL PROBLEMA ES LOS MISMOS EQUIPOS DE SIEMPRE HA EMPEORADO PORQUE PONEN TRABAS Y LES DA LO MISMO	TRANSPORTE EN CARRETERA	LA PINTANA
05OY7wHerubD	Mediana	MV	Santiago	NA	6	PORQUE EL SERVICIO ES BUENO Y ES LO QUE YO PACTE ,LOS CAMBIOS DE EQUIPOS NO HAN SIDO MUY ECONÓMICOS PERO HA DE SER POR EL PLAN QUE TENGO	NA	NA
r7oZeLlGAKZZ	Pequeña	MP	Regiones	Hombre	7	PORQUE ME HAN SOLUCIONADO LOS PROBLEMAS QU EHE TENIDO SOLUICITUDES CAMBIO D EPLAN COSAS QUE DANDO CAMBIO MODIFICACONES CONTRATOS DE PLANES CAMBIO DE EQUIPOIS	TALLER MECANICO REPUESTOS ACCESORIOS	RANCAGUA
2sLlZVE1JwHM	Mediana	MV	Santiago	Hombre	5	PORQUE CREO QUE EL SERVICIO PODRIA SER UN POCO MAS BARATO ESTO DE LA CUENTA DE CELULARES	AGRICOLA	CALERA DE TANGO
n7rF1cOdRNTh	Pequeña	MP	Regiones	Hombre	6	PORQUE LOS PRECIOS ESTAN BIEN A VECES TENGO PERDIDA DE COBERTURA EN ALGUNOS SECTORES	CONSTRUCCION	VIÑA DEL MAR
7sjxZV00jFjK	Pequeña	Mas	Santiago	Mujer	6	POR COBERTURA POR QUE HAY COBERTURDA EN DISTINTAS PARTES DE CHILE SEXTA REGION	COMERCIO	SANTIAGO LAS CONDES
wZc4txkpF0Bc	Micro	MasPrem	ns/nr	NA	7	PORQUE TENGO BUEN SERVICIO LA COBERTURA UN SIETE ESTA BUENA	NA	NA
QzUoOiv0tImA	Pequeña	Mas	Regiones	Hombre	4	PORQUE TUVO PROBLEMAS CON COBRO YO ENTREGUE UN TELEFONO Y SIGUIERON COBRANDO 3 MESES DESPUES PREGUNTO Y LE DIJERON QWUE EL AUN SEGUIA CON EL EQUIPO EN SU PODER Y LO HABIA ENTREGADFO TRES MESES ATRAS Y ESTA ESPERANDO LA CUENTA DES ESTE MES SI LE DESCUENTAN NO	MECANICA AUTOMOTRIZ	PUERTO NATALES
FxQ52Bvlz4um	Pequeña	Mas	Regiones	Hombre	7	PORQUE NUNCA HE TENIDO PROBLEMA CON LA EMPRESA, SIEMPRE HAY COBERTURA, SI UNO NECESITA ALGO LO ATIENDEN BIEN	AGRICOLA	LINARES
1OQPVvO9dDhG	Pequeña	MasPrem	Regiones	Hombre	5	PORQUE LA SEÑAL NO LA CUBRE EN TODAS PARTES	PAQUETERIA	ARAUCO
zXl69nM8uRXe	Pequeña	Mas	Santiago	Hombre	7	POR QUE YO LLEVO MAS DE 20 AÑOS CON ENTEL BUENO POR LOS TEMAS DE LA CONECTIVIDAD Y EN OTRAS EMPRESA NO TIENE LA MISMA CONEXION  A INTERNET Y LLAMADASEN CHILE	ABARROTES	MAIPU
aWXbAr6pyFWg	Pequeña	MasPrem	Santiago	Hombre	7	NO H ETENISO GRANDE SPROBLA M ETRATNA JUY BIEN HAY COM EN TODAS PARTES	OBRAS MENORES TRANSPORTES	PTE. ALTO
KKVq6oRe9Mkr	Micro	MasPrem	Regiones	Hombre	6	PORQUE ES UNA MUY BUENA NOTA, A VECES HAY QUE ESPERAR MUCHO RATO PARA QUE LO ATIENDAN	COMPRA VENTA DE PROPIEDADES	COQUIMBO
magoG89w7Bb7	Pequeña	MasPrem	Santiago	Hombre	5	DE REPENTE NO FUNCIONAN BIEN LOS SERVICIOS SI UNO LLAMA UN DOMINGO NADIE RESPONDE CORTAN LAS LINEAS CUANDO NO SE PAGA CUENTA Y CUANDO ELLOS TIENEN PROBLEMA NO DESCUENTAS SOBRETODO TRATANDOSE DE EMPRESAS	JOYERIA	SANTIAGO
06vOKdMZUeQV	Pequeña	Mas	Regiones	Hombre	5	PORQUE LA COBERTURA NO ES MUY BUENA AL INTERIROR DE OVALLE TRABAJO EN UNA MINA Y PARA EL SECTOR DEL CERRO NO ES BUENA ,ANTES ERA BUENA Y AHORA DICE QUE LA RED NO ESTA DISPONIBLE CADA VES QUE LLAMO	MINERIA	COMBARBALA
JCIGlzgRyfae	Pequeña	Mas	Regiones	Hombre	6	PORQUE NO ES TAN OPTIMO LA COMUNICACION, TIENEN ALGUNOS PEROS DE VEZ EN CUANDO, SE CORTA.	AGRICOLA	SAGRADA FAMILIA, CURICO.
1alnbN06We8F	GGEE	AP	Santiago	Mujer	3	PORQUE ME CAMBIARON EJECUTIVO HE TENIDO MUCHOS PROBLEMAS   NO ME CONTESTAN HE MANDADO CORREOS SOLICITANDO TELEFONOS   ES PRIMERA VEZ QUE TENIA PROBLEMAS Y EL EJECUTIVO ANTERIOR ERA MUY EFICAS	MEDICOS	SAN BERNANRDO
tZXvn1JdYY0W	Pequeña	Mas	Regiones	Mujer	6	PORQUE ESTOY CONFORME CON EL SERVICIO	FLORERIA Y TRANSPORTE	HUALTEN
2nJ12MoA68qd	Pequeña	MasPrem	Regiones	Mujer	6	UN 7 ES MUCHO TENDRIA QUE SER PERFECTO	ADMINSITRACION Y DISTRIBUCION DE AGUAS DE RIEGO	EN LINARES   7 REGION
fWajRQYmZxvO	Micro	MasPrem	Santiago	Hombre	6	PORQUE HA TENIDO ALGUNO PROBLEMAS, EL CAMBIO DE LOS EQUIPOS ES MUY ENGORROSOS, LOS COSTOS SON MUY ALTOS. SE PUSIERON MUY CAROS LOS EQUIPOS.	EDUCACION	TILTIL
