encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	P4_COD	Ciudad_comuna	Cargo
KANmbjfFvH8N	PYME	Mas	REGIONES	Hombre	5	PORQUE ME GUSTA, PORQUE EL PROFESOR DE QUÍMICA NO ME PONÍA NUNCA MAS QUE UN 5, EL 6 ES PARA EL PROFESOR DE QUÍMICA Y EL 7 ES PARA DIOS ME DECÍA,NO TENGO PROBLEMA, NO HAY PROBLEMA, QUE LE PUEDO RESALTAR QUE LA CAMPANILLA SUENA BIEN, QUE ME FUNCIONA, QUE PASA, QUE NO TENGO PROBLEMAS LE DIGO.	No ha tenido problemas/ conforme/ todo bien,Funciona bien	COQUIMBO	JEFE
k79WMlpkcLHi	PYME	Mas	SANTIAGO	Mujer	7	PORQUE NUNCA HEMOS TENIDO PROBLEMAS CON ELLOS Y EL VALOR TAMBIÉN QUE TIENE ES BUENO, MIENTRAS QUE MOVISTAR ES MUY CARO Y HEMOS TENIDO PROBLEMAS CON ELLOS Y EL SERVICIO DE POST-VENTA ES PÉSIMO EN MOVISTAR OSEA SI ME DIJERAS CON QUIEN TE QUEDAS YO ME QUEDO CON ENTEL Y ME RETIRARÍA DE MOVISTAR, PERO NO ME DEJAN PORQUE FIRMAMOS UN CONTRATO POR DOS AÑOS OSEA SI YO ME RETIRO ME DICEN QUE TENGO QUE PAGAR UN DELTA Y ES MUY CARO. DE TRANSMISIÓN, DE PAGOS DE SERVICIO, DE POST-VENTA, NO DE NADA. LOS FONDOS DE PORQUE CONTRATAMOS SERVICIO CON MOVISTAR FUE PORQUE ERA UN POQUITO LENTO ENTEL, MOVISTAR ES UN POQUITO MAS LENTO QUE ENTEL. A TRANSMISIÓN DE DATA	No ha tenido problemas/ conforme/ todo bien,Buenos precios	PROVIDENCIA SANTIAGO	GERENTE COMERCIAL
kuOmDqCZZC9j	PYME	Mas	REGIONES	Mujer	7	BUEN SERVICIO Y TIENEN MUY BUEN SERVICIO POST-VENTA, SI HAY ALGÚN DESPERFECTO O ALGUNA COSA ELLOS SON MUY RÁPIDOS EN REPARAR EL SERVICIO, SI SE CAE LA LINEA U OTRA COMPAÑÍA CORTA ALGÚN CABLE, ELLOS SON SUMAMENTE RÁPIDOS, EL SERVICIO ES ESTABLE, NO SE CAE, ES BUENO, COMO POR EJEMPLO YO TENGO EN LA CASA VTR SE QUEDA PEGADO, SE CORTA, NO ENTEL NO, LA ATENCIÓN POST-VENTA DE LOS EJECUTIVOS, EL SERVICIO POST-VENTA ES MUY BUENO, EN LA ATENCIÓN DEL EJECUTIVO HASTA EN EL CALL CENTER ATIENDEN BIEN, ESO NO MAS.	Buen servicio/ eficiente,Buen servicio post venta,Soluciones rápidas,Buen servicio de los ejecutivos/ apoyo/ atención	COMUNA DE COQUIMBO CUARTA REGION	JEFE ADMINISTRATIVA
C8f7tbuf2Mlk	PYME	Mas	REGIONES	Hombre	6	PORQUE EL SERVICIO QUE TENGO  CON ELLOS ES NORMAL NO TENGO MAYORES DIFICULTADES PERO PARA 7 NO, CON 6 ESTA BIEN, CUANDO YO DIGO NORMAL ES CUANDO TENGO UN SERVICIO    QUE ESTOY DE ACUERDO Y CONFORME CON EL	Buen servicio/ eficiente,No ha tenido problemas/ conforme/ todo bien	IQUIQUE	JEFE DE OFICINA, DUEÑO DE LA EMPRESA
35e3V6Ddde1z	PYME	Mas	SANTIAGO	Mujer	7	POR LA ATENCIÓN QUE TIENEN ELLOS EN TODO, EN TODO	Buena atención/ amables	BUIN	ADMINISTRADORA
YgVFfDIH5JyH	GGEE	MV	SANTIAGO	Hombre	4	"PRIMERO PORQUE NO LLEGA A TODOS LOS LUGARES DE CHILE, YO TENGO UNA PROPIEDAD EN EL LAGO TODOS LOS SANTOS, Y NO LLEGA A LAGO TODOS LOS SANTOS Y SEGUNDO PORQUE ES MUY CARA; SI, LO QUE COBRA POR EL VALOR DE SUSCRIPCIÓN MENSUAL"	Mala cobertura,Es caro/ planes caros	SANTIAGO	GERENTE
L2aSV9FQ0nl7	GGEE	AV	REGIONES	Hombre	7	CREO HASTA AHORA LOS FALLOS QUE HEMOS TENIDO LOS RESPONDEN RÁPIDO SON SÚPER EFICIENTES Y EN GENERAL LA RED FUNCIONA SÚPER, BÁSICAMENTE ES LA POTENCIA QUE PODRÍAMOS TENER SON PREOCUPADOS EN ESE ASPECTO SIEMPRE	Soluciones rápidas,Funciona bien	COMUNA DE RANQUI	NA
oAW071ooABzQ	PYME	Mas	REGIONES	Hombre	5	PORQUE NO ES LO OPTIMO PERO NO ES MALO ESPECÍFICAMENTE EN DE REPENTE LAS BANDAS SE CAE Y ENSEGUIDA  SE CAE EL INTERNET,HAN HABIDO PROBLEMAS DE LOS CHICOS QUE SE HA SOLUCIONADO DE INMEDIATO.	Se cae el servicio/ se corta/ intermitente,Mal servicio internet/ se cae/ lento/ falla,No es perfecto/ podría ser mejor	TEMUCO	NA
19szWj8tDLWe	MICRO	MV	SANTIAGO	Hombre	7	PUES NO TENGO NINGÚN PROBLEMA EN NADA, EN LAS COMUNICACIONES, EN LAS POCAS VECES QUE HAY ALGÚN PROBLEMA SE SOLUCIONA RÁPIDAMENTE, ES UNA RELACIÓN NORMAL	No ha tenido problemas/ conforme/ todo bien,Buen servicio de los ejecutivos/ apoyo/ atención,Soluciones rápidas	LAS CONDES	ADMINISTRADOR
6vueqPZGtcqH	PYME	Mas	REGIONES	Mujer	7	"PORQUE NUNCA TENGO PROBLEMAS PORQUE SI ME ATRASO EN UNA CUENTA, CUANDO ME LA CORTAN, ELLOS LUEGO LA VUELVEN A DAR INMEDIATAMENTE DESPUÉS DEL PAGO, PORQUE TIENEN LAS FACTURAS VÍA ELECTRÓNICA, PORQUE CONECTARSE A LA PÁGINA WEB ES MUY FÁCIL, TIENE MUCHOS BENEFICIOS; LOS SERVICIOS FIJOS ES POR LO MISMO"	No ha tenido problemas/ conforme/ todo bien,Soluciones rápidas,Buen servicio/ eficiente	SANTIAGO CENTRO	ADMINISTRACIÓN
CzlBmNUj7spl	MICRO	Mas	REGIONES	Hombre	6	PORQUE FUNCIONA BIEN, MIRA DA EL SERVICIO QUE CORRESPONDE Y CUANDO TENGO ALGÚN PROBLEMA TÉCNICO, ACUDEN RÁPIDAMENTE, POR LO MENOS UN EJEMPLO, NO ESCUCHABA CON LA ALTA VOZ DEL TELÉFONO FIJO Y LLAME Y ME LO VINIERON CAMBIAR INMEDIATAMENTE.	Funciona bien,Buen servicio/ eficiente,Soluciones rápidas	ÑOÑOA	NA
2Y3CTf1YF1ad	MICRO	AV	REGIONES	Mujer	2	TIENE MUY POCO SEÑAL, SE CAE MUCHAS VECES, EL TIEMPO PARA RESOLVER EL PROBLEMA NO ES RÁPIDO, PORQUE CUANDO SE DESCONECTA EL INTERNET SE DESCONECTA LA TELEFONÍA TAMBIÉN, EL SERVICIO ES MUY LENTO PARA PODER REPARAR.	Mala señal,Se cae el servicio/ se corta/ intermitente,Mal servicio,Servicio lento	SAN JAVIER REGION MAULE	JEFE
0NbgQiMQRa7c	MICRO	MV	REGIONES	Hombre	7	PORQUE NO HEMOS TENIDO MAYORES PROBLEMAS, CADA VEZ QUE SOLICITAMOS ALGO NOS ATIENDEN RÁPIDAMENTE. EL SERVICIO ES BUENO.	No ha tenido problemas/ conforme/ todo bien,Buen servicio/ eficiente,Soluciones rápidas	LOS ANGELES	NA
Ay3B4JkXje7g	PYME	Mas	SANTIAGO	Hombre	6	"PORQUE EN GENERAL YO HE TENIDO MUY BUENA IMPRESIÓN DE ENTEL, ESTOY CON ELLA HACE MAS DE 20 AÑOS PERO HAY COSAS QUE NO ME GUSTAN; UNA DE ELLAS ES QUE PASA A SER UNA EMPRESA DE COMUNICACIONES CUANDO UNO TIENE ALGUNA EMERGENCIA, ALGUNA CONSULTA QUE HACER, COMUNICARSE CON ELLOS ES LO MAS DIFÍCIL QUE HAY Y POR ALGUNOS PERIODOS RESULTA IMPOSIBLE. EN LO DEMÁS ES FANTÁSTICO, PERO TIENEN ESE PROBLEMA Y LO TIENEN HACE TIEMPO YA QUE UNO LLAMA Y LE SALE UNAS GRABACIONES QUE LO TIRAN PA TODOS LADOS PERO EN EL FONDO NO QUIEREN ATENDER LA LLAMADA."	No tiene contacto con los clientes/ difícil contactarse con la cia.	SANTIAGO	GERENTE GENERAL
2PUaltZFJj4G	S/Info	Mas	SANTIAGO	Hombre	7	PORQUE CADA VEZ QUE TENGO ALGÚN PROBLEMA O ALGO, VIENEN INMEDIATAMENTE, NO ME TRAMITAN, CUMPLEN CON TODO, SE VIENEN, VEN INMEDIATAMENTE LA FALLA, SI HAY ALGUNA INQUIETUD LO RESUELVEN.	Soluciones rápidas	SANTIAGO CENTRO.	NA
hDGHPTa4IQy0	PYME	Mas	SANTIAGO	Hombre	7	PORQUE BRINDAN UN BUEN SERVICIO EN TODO LO QUE ES AYUDA TÉCNICA Y ESTÁN INFORMANDO SIEMPRE DE LOS AVANCES.	Buen servicio/ eficiente,Buena información/ clara	COMUNA DE VUESURABA SANTIAGO	ADMINISTRADOR
tQ4J8pMdDV6B	MICRO	Mas	REGIONES	Hombre	6	PORQUE EN GENERAL ANDA BIEN, PERO NO SIEMPRE ES EXCELENTE, EN LA ATENCIÓN, PERO DE REPENTE ALGUNAS VECES SE HAN CAÍDO, EL INTERNET.	Mal servicio internet/ se cae/ lento/ falla,Buena atención/ amables	CURICÓ.	NA
YfPajjsTS5gx	MICRO	Mas	REGIONES	Hombre	7	"PORQUE SIEMPRE FUNCIONA, NO SE CAE CASI NUNCA, Y CUANDO SE CAE ES PROBLEMA NO DE ELLOS SINO DEL SISTEMA; EL INTERNET NI LA TELEFONÍA."	Funciona bien,Servicio estable/ no se cae,Buen servicio de internet/ rápido/ estable,Buenos precios	CHILLAN	NA
HCuCfStU9jWT	PYME	Mas	REGIONES	Hombre	7	PORQUE NO TENEMOS PROBLEMA CON EL SERVICIO, LA VELOCIDAD ES UNA VELOCIDAD SÚPER ADECUADA, ESTA PERMANENTEMENTE,NO SUFRE DE GRANDES CAÍDAS, ES MUY BARATO, TIENEN UN COSTO RAZONABLE PARA EL SERVICIO QUE PRESTAN.	Buen servicio/ eficiente,Servicio estable/ no se cae,Buenos precios	RANCAGUA	JEFE
ys19gvNI42vX	MICRO	Mas	SANTIAGO	Mujer	5	HE TENIDO PROBLEMAS EN LA SEÑAL, COMO INTERFERENCIAS EN LA SEÑAL DE INTERNET	Mal servicio internet/ se cae/ lento/ falla	SANTIAGO	ASISTENTE ADMINISTRATIVO
cBfmXjs8d6J9	PYME	Mas	SANTIAGO	Hombre	6	PORQUE CAMBIE DE OFICINA, DE LUGAR FÍSICO Y NO FUE TAN RÁPIDO EL CAMBIO FÍSICO QUE ME HICIERON DE LA TELEFONÍA, SE ESTÁN DEMORANDO UNA SEMANA.	Demora en soluciones	PROVIDENCIA	GERENTE GENERAL
6IdZXm9c0D95	MICRO	Mas	SANTIAGO	Hombre	7	PORQUE NO HEMOS TENIDO INCIDENCIAS ALGUNA CON EL SERVICIOS, INCIDENCIAS NO HEMOS TENIDO PROBLEMAS EN NINGUNA ÍNDOLE	No ha tenido problemas/ conforme/ todo bien	LA CONDES	ANALISTA DE NEGOCIOS Y ADMINISTRACIÓN
JiGaj6IgereM	GGEE	MV	SANTIAGO	Mujer	5	PORQUE NO SE MERECEN EL 7 POR ESO, SI EL POCO RESPALDO DEL EJECUTIVO DE CUENTA	Mal servicio de los ejecutivos/ atención/ contacto	SANTIAGO	OFFICE MANAGER
B7LJEavQ74TI	MICRO	AV	SANTIAGO	Hombre	7	PORQUE NUNCA SE NOS CORTA EL INTERNET, QUE NUNCA QUEDAMOS SIN SERVICIO.	Buen servicio/ eficiente,Buen servicio de internet/ rápido/ estable	PROVIDENCIA	NA
Yu1jWhgbBk95	GGEE	AV	SANTIAGO	Hombre	7	PORQUE USTED ME ESTA PREGUNTANDO COMO EVALUÓ EL SERVICIO Y LO ENCUENTRO BUENO, EL SERVICIO, LA EMPRESA, LA COMPAÑÍA	Buen servicio/ eficiente,Buena compañía/ la mejor	LAS CONDES REGION METROPOLITANA	NA
B9UuDhblpDQX	MICRO	Mas	SANTIAGO	Hombre	6	QUIZÁ EN EL SEGUIMIENTO A LOS SERVICIOS, HA HABIDO POCAS FALLAS, SI OFRECIERAN O CON CIERTA FRECUENCIA HICIERAN UNA LLAMADA PARA REVISAR EL SERVICIO, COMO MAS ATENCIÓN DIRÍA YO. EN SEGUIMIENTO AL SERVICIO	Mal servicio de los ejecutivos/ atención/ contacto	LAS CONDES	NA
ghDCzgavNSrj	PYME	MV	REGIONES	Mujer	5	PORQUE A VECES FALLA, LA CONEXIÓN DE INTERNET, SI ES QUE FALLA LA CONEXIÓN DE INTERNET DONDE ESTAMOS UBICADOS NOSOTROS.	Mal servicio internet/ se cae/ lento/ falla	SALAMANCA	GERENTE COMERCIAL
TnZHbPG9zEEe	GGEE	AP	SANTIAGO	Mujer	7	PORQUE EXCELENTE SERVICIO,EN LA NAVEGACIÓN,  EN LOS SERVICIOS QUE TENGO CON ELLOS, POR QUE ES BUEN PLAN NO TENGO PROBLEMAS DE CONECTIVIDAD, DE NAVEGACIÓN, NO TENGO PROBLEMAS DE LLAMADO, NO TENGO NINGÚN TIPO PROBLEMA Y SI LOS TENGO ME LO RESUELVEN A LA HORA DE LLEGAR.	Buen servicio/ eficiente,Buena señal	ESTACIÓN  CENTRAL	NA
8jvVH1KDn9Pi	MICRO	AV	REGIONES	Mujer	6	PORQUE ES BUENO EL SERVICIO, PERO NO EXCELENTE. ES BUENO, HE LLAMADO, HE TENIDO CONTINUIDAD EN EL SERVICIO, PERO QUE MÁS TE PUEDO DECIR, ES BUENO EL SERVICIO.	Buen servicio/ eficiente,Servicio estable/ no se cae	RANCAGUA	NA
J3MPKKiDf7uZ	GGEE	AP	SANTIAGO	Mujer	7	PORQUE TENEMOS UN BUEN PLAN, POR EMPRESA, PORQUE TIENE BUENOS GIGA BIS, ES RÁPIDA, EN CUANTO A BAJADA	Buenos planes/ convenientes,Internet funciona bien	SANTIAGO, CENTRO, REGIÓN METROPOLITANA	REPRESENTANTE LEGAL
CRnIl8rVY0Zd	GGEE	AP	SANTIAGO	Hombre	6	PORQUE TUVIMOS UN INCIDENTE QUE ESTUVIMOS VARIOS DÍAS SIN ENLACE ESTUVO CORTADO EL SERVICIO HACE COMO DOS MESES TUVIMOS UN PROBLEMA GRAVE.	Se cae el servicio/ se corta/ intermitente	SANTIAGO	NA
PBvlwcxzitoe	PYME	MV	SANTIAGO	Hombre	7	SI, HACE UN AÑO QUE ESTAMOS CON ELLOS, ASÍ QUE NO HEMOS TENIDO NINGÚN PROBLEMA, LA INFORMACIÓN HA SIDO FLUIDA, TODO ESE TIPO DE COSAS.	No ha tenido problemas/ conforme/ todo bien,Buena información/ clara	HUECHURABA, SANTIAGO.	NA
7uPhFHt90FSF	PYME	AP	REGIONES	Hombre	6	PORQUE SIEMPRE HAY COSAS QUE MEJORAR, YO DIRÍA EN LA PARTE DE APOYO TÉCNICO ANTES DE DESPACHAR.	No es perfecto/ podría ser mejor	TEMUCO	JEFE DE FINANZAS
RkEcx0GjI0IR	S/Info	MV	REGIONES	Hombre	6	POR EL ANCHA BANDA, NO SIEMPRE ESTÁ DISPONIBLE EL ANCHA BANDA. CUANDO SE SUMA MUCHA GENTE A LA RED.	Mala señal	GUANTEN EN CONCEPCIÓN	NA
WO3GD8QuaDry	PYME	Mas	REGIONES	Hombre	6	PORQUE NO ES TAN MALO, QUE NO SE CORTE, QUE NO HALLAN FALLAS, QUE NO SE CAIGA.	No es perfecto/ podría ser mejor	SAN ANTONIO - QUINTA REGION	GERENTE GENERAL
PVXOG7kEAyfd	PYME	MP	REGIONES	Hombre	6	HEMOS TENIDO EL SERVICIO DE INTERNET DE BANDA ANCHA CONTRATADO DE 100 MEGAS Y A VECES NO FUNCIONA, EL TIEMPO DE RESPUESTA DEL CALL CENTER NO FUNCIONA MUY BIEN	Mal servicio internet/ se cae/ lento/ falla,Mal servicio call center	COMUNA TEMUCO	NA
Yv3M8SVW9Dp8	PYME	MV	REGIONES	Hombre	6	LA VERDAD ES QUE EL SERVICIO FUNCIONA BIEN, EL INTERNET ES TAL COMO LO CONTRATAMOS EN LA VELOCIDAD ANDA BIEN DE SUBIDA Y BAJADA Y EN TEMAS DE SERVICIO TÉCNICO TAMBIÉN CUANDO LOS LLAMAMOS NO TARDAN TANTO, QUIZÁ NO ES PERFECTO PERO EN ESE SENTIDO HAY MUCHAS EMPRESAS QUE FALLAN EN EL SERVICIO TÉCNICO ENTONCES POR ESO LE COLOCO UN 6 Y NO 7.	Buen servicio/ eficiente,Buen servicio de internet/ rápido/ estable,Buen servicio técnico/ rápido	LOS ANGELES	INFORMÁTICO
m6ZebM2YuyNb	PYME	MV	SANTIAGO	Hombre	7	EL MOTIVO ES QUE COMO ES UN INTERNET DE EMPRESAS, POR LO TANTO ELLOS ME ASEGURAN QUE EL MISMO DÍA QUE EL SERVICIO ESTUVIERA CON PROBLEMAS, ME LO REPARAN, A DIFERENCIA DE MOVISTAR QUE LOS VOY A EVALUAR CON UNO, PORQUE ESTAMOS DESDE ENERO SIN TELÉFONO, NI INTERNET DE MOVISTAR, ENTEL ME RESPONDE CUANDO TENGO MIS DUDAS DIRECTAMENTE, O SEA YO LES DIGO ME PASA ESTO Y  ME ATIENDEN CON BUENA VERACIDAD, EN DIFERENCIA DE MOVISTAR ME DAN VUELTAS Y VUELTAS, POR EJEMPLO DESDE ENERO QUE NO HAY SERVICIO DE INTERNET, NI DE TELÉFONO.	Soluciones rápidas,Buena atención/ amables	EL BOSQUE	ENCARGADO DE ENLACES
TkRZSBnjwyLk	S/Info	AV	REGIONES	Hombre	7	PORQUE JAMAS HE TENIDO PROBLEMAS CON ENTEL, NO SE CAE LA CONECTIVIDAD, NUNCA HA HABIDO PROBLEMAS DE CONECTIVIDAD Y ME COMUNICO CON UN EJECUTIVO QUE TENGO YO DE CUENTA BUENO SON COMO 3 UNO ES COMERCIAL EL OTRO ES DE POST VENTA Y EL OTRO ES DE LOS PAGOS CON NINGUNO HE TENIDO PROBLEMA Y SIEMPRE ME HAN ATENDIDO DE BUENA MANERA Y LA RESPUESTA ES SUPER RAPIDA ESO ES LO QUE SIEMPRE SE HACE	No ha tenido problemas/ conforme/ todo bien,Servicio estable/ no se cae,Buena señal,Buen servicio de los ejecutivos/ apoyo/ atención	ARICA	NA
GSQS5Zxvh44D	PYME	Mas	REGIONES	Hombre	5	PORQUE HEMOS TENIDO ALGUNOS PROBLEMAS EN EL SISTEMA	Mal servicio	EQUIQUE	ENCARGADO INFORMÁTICA
TnUdZunGMFxd	PYME	AV	REGIONES	Hombre	7	PORQUE EL SERVICIO ES CONTINUO, NO SE CAE, CUANDO LLAMO POR ALGÚN REQUERIMIENTO ADICIONAL ME DAN RESPUESTA INMEDIATA Y TENGO CONTACTO CON MI EJECUTIVO CONSTANTE POR TELÉFONO Y POR CORREO.	Buen servicio/ eficiente,Servicio estable/ no se cae,Soluciones rápidas,Buen servicio de los ejecutivos/ apoyo/ atención	ALTO OSPICIO	ENCARGADO DE LAS TICS
