encriptado	SEG_CORFO_FINAL	CL_SEG_GOL_original	Regionx	sex_enc	ISO_FINAL_A	F1	P1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P2[{_1}].Rp._98	P2[{_2}].Rp._98	P2[{_3}].Rp._98	P3	P4	P4_COD	P5[{_a}].Rp	P5[{_b}].Rp	P5[{_c}].Rp	P5[{_d}].Rp	P5[{_e}].Rp	P6_aux	P6	P7[{_1}].Rp	P7[{_2}].Rp	P7[{_3}].Rp	P8	P9	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P10[{_6}].Rp	P10[{_7}].Rp	P10[{_8}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11[{_6}].Rp	P11[{_7}].Rp	P11[{_8}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P12[{_6}].Rp	P12[{_7}].Rp	P12[{_8}].Rp	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P14	P15[{_1}].Rp	P15[{_2}].Rp	P15[{_3}].Rp	P15[{_4}].Rp	P16[{_1}].Rp	P16[{_2}].Rp	P16[{_3}].Rp	P16[{_4}].Rp	P17	P18	P19	P19_COD	P20	P21	P22	P23	P24	P25	P27	P28	P29	P30	P32
aipYCvWUEtGg	MICRO	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS)"	Entel	Entel	NA	NA	NA	NA	7	PORQUE NO HE TENIDO PROBLEMAS NI CON COBROS, NI CON COBERTURA, Y LAS VECES QUE ME HE ACERCADO ME LO SOLUCIONAN RÁPIDAMENTE, EN CELULAR, EN DATOS, EN GENERAL NO HE TENIDO NUNCA PROBLEMA.	No ha tenido problemas/ conforme/ todo bien,Cuentas claras,Buena cobertura,Soluciones rápidas	6	7	7	7	6	INTERNET BANDA ANCHA	7	6	6	6	7	6	No	No	No	No	No	Sí	No	Sí	NA	NA	NA	NA	NA	6	NA	6	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	10	3	ADMINISTRACIÓN	1 AÑO	ÑIÑOA	ADMINISTRADOR
FCYB5at7fCvM	MICRO	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,Telefónica/ Movistar,VTR	NA	Entel,Telefónica/ Movistar	NA	NA	NA	5	PORQUE 7 ES SUPERIOR Y NO LO PODRÍA CALIFICAR CON PERFECTO, NO EXISTE LA PERFECCIÓN. POR LA COBERTURA	No es perfecto/ podría ser mejor,Mala cobertura	5	5	5	5	4	INTERNET BANDA ANCHA	6	5	5	4	3	5	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	6	Está Igual	8	3	CENTRO DE INTERNET Y COMIDA AL PASO	6 AÑOS	RAMKAWUA	DUEÑO
JybpbFsMo6yg	MICRO	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS)"	Entel,VTR	VTR	NA	NA	NA	NA	6	PORQUE HAY COSAS PUNTUALES, NO ES QUE EL SERVICIO SEA MALO, PERO HAY COSAS PUNTUALES QUE DE REPENTE, CAÍDAS DEL SISTEMA, TARDANZA EN LA OPERACIÓN, COSAS ASÍ PERO NO ES TAMPOCO SIEMPRE, POR ESO UN 6, NO UN 7.	Buenos servicios,Se cae el servicio/ se corta/ intermitente,Demora en soluciones	7	7	7	7	7	INTERNET BANDA ANCHA	6	6	6	6	7	7	No	Sí	No	No	Sí	Sí	No	Sí	NA	6	NA	NA	7	7	NA	7	NA	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas	NA	NA	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas	NA	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	7	4	DESARROLLO DE SISTEMAS COMPUTACIONALES Y SOFTWARE ADOBE	UNOS 7 O 8 AÑOS MÁS O MENOS	CALAMAS	DUEÑO: GERENTE GENERAL
Z9BQ9jv67P58	PEQUEÑA	Mas	REGIONES	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE ES MUY CARO, SALE CARA LA CUENTA, SOLAMENTE ESO ES CARO Y LAMENTABLEMENTE ES LA MEJOR.	Es caro/ planes caros	6	6	5	4	1	INTERNET BANDA ANCHA	6	5	5	5	5	5	Sí	Sí	No	No	No	No	Sí	Sí	5	6	NA	NA	NA	NA	5	5	En tienda/ sucursales	En tienda/ sucursales	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	4	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	GENERALMENTE PROBLEMAS DE SEÑAL, NO ENTREGAN LA FACTURA CUANDO CORRESPONDE, Y RECLAMOS, EN GENERAL SE CAE EL INTERNET.	Mala señal/ problemas de señal,No llegan las facturas/ atraso en la factura,Problemas con internet/ caídas/ internet lento	Sí	Si fue solucionado	5	6	Está Igual	6	25	VENTA DE AGUA PURIFICADA	HACE DOS AÑOS	IQUIQUE	DUEÑO- GERENTE
tqRD2zzN6yoV	PEQUEÑA	Mas	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,VTR	NA	Entel,VTR	NA	NA	NA	5	POR EL COSTO YA QUE ES MUY ELEVADO EL VALOR.	Es caro/ planes caros	6	7	6	6	7	INTERNET BANDA ANCHA	6	6	6	6	5	7	Sí	No	Sí	Sí	Sí	Sí	Sí	Sí	6	NA	5	3	6	7	6	6	A través de la web con clave Mi Entel Empresas	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través de la web con clave Mi Entel Empresas	A través de la web con clave Mi Entel Empresas	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Ha empeorado	5	19	VENTA DE REPUESTOS, COMERCIO	3 AÑOS	LOS ANGELES	REPRESENTANTE LEGAL
ScAiAiRZn9U8	MICRO	Mas	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	PORQUE NUNCA HE TENIDO PROBLEMA, CON FACTURA, COBRO, CORTES, DIFICULTAD CON LA INTERNET NUNCA.	No ha tenido problemas/ conforme/ todo bien,Cuentas claras,Servicio estable/ no se cae,Buen servicio de internet/ rápido/ estable	7	7	6	7	7	INTERNET BANDA ANCHA	7	7	7	7	7	7	No	No	Sí	No	No	No	No	No	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	10	1	SERVICIO DE INTERNET, FOTOCOPIA, BAZAR, LIBRERÍA.	MÁS DE 1 AÑO.	LA SERENA	DUEÑA
X9fDPOyQ21jK	PEQUEÑA	Mas	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	"PORQUE HEMOS TENIDO PROBLEMAS CON LA ESTABILIDAD DEL INTERNET A VECES; SE VA, SE APAGA EL INTERNET SOLO."	Mal servicio internet/ se cae/ lento/ falla	6	5	5	5	NS/NR	INTERNET BANDA ANCHA	5	6	6	6	4	5	Sí	No	No	Sí	No	Sí	Sí	No	5	NA	NA	5	NA	6	5	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	"FALLA EN INTERNET, SE APAGA EL INTERNET; NOSOTROS TENÍAMOS ANTES MOVISTAR Y TENÍAMOS COMO UNA CENTRAL DE TELÉFONO, CUANDO CAMBIAMOS A ENTEL, NOS DIJERON QUE NO HABÍA PROBLEMA CON MODIFICARLO PARA CONTINUAR IGUAL, Y NO LO PUDIERON HACER, VINO UN TÉCNICO UN PAR DE VECES Y  NO LO PUDO HACER, NO LE RESULTÓ, NO HUBO LA DISPOSICIÓN, TUVE QUE CONTRATAR UN TÉCNICO PARTICULAR QUE ME PUDIERA HACER LA CONEXIÓN."	Problemas con internet/ caídas/ internet lento,Problemas con el traslado de servicio,No solucionan problemas	Sí	Si fue solucionado	1	6	Está Igual	5	14	EDUCACIÓN	ESTE AÑO, DEBE SER UNOS SEIS MESES, CINCO MESES, POR AHÍ.	CHILICURA	DIRECTORA
hDgCkF3MQjhF	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	VTR	NA	NA	NA	7	PORQUE TIENE BUENA SEÑAL EN CASI TODOS LOS LUGARES, PORQUE NUNCA TIENE FALLAS NUNCA SE CAE LA LINEA, TIENE BUENOS EQUIPOS.	Buena señal,No ha tenido problemas/ conforme/ todo bien,Servicio estable/ no se cae	7	7	7	7	7	INTERNET BANDA ANCHA	7	7	5	5	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	7	9	HOTEL/RESTAURANT	5 AÑOS	TEMUCO	DUEÑO
CqUhjkln5Xay	MICRO	MP	NS/NR	Hombre	Sí	Sí	"a.	Internet Banda Ancha"	Entel	NA	NA	NA	NA	NA	5	EL SERVICIO ES BUENO, NO TENGO NADA EN CUANTO AL SERVICIO, EL PROBLEMA ES EL COSTO, EL COSTO ELEVADO DEL SERVICIO.	Buen servicio/ eficiente,Es caro/ planes caros	7	5	6	6	5	INTERNET BANDA ANCHA	6	2	NS/NR	5	5	6	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	No	NA	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	5	Está Igual	5	2	SERVICIO TECNICO	5 BAÑOS	CUTRES	ENCARGADO TECNICO
KFefdFbq0oco	PEQUEÑA	Mas	NS/NR	Hombre	Sí	Sí	"a.	Internet Banda Ancha"	Entel	NA	NA	NA	NA	NA	5	POR EL PROBLEMA CON LOS COSTOS COMPARADO CON LAS OTRAS COMPAÑÍAS, SON MÁS CAROS LOS PLANES DE ENTEL QUE EN OTRAS COMPAÑÍAS.	Es caro/ planes caros	6	6	6	5	4	INTERNET BANDA ANCHA	6	6	6	6	5	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	TIENE MALA SEÑAL.	Mala señal/ problemas de señal	No	NA	NA	5	Está Igual	4	7	TRANSPORTES	10, 12, 15 AÑOS APROXIMADAMENTE	DICANTEL	DUEÑO
X5GgBMwMYcsb	MEDIANA	Mas	REGIONES	Hombre	No	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	5	PORQUE DE REPENTE HAY PROBLEMAS CON LA RED DE INTERNET, SE NOS CAE UN POCO.	Mal servicio internet/ se cae/ lento/ falla	6	7	7	6	5	INTERNET BANDA ANCHA	6	6	5	6	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	8	50	ALIMENTACIÓN	2 AÑOS	LOS ÁNGELES	DUEÑO
poBRMb9l0OUn	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	PORQUE NO HE TENIDO PROBLEMA DE CONECTIVIDAD CON ESTA EMPRESA NO A PERDIDO CONCEPCIÓN EN TODO ESTE TIEMPO	Buena cobertura,Servicio estable/ no se cae	7	7	7	7	7	INTERNET BANDA ANCHA	7	7	7	7	7	7	No	No	No	Sí	No	No	No	No	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	10	14	RESTAURANTE	2 AÑOS	CURICO	ADMINISTRADOR
