encriptado	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	SEG_CORFO	SEG_GOL	Ciudad_comuna	sex_enc	Regionx	Rubro
rEgd1jzrP65a	5	"LA CALIDAD DE LOS DOS PRODUCTOS YO CREO QUE ES SUSCEPTIBLE A BASTANTE MEJORÍA, LAS COMUNICACIONES TELEFÓNICAS SON BASTANTE DEFICIENTES Y HAY QUE HACER UN GRAN ESFUERZO DE ENTENDER A LA OTRA PERSONA PORQUE LA CALIDAD NO ES BUENA, EN MATERIA DE INTERNET HAY HORARIOS EN QUE ES MUY DEFICIENTE, SOBRE TODO EN VELOCIDAD; FUNDAMENTALMENTE ESO, ES UN SERVICIO QUE FUNCIONA, FUNCIONA TODOS LOS DÍAS, NO HAY INTERRUPCIONES PERO ES SUSCEPTIBLE A MEJORAR."	MICRO	Mas	PROVIDENCIA	Hombre	REGIONES	LAVANDERÍA
0NNOjBxLpx9F	6	EN TERMINOS DE INTERNET TENGO UNA CONEXION BANDA ANCHA LA CUAL HAY LIMITACIONES DE CAPACIDAD EN EL SECTOR DONDE ESTOY 90/30, EN EL SECTOR NO PERMITE UNA ACTUALIZACION DE SUBIDA DE BANDA. TELEFONIA FIJA HA ANDADO MUY BIEN.LE HA PERMITIDO MANTENER LAS HERRAMIENTAS QUE LE DA UN NUMERO MOVIL EN TELEFONIA FIJA, ASI NO PIERDE LAS LLAMADAS FIJAS.	MICRO	Mas	LAS CONDES	Hombre	SANTIAGO	ASESORIAS Y TELECOMUNICACIONES
ovEAzBbfKSL4	6	"PORQUE EL SERVICIO ES BUENO, EL SERVICIO TÉCNICO ES BUENO; CUANDO LOS LLAMO ME CONTESTAN AL TIRO. EL SERVICIO ES BUENO EN QUE PRESENTA POCAS FALLAS, ES RÁPIDO HABLANDO DE INTERNET."	MEDIANA	AP	ÑUÑOA	Mujer	SANTIAGO	TRANSPORTE
F3IrDwHinN2M	7. Muy satisfecho	PORQUE EL SERVICIO ES BUENO NO SE CAE QUE NO SE CAE	PEQUEÑA	Mas	MAIPU	Mujer	SANTIAGO	FERRETERIA
VcSO0fpjza71	7. Muy satisfecho	"PORQUE TENGO BUEN SERVICIO; NO SE ME CAE EL INTERNET EN QUE SIEMPRE TENGO INTERNET Y EN OTRAS EMPRESAS SE LE CAE EL INTERNET. YO TENGO BUEN SERVICIO EN ESE ASPECTO."	PEQUEÑA	Mas	LAS CONDES	Hombre	SANTIAGO	COMUNIDAD
EBUdnkT96vxt	4	POR QUE SIEMPRE HEMOS TENIDO  PROBLEMAS CON ENTEL EN NUESTRA EMPRESA, ES MUY BAJA LA CALIDAD DEL INTERNET, NO TENEMOS SEÑAL//NO DA MAS INFORMACION	PEQUEÑA	AV	SANTIAGO CENTRO	Mujer	SANTIAGO	IMPORTADORA Y COMERCIALIZADORA
qOQAHWMhvqHp	7. Muy satisfecho	PORQUE LLEVAMOS 2 AÑOS Y NUNCA HEMOS TENIDO UN PROBLEMA. INCLUSIVE CUANDO HAY CORTE DE ENERGIA SE SOLUCIONAN RAPIDO	MICRO	Mas	LAS CONDES	Hombre	SANTIAGO	EDIFICIO CORPORATIVO
6vueqPZGtcqH	7. Muy satisfecho	SON RAPIDOS Y CONFIABLES CON RESPECTO A INFORMACION Y CONEXION	PEQUEÑA	Mas	SANTIAGO CENTRO	Mujer	SANTIAGO	LIBRERIA
2Y3CTf1YF1ad	5	"PORQUE TIENE PROBLEMAS DE CONECTIVIDAD EN EL INTERNET Y LA TELEFONÍA FIJA PORQUE LA TELEFONÍA ESTA CONECTADA CON EL INTERNET; TIENE BAJAS EN LA CONECTIVIDAD Y NO RESPONDEN PRONTAMENTE EN LA PARTE DE SOPORTE."	MICRO	AV	SAN JAVIER	Mujer	REGIONES	TEATRO
DuTfDtvczpvs	6	son bastantes buenos, no ha tenido mayor inconvenientes con entel y la atención telefónica es buena	MICRO	Mas	las condes, santiago	Hombre	SANTIAGO	administración de edificios
0h0sfnpcZitB	5	PORQUE HAY PROPBELMAS DE CONEXION SE CAE LA SEÑAL DE INTERNET	MEDIANA	AV	CURICO	Mujer	REGIONES	AGRICOLA TRANSPORTE
Ay3B4JkXje7g	6	ERA MUY BUENO ANTES, ULTIMAMENTE HA NOTADO QUE ENTEL TIENE MUCHOS CLIENTES YA QUE TIENE PROBLEMAS EN LA COMUNICACION. ANTES LLAMABA AL CALL CENTER Y LO ATENDIAN, PERO AHORA YA NO LE CONTESTAN, POR LA SATURACION.	PEQUEÑA	Mas	SANTIAGO CENTRO/ PROVIDENDCIA	Hombre	SANTIAGO	CONSULTORIA
tQ4J8pMdDV6B	6	PORQUE ANDA BIEN PERO NO PERFECTO, ATIEDE BIEN PERO DE REPENTE HAY INTERRUPCION EN EL INTERNET	PEQUEÑA	Mas	CURICO	Hombre	REGIONES	SERVICIOS
quPWoHd2rtKU	6	PORQUE ME GUSTA EL SEIS.	MICRO	Mas	LA CONDE	Hombre	SANTIAGO	DISTRIBUIDORA DE CONFITE
cBfmXjs8d6J9	7. Muy satisfecho	NO HEMOS TENIDO PROBLEMAS CUANDO UNO LLAMA RESUELVEN RAPIDO CUANDO HICIERON LA INSTALACION DEL INTERNET FUE RAPIDO	PEQUEÑA	Mas	PROVIDENCIA	Hombre	SANTIAGO	SERVICIOS DE CONTABILIDAD Y AUDITORIA
byirlJSLL1AK	6	PORQUE EN ALGUNOS MOMENTOS NO RESPONDEN INMEDIATAMENTE, CUANDO TENEMOS ALGUNOS PROBLEMAS CON LA RED, SE BAJA EL NIVEL DE LA RED O SE DESCONECTA, ENTONCES NO HAY RESPUESTA.	PEQUEÑA	AV	ARICA	Mujer	REGIONES	TRABAJO LOGISTICO DE IMPORTE
YPfar3rcuDEg	7. Muy satisfecho	PORQUE EN GENERAL ES BUENO EL SERVICIO, TIENE BUENA ATENCION POST VENTA RESPONDEN, VEO PREOCUPACION POR LOS CLIENTES, SOLO ESO.	PEQUEÑA	MV	LAS CONDES SANTIAGO	Mujer	SANTIAGO	MINERIA
TlYe4yqLhd5s	6	PORQUE NO ES PERFECTO, IGUAL CON LA PANDEMIA HUBO COSAS TEDIOSAS PARA HACERLAS, APGOS RESPUESTAS NO LLEGABAN DE INMEDIATO, DEMORA, UNA VEZ QUEDARON SIN SERVICIO Y DEMORARON 2 DIAS	MEDIANA	AP	SANTIAGO CENTRO	Mujer	SANTIAGO	SERVICIOS INFORMATICOS
smDG96eHwEsK	6	PORQUE TODAS LAS EMPRESAS DE COMUNICACIÓN OFRECEN LO MISMO, NO ES SOLAMENTE ENTEL, SINO QUE UNA VEZ EL SERVICIO SE VENDE, LOS EJECUTIVOS COMERCIALES DESAPARECEN, QUE NO SON PROACTIVOS, LA TECNOLOGÍA VA CAMBIANDO RÁPIDAMENTE Y ESA TECNOLOGÍA SI EL CLIENTE NO LA PIDE, EL PROVEEDOR NUNCA TE LA OFRECE.	GGEE	MV	SANTIAGO	Hombre	SANTIAGO	CONSTRUCTURA
HwcOYQQx8VwF	7. Muy satisfecho	porque nos a resuelven todo cada vez que lo necesitamos cuando hay indicidencia nos han suolicionado los problemas en un tiempo adecuados.	PEQUEÑA	AV	valparaiso	Hombre	REGIONES	justicia electoral
C76t1dtkqCpE	5	"PORQUE EL SERVICIO EN GENERAL ES BUENO, PERO CADA CIERTO TIEMPO PRESENTA ALGUNA FALLA; LOS DATOS SE TRASMITEN BASTANTE RÁPIDO, ES MUY RARO QUE DEJE DE FUNCIONAR LA TRANSMISIÓN DE DATOS DIGAMOS LA INTERNET, EN TELEFONÍA PRESENTA ALGUNAS CAÍDAS ESPORADICAS Y POR ESAS CAIDAS TAMBIÉN NO QUEDA MEJOR EVALUADO."	PEQUEÑA	MV	SAN FERNANDO	Hombre	REGIONES	ADMINISTRACIÓN PÚBLICA
gYdSWpyTOKtZ	7. Muy satisfecho	"PORQUE TIENE BUEN SERVICIO EN QUE NO SE CORTA; ES PERMANENTE Y CONTINUO Y TAMBIÉN LA EJECUTIVA SIEMPRE ESTÁ ATENTA Y CONVERSANDO CON NOSOTROS."	MEDIANA	AV	PUERTO CHACABUCO	Hombre	REGIONES	SERVICIOS
808K3zVMfkhB	5	POR QE FALTA INFORMACION DE FACTRRACIONES	MICRO	AV	LIARES	Hombre	REGIONES	EVOCAQCION
rRmqhluhjh3I	5	SERVICIO DE POST VENTA ES MALO ES BUENO PERO CUANDO HAY PROBLEMAS CUESTA CONTACTARSE, DIFICIL CONECTIVIDAD DERIVACIONES EJECUTIVOS QUE NO SOLUCIONAN NO SE ADELANTAN A SOLUCIONAR	MICRO	Mas	SANTIAGO CENTRO	Hombre	SANTIAGO	ASESORIA LEGALES
QPH5DG62wggM	7. Muy satisfecho	LA CALIDAD DEL SERVIVIO, SERVICIO POST VENTA. PROBLEMA LLAMAS LO ATIENDEN DE INMEDIATO. PROBLEMAS ELLOS ATIENDEN Y VAN A SOLUCIONAR EL PROBLEMA	MICRO	Mas	PROVIDENCIA Y SANTIAGO CENTRO	Hombre	SANTIAGO	CONSULTA MEDICA
29Thwvzdv4U8	5	PORQUE EN GENERAL HA ANDADO BIEN. PERO, HEMOS TENIDO ALGUNOS PROBLEMAS EN EL TRASLADO DE LÍNEAS CUANDO NOS CAMBIAMOS DE OFICINA O DE INSTALACIONES. PROBLEMAS, EN EL TRASLADO DE LAS LÍNEAS CUANDO NOS CAMBIAMOS DE INSTALACIONES. EL SERVICIO EN SÍ EN CUANTO A LA CALIDAD DE LA SEÑAL HA ANDADO BASTANTE BIEN.	MEDIANA	AP	SANTIAGO	Hombre	SANTIAGO	SUPERMERCADO
Xfh0ZHeLivkK	6	POR QUE  A VECES EL INTERNTE NO ES SUFICIENTE PARA LA OFICINA, NO PRESTA EL SERVICIO QUE UNO QUIERE, DEBIERA DE SER BUENO, EL TELEFONO FIJO NO LO OCUPAMOS MUCHO.	PEQUEÑA	AP	SANTIAGO CENTRO	Hombre	SANTIAGO	SINDICATO
lxcGRhz4fq3Y	1. Muy insatisfecho	NO SE PUEDEN HACER RECLAMOS, ASISTENCIA TECNICA ES CERO, AL TRATAR DE HACER UN RECLAMO POR LA WEB, APARECE UN ERROR Y NO PERMITE HACER EL RECLAMO. Y A TRAVES DE LLAMADAS NO SE COMUNICA CON LA OPERADORA Y TAMPOCO SE DEJAN NINGUN REGISTRO	MEDIANA	AP	SEÑERAL	Hombre	REGIONES	TRANSPORTE
T2MF8b16ren6	5	Porque hemos tenido algunos problemas de conectividad.	MICRO	AP	Ñuñuo , Peñalolen y Pemuco	Hombre	SANTIAGO	Corporación religiosa
PBvlwcxzitoe	7. Muy satisfecho	PORQUE NUNCA HEMOS TENIDO PROBLEMAS Y ESTÁMOS CON ELLOS HACE BASTANTE TIEMPO EN REALIDAD Y LA BUENA ATENCIÓN DE SU EJECUTIVO EN CONSULTAS Y ESE TIPO DE COSAS.	PEQUEÑA	MV	HUECHURABA	Hombre	REGIONES	RECICLAJE ELÉCTRONICO
PCbKcGpd7S8G	6	PORQUE ESTA BIEN LO QUE HACE, RESPONDEN SIEMPRE POR TELEFONO, APOYAN LO QUE UNO NECESITA ESTAN ALLI DIPUESTOS, A VECES SE ATRASAN POR ESO NO PONGO UN 7	MEDIANA	AV	PUERTO MONT	Mujer	REGIONES	EDUCACION
9KxRaS2Zfw6I	6	PORQUE LOS PRECIOS SON MUY ALTOS, SOLO ESO.	MEDIANA	MP	COLLIPULLI	Hombre	REGIONES	ESCUELA/COLEGIO
j9ndZUvG0qDT	7. Muy satisfecho	NO HE TENDIO DIFICULTADES CON LO QUE ELLOS ME OFECIERON, EL SERVICIO HA ESTADO BIEN NO HEMOS TENIDO FALLAS Y ESO ES IMPORTANTE, SOLO ESO.	PEQUEÑA	MV	TALCA	Mujer	REGIONES	EDUCACION
m6ZebM2YuyNb	6	PORQUE LA OTRA VEZ PASADA PASO UN CAMIÓN Y CORTO LA FIBRA ÓPTICA, PERO ESO NO ES CULPA DE ELLOS EN CUANTO AL SERVICIO HA FUNCIONADO DE FORMA BIEN POR EJEMPLO YO TENGO OTRO TIPO DE INTERNET EN MI CASA Y HAY DÍAS EN QUE NO HAY SERVICIO O VA LENTO ESTO O SUCEDE CON EL INTERNET DE EMPRESAS	PEQUEÑA	MV	EL BOSQUE	Hombre	REGIONES	EDUCACIÓN
cK7PXcDQDibG	7. Muy satisfecho	PORQUE HAN ESTADO TODOS LOS SERVICIOS BUENOS EN INTERNET, TELEFONÍA Y NUNCA HEMOS TENIDO PROBLEMAS.	MEDIANA	AV	SALAMANCA	Mujer	REGIONES	EDUCACIÓN
FjYk1PhipZSr	7. Muy satisfecho	PORQUE NO HE TENIDO NINGUN  PROBLEMA ECONOMICO, NI DE SERVICIO, NI DE SATURACION , FUNCIONA SIN NINGUN PROBLEMA, SOLO ESO.	PEQUEÑA	AV	PEÑAFLOR Y MILIPILLA	Hombre	SANTIAGO	EDUCACION
a9d6T960YIwH	6	porque el 7 es la perfeccion, que de repenten han habido  problema menores de conexion, la actualidad y la situacion de ahora se sobre entiende, que se saturan las lineas, y por eso se cae.	PEQUEÑA	AV	Coquimbo	Hombre	REGIONES	Educacion pre basica, basica y media
0PE3I4Cmol8b	6	PORQUE NO TODO ES PERFECTO SIEMPRE ESPECÍFICAMENTE EN LA ATENCIÓN, POR EJEMPLO ELLOS TIENEN QUE HACERME LLEGAR LA FACTURA Y SE OLVIDAN DE MANDARLA SIEMPRE EN SU OPORTUNIDAD Y DE REPENTE TENGO QUE PAGAR CON RECHAZO, ESA ES LA PRINCIPAL RAZÓN, NO CUMPLEN POR EL PROBLEMA DE LA PANDEMIA QUE A TODOS NOS TIENE PREOCUPADOS MÁS DE LA PANDEMIA QUE DE LO QUE TENEMOS QUE HACER.	PEQUEÑA	MV	COMUNA LINARES	Hombre	REGIONES	EDUCACIÓN
QcmZHjUNWkY6	7. Muy satisfecho	Tengo respuestas concretas a los requerimientos que hemos hecho, solicitamos unas bam para los niños este es un colegio y el ejecutivo especialmente vinos a dejarnos las bam al colegio. No tiene inconvenientes con la línea 600 tengo respuesta rápida y con el ejecutivo de empresa.	MEDIANA	Mas	molina	Mujer	REGIONES	Educacion
OMqBWYfBah8I	1. Muy insatisfecho	DIGAMOS DIGAMOS QUE HUBO UNA PUBLICIDAD ENGAÑOSA ENTRE LO QUE OFRECIERON Y EN LO QUE SE DA , PORQUE NOS OFRECIERON UN INTERNET CON WIFI , EL MAS RAPIDO QUE HAY EN EL MERCADO PERO JAMAS NOS DIJERON DE QUE TENIAMOS QUE MANEJARLO A TRES AÑOS Y CUANDO QUISIMOS DARLO DE BAJA NOS DIJERON QUE SE TENIA TRES AÑOS Y EL INTERNET ES DEMASIADO LENTO / NO DA MAS INFORMACION	MICRO	Mas	ARICA REGIONES	Hombre	REGIONES	CORPORACION
qT5l2hEjpiI7	5	HAN TENIDO PROBLEMAS CON EL VALOR DEL SERVICIO POR SER EMPRESA, NO TE DAN LAS MISMAS OFERTAS PARA CLIENTES EMPRESAS.TIEMPO DE RESPUESTA MUY LARGO.	MICRO	MV	SANTIAGO	Mujer	SANTIAGO	MUSEO
Q0w9DLwzVO3m	5	porque entel de repente se se nos va la señal y como es dedicado tenemos que llamar a la empresa que lo revisen cuando ya no lo podes reactivar desde aca de tu computador, y ademas porque es caro el servicio es caro.	MICRO	MV	region metropolitana comun la granaja	Mujer	SANTIAGO	servicios sociales y culturales
yHZeLhDkFbJc	7. Muy satisfecho	nunca han tenido problema con la telefonia fija.	MICRO	Mas	SANTIAGO	Hombre	SANTIAGO	JURÍDICO
scRtlvh9O2KB	5	"PORQUE ES UN BUEN SERVICIO; REACCIONAN RÁPIDO Y MEDIO RESPONDEN BIEN POR TELÉFONO CUANDO TENGO ALGUNA DUDA PUNTUAL."	PEQUEÑA	Mas	RANCAGUA	Hombre	REGIONES	MATERIALES DE CONTRUCCIÓN VENTA
AN120oy3O9nY	5	POR QUER LA SEÑAL ESTA MUY MALA, SE CAE EL INTERNET. EL TELEFONO ESTA QUE ESTA APAGADO Y SI ESTAN PRENDIDOS. HE CAMBIADO DE TELEFONO Y NO ES LA SEÑAL.	GGEE	AV	CURICO	Mujer	REGIONES	CONSTRUCCION
qilkZZ5xhlNr	7. Muy satisfecho	PORQUE NO HE TENIDO PROBLEMAS	MICRO	Mas	ATACAMA	Hombre	SANTIAGO	BASB
yC4jIXboJCEO	7. Muy satisfecho	por que son responsables cuando necesitan alguna informacion y si tiene algun problema lo solucionan son portunos	MICRO	AV	olmue	Mujer	REGIONES	servicios publicos
MnF5dfAGn9DJ	7. Muy satisfecho	PORQUE NUNCA HEMOS TENIDO NINGUN INCONVENIENTE CON ENTEL SIEMPRE QUE HEMOS NECESITADO ALGUNA AYUDA O SOLUCION NOS HAN SABIDO COLABORAR	GGEE	AV	LAS CABRAS	Hombre	REGIONES	EDUCACION
Al0jN3uS8SG9	7. Muy satisfecho	POR QUE HE TENIDO PROBLEMAS Y LO SOLUCIONAN EN EL MOMENTO, TENGO BUENA COMUNICACION CON EL EJECUTIVO Y POST VENTA, LA RESPUESTA ES RAPIDA, NO TIENE DEMORA EN LAS RESPUESTAS.	MICRO	AV	MARCHIGUE	Hombre	REGIONES	FISCAL
0Ns4izw4aY95	5	porque han tenido algunos problemas con cortes seguidos, están ubicados en una comuna rural y entel no ha sido capaz de instalar algún soporte que ayude con los problemas que tienen.	MEDIANA	AV	empedrado	Hombre	REGIONES	servicios publicos
lTltGrw02Inv	5	PORQUE A VECES SE DEMORAN EN DAR RESPUESTA DE LOS REQUERIMIENTOS, SOLO ESO.	GGEE	AV	EL CARMEN/ÑUBLE	Mujer	REGIONES	SERVICIO PUBLICO
