...1	ola - Ola Medicion	F1 - FiltroF1.  ¿Es usted la persona que administra la cuenta que su empresa tiene con el/los operadores de productos o servicios fijos?	"P2__1 - a.	Internet Banda Ancha :"	"P2__2 - b.	Red privada de datos/Transmisión de datos (MPLS) :"	"P2__3 - c.	Telefonía Fija :"	"P3 - Ahora hablaremos de su relación con Entel
    3.	Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?"	"P4 - 4.	¿Por qué evalúa con esa nota? Sondear y profundizar"	"P5__A - a)	Entel es una empresa con buena imagen en general :"	"P6 - 6.	Pensando en el funcionamiento del servicio… {#P6_aux}, ¿con qué nota de 1 a 7,evalúa el Funcionamiento de este servicio en general?"	"P7__1 - a)	Precio de los servicios en relación al mercado (Competitividad) :"	P7__2 - b) Competitividad de planes en cuanto a Internet banda ancha :	"P8 - 8.	Y en lo que respecta a Servicio a Clientes, en escala de 1 a 7 ¿cuán satisfecho está usted con ENTEL?"	P9__1 - Contratación de nuevos servicios : RU cada una	P9__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P9__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P9__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P9__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P10__1 - Contratación de nuevos servicios : RU cada una	P10__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P10__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P10__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P10__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P11__1 - Contratación de nuevos servicios : RM cada una	P11__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RM cada una	P11__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RM cada una	P11__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RM cada una	P11__5 - Reclamos por fallas técnicas de los servicios fijos : RM cada una	"P11_1__1 - a)	La facilidad para reportar el reclamo a Entel : RU cada una"	"P11_1__2 - b)	la Rapidez de respuesta a su reclamo por parte de Entel : RU cada una"	P12__1 - Ejecutivo asignado :	P12__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P12__3 - Call Center Empresa :	P12__4 - Página Web Empresa :	P12__5 - Tiendas/ Sucursales :	P13__1 - Ejecutivo asignado :	P13__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P13__3 - Call Center Empresa :	P13__4 - Página Web Empresa :	P13__5 - Tiendas/ Sucursales :	"P14 - FACTURACIÓN
       14.	En cuanto a la Facturación de todos los servicios fijos que tiene con ENTEL, en una escala de 1 a 7 ¿Cómo evalúa …?
       
       El Proceso de Facturación en general"	"P15 - MODULO INCIDENCIAS
         15. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por ENTEL?"	P16 - 16. ¿Qué problema ha tenido? Sondear	"P17 - LEALTAD
         17. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?"	P18 - 18. Pensando en este periodo de crisis Covid-19 ¿Cuan satisfecho está con ENTEL como proveedor de servicios de telecomunicaciones? Escala de 1 a 7, 99= No sabe/no responde	P19 - 19. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	SEG_CORFO	"P22 - 22.	¿Cuál es el rubro de su empresa?"	"P24 - 24.	¿Ciudad o Comuna de Ubicación de su Empresa?"	"P27 - 27.	Sexo  (No preguntar):"	"P28 - 28.	REGION (no preguntar):"	EMPTY LABEL - No Information Provided...52	EMPTY LABEL - No Information Provided...53	EMPTY LABEL - No Information Provided...54	EMPTY LABEL - No Information Provided...55
sJPb6f3I2fjb	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	4	PORQUE ENTEL TIENE SON DOS EMPRESAS QUE SE FUCIONARON Y NO ESTANNUNCA DEACUERDO EN QUE EL CLIENTE QUIERE REGULARIZAR ALGO A TRAVES DE UNA RESPUESTA DICIENDO QUE COMO ES DE LA OTRA EMPRESA Y NO DE ESTA NO PUEDEN DAR UNA SOLUCION EL PROBLEMA DE RESPUESTA A TIEMPO	6	7. Muy satisfecho	5	2	1	No	No	No	Sí	Sí	NA	NA	NA	1	5	NA	NA	NA	En tienda/ sucursales	A través de la web con clave	5	1	NA	NA	No	No	Sí	NA	NA	NA	NA	2	6	Sí	YO FUI PARA TRASPASAR EL NUMERO TELEFONICO DE LA EMPRESA PARA LOS NUEVOS DUEÑOS PORQUE LA VENDI Y ME DIJERON QUE NO SE PODIA	1	6	Sí	PEQUEÑA	EDUCACION VIAL	LAS CONDES	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
zQLyd0Bv1W1j	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	por que derrepente le aparecen cobros que no corresponde y llaman para que le regularicen  aveces le varian los pagos	7. En absoluto acuerdo	7. Muy satisfecho	6	6	6	No	No	No	Sí	No	NA	NA	NA	6	NA	NA	NA	NA	A través del Call Center empresa	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	6	No	NA	6	6	Sí	MICRO	distribuidora calzado	talca	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
hFRHhb5OI3Eg	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	PORQUE LA FIBRA ÓPTICA FALLA CONSTANTEMENTE.	5	5	5	5	6	Sí	Sí	No	No	Sí	5	5	NA	NA	5	A través del Call Center empresa	A través del Call Center empresa	NA	NA	A través del Call Center empresa	5	6	NA	NA	Sí	Sí	No	NA	NA	6	5	NA	6	Sí	CAIDA DE FIBRA ÓTICA.	5	5	Sí	MICRO	PUBLICIDAD	RANCAGUA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
Qysbnsm1F7kS	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	porque no le suben la velocidad, en la comuna en donde está hay un limite de velocidad.	6	6	5	5	6	No	Sí	No	No	Sí	NA	5	NA	NA	7	NA	A través del Call Center empresa	NA	NA	A través del Call Center empresa	7	5	NA	NA	Sí	No	No	NA	NA	6	NA	NA	7	Sí	Problemas de velocidad, tiene contratado un plan de 80 megas y/o se cae o se baja 30megas	6	6	Sí	MICRO	servicios	santa juana	Hombre	NS/NR	Mas	Masivo	MICRO Y SOHO	Stock Fijo
evpmr6Js3pgp	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	4	HEMOS TENIDO BASTANTES CAIDAS DEL SERVICIO,HEMOS TENIDO BASTANTES PROBLEMAS CON INTERNET,LOS CUALES LOS HABIAMOS SOLUCIONADO PERO CONTINUAN LOS PROBLEMAS.	4	5	5	NS/NR	6	No	Sí	Sí	Sí	Sí	NA	6	6	6	6	NA	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa,A través de la web con clave	A través del Call Center empresa	5	6	NA	NA	Sí	Sí	No	NA	NA	5	6	NA	9. NS/NR	No	NA	3	1	Sí	MICRO	VENTA DE BICICLETAS	VIÑA DEL MAR	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
X9fDPOyQ21jK	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar	NA	Entel,Telefónica/ Movistar	6	PORQUE EN GENERAL ES BUENO EL SISTEMA EN INTERNET Y TELEFONÍA FIJA, SALVO UNA QUE OTRA OCASIÓN QUE SE NOS HA CAÍDO EL INTERNET, NO HEMOS TENIDO INTERNET Y HEMOS TENIDO QUE LLAMAR PARA QUE LO SOLCUIONEN.	6	6	3	3	4	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	6	No	NA	4	NS/NR	Sí	PEQUEÑA	EDUCACIÓN PREESCOLAR	QUILICURA	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
ZdouXCk2Cg68	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	PORQUE EN GENERAL ENTEL EMPRESAS ES MUY RAPIDA PARA CONTESTAR EN GENERAL ANDA MUY BIEN, HAY VAIVENES QUE TIENE PERO HA ESTADO ESTABLE, ESTOY TRABAJANDO DESDE CSA HACE 5 MESES Y ME HA IDO BIEN, COMPARADO CON VTR ES MUCHO MEJOR, SOLO ESO.	6	6	5	5	6	No	No	Sí	Sí	No	NA	NA	6	6	NA	NA	NA	A través del Call Center empresa	A través del Call Center empresa	NA	NA	NA	NA	NA	Sí	No	No	NA	NA	6	NA	NA	5	No	NA	6	6	Sí	MICRO	TECNOLOGIA	SANTIAGO QUILICURA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
ZlkIHmXlhmvq	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	PORQUE LA VERDAD LO USO POCO ENTONCES NO PODRÍA DECIR QUE EXCELENTE.	7. En absoluto acuerdo	7. Muy satisfecho	6	6	7	No	No	No	Sí	No	NA	NA	NA	7	NA	NA	NA	NA	A través de la web con clave	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	NA	6	NA	7	No	NA	7	5	Sí	MICRO	ELECTRONICA Y AIRE ACONDICIONADO	RANCAGUA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
Arr8R7AahQfq	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	3	POR QUE EL SERVICIO DE TELEFONIA ES PESIMO, TIENEN MALOS TECNICOS, MALA PLATAFORMA CUANDO UNO HACE LOS RECLAMOS.	3	2	2	3	2	No	Sí	No	Sí	Sí	NA	2	NA	3	1	NA	A través del Call Center empresa	NA	A través del Call Center empresa	A través del Call Center empresa	4	2	NA	NA	Sí	No	Sí	NA	NA	3	NA	4	4	Sí	LA SEÑAL DE INTERNET Y SE CAE LA TELEVICION TAMBIEN.	4	3	Sí	MICRO	FERRETERIA	SANTIAGO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
LSdYEUHjC4PP	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	1. Muy insatisfecho	"PORQUE LA VERDAD NO NOS DIMOS CUENTA Y LLEVAMOS COMO MÁS DE UN AÑO UN SERVICIO QUE NUNCA CONTRATAMOS, LE DIMOS DE BAJA, HEMOS LLAMADO POR TELÉFONO Y VOLVIÓ A SALIR EN LA CUENTA UN SERVICIO QUE NO HEMOS CONTRATADO NOSOTROS; CUANDO HEMOS LLAMADO NO NOS DAN SOLUCIÓN, LA ÚNICA SOLUCIÓN QUE NOS DIJERON QUE TENÍAMOS QUE PONER UN RECLAMO EN EL SERNAC PERO COMO SOMOS EMPRESAS HAY QUE DEMANDAR, NO PODEMOS PONER RECLAMOS."	5	5	4	5	4	Sí	Sí	No	Sí	Sí	5	7	NA	1	1	A través de la web con clave	A través del Call Center empresa	NA	A través del Call Center empresa	A través del Call Center empresa	1	1	NA	NA	Sí	No	No	NA	NA	4	NA	NA	1	Sí	QUE ME SEGUIÁN COBRANDO COSAS QUE NOSOTROS NO HABÍAMOS CONTRATADO.	4	4	Sí	PEQUEÑA	PANADERÍA Y PASTELERÍA	PUENTE ALTO	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
poBRMb9l0OUn	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	NO HE TENIDO PROBLEMAS EN CONECTIVIDAD, SERVICIO Y ESTÁ TODO BIEN. CUANDO LOS HE TENIDO LO HAN SOLUCIONADO RÁPIDAMENTE.	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	NA	7	NA	7	No	NA	7	7	Sí	PEQUEÑA	RESTAURANT	CURICÓ	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
1QZUmO0D4ZxU	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	POR QUE FUNCIONA BIEN, BUENA VELOCIDAD DE INTERNET.	6	7. Muy satisfecho	6	7	4	Sí	No	No	No	No	6	NA	NA	NA	NA	A través de la web con clave	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	NA	NA	4	6	NA	6	No	NA	7	6	Sí	MICRO	CONSULTA MEDICA	PROVIDENCIA.	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
hpdFUQ9VxP9q	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE NO HE TENIDO NINGUN PROBLEMA GRAVE Y LOS MINIMOS PROBLEMAS FURON SOLUCIONAS DE FORMA RAPIDA Y CORRECTA	7. En absoluto acuerdo	6	7	6	6	No	No	No	Sí	No	NA	NA	NA	7	NA	NA	NA	NA	A través de la web con clave	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	PASTELERIA	ANTOFAGASTA	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
n5OmRo8A9uT0	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar	Entel,Telefónica/ Movistar	Entel,Telefónica/ Movistar	5	PORQUE SE CAE MUCHO EL INTERNET TENEMOS SIEMPRE MUCHOS PROBLEMAS	6	6	5	5	5	No	No	No	Sí	Sí	NA	NA	NA	6	6	NA	NA	NA	A través del Call Center empresa	A través del Call Center empresa	5	5	NA	NA	Sí	No	No	NA	NA	6	NA	NA	6	Sí	CON EL INTERNET FALLAS DE CONEXION	5	6	Sí	PEQUEÑA	RESTAURANT	IQUIQUE	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
dDW661A7owTq	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE ME DA LA GANA (NO DA MÁS INFORMACIÓN)	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	MICRO	INGENIERÍA	MUCHOS AÑOS (NO ESPECIFICA CUANTOS)	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
