encriptado	SEG_CORFO_FINAL	CL_SEG_GOL_original	Regionx	sex_enc	ISO_FINAL_A	F1	P1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P2[{_1}].Rp._98	P2[{_2}].Rp._98	P2[{_3}].Rp._98	P3	P4	P4_COD	P5[{_a}].Rp	P5[{_b}].Rp	P5[{_c}].Rp	P5[{_d}].Rp	P5[{_e}].Rp	P6_aux	P6	P7[{_1}].Rp	P7[{_2}].Rp	P7[{_3}].Rp	P8	P9	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P10[{_6}].Rp	P10[{_7}].Rp	P10[{_8}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11[{_6}].Rp	P11[{_7}].Rp	P11[{_8}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P12[{_6}].Rp	P12[{_7}].Rp	P12[{_8}].Rp	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P14	P15[{_1}].Rp	P15[{_2}].Rp	P15[{_3}].Rp	P15[{_4}].Rp	P16[{_1}].Rp	P16[{_2}].Rp	P16[{_3}].Rp	P16[{_4}].Rp	P17	P18Aa[{_1}].Rp	P18Aa[{_2}].Rp	P18Aa[{_3}].Rp	P18B[{_1}].Rp	P18B[{_2}].Rp	P18B[{_3}].Rp	P18	P19	P19_COD	P20	P21	P22	P23	P24	P25	P27	P28	P29	P30	P32	Fecha Enc
scRtlvh9O2KB	PYME	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE HE TENIDO ALGUNOS PROBLEMAS DE  ANCHOS DE BANDA, POR EJEMPLO EL OTRO DÍA LLAME A UN TÉCNICO PORQUE TENÍA UN PROBLEMA Y NOSOTROS TENEMOS UN PROBLEMA Y NOSOTROS TENEMOS UN CONTRATO QUE DEBE DE SER ASÍ COMO NOVENTA MEGAS DE BAJA Y ESTABA FUNCIONANDO A SESENTA MEGAS Y ESO NO LO SABÍA PERO HE ESTADO AÑOS CON ESAS CINCO MEGAS ABANDONADAS	No cumplen lo ofrecido/no respetan valores/ engañan,Mala señal	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	7	5	7	6	7	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	REFIÉRASE A LA RESPUESTA QUE LE DI HACE UNOS MINUTOS, EL ANCHO DE BANDA CONTRATADO NO CORRESPONDÍA CON EL ANCHO DE BANDA EFECTIVO AL ANCHO DE BANDA DE BAJADA	Problemas con banda ancha	Sí	Si fue solucionado	7	6	Está Igual	8	15	MANERAS Y MATERIALES DE CONSTRUCCION	2 AÑOS	RENCAGUA	GERENTE COMERCIAL	V1. PRE CRISIS
dWjrmIYvyKso	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	PORQUE FUNCIONA BIEN, NO SE CAE EL SERVICIO, CUANDO HAY PROBLEMA VAN RAPIDITO A VERLO, HAY COMPAÑÍAS QUE TE DEJAN SIN INTERNET UN DÍA ENTERO, O FUNCIONA MAS LENTO, NO FUNCIONA PAREJITO.	Funciona bien,Servicio estable/ no se cae,Soluciones rápidas	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	7	7	7	6	7	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	10. Muy probable	1	CLÍNICA DENTAL	NO ME ACUERDO, PERO HACE AÑOS, CINCO AÑOS SEIS AÑOS,NO SABRÍA DECIRTE, HACE TIEMPO.	SANTIAGO	TITULAR,DENTISTA.	V1. PRE CRISIS
3hGs4oXrsM1O	GGEE	AV	REGIONES	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	"HUBO ALGO, TRANSMITIERON UN SERVICIO EL CUAL NO FUE EJECUTADO; ADMINISTRACIÓN DE DATOS DE UN FIREWALL. NO, SOLO ESO, EL INTERNET FUNCIONA BIEN LA ADMINISTRADOR DEL FIREWALL, NO EJECUTARON LO QUE SE LES SOLICITO ORIGINALMENTE."	Buen servicio de internet/ rápido/ estable,Mal servicio	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	6	6	6	5	5	No	No	NA	No	Sí	No	Sí	No	NA	NA	NA	NA	6	NA	6	NA	NA	NA	NA	NA	Ejecutivo asignado	NA	Ejecutivo asignado	NA	6	6	6	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	No	Sí	NA	NA	NA	7	NA	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	Sí	UNA FALLA EN LAS TRANSFERENCIA DE ANEXOS EN TELEFONÍA LA CUAL NO PUDE EJECUTAR.	Problemas con el servicio telefónico	Sí	Si fue solucionado	7	6	Está Igual	7	200	MUNICIPALIDAD	3 AÑOS	SALAMANCA	INFORMATICA	V1. PRE CRISIS
d6AlucTDTHVE	GGEE	AV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	LO QUE PASA ES QUE HEMOS DETECTADO BAJA EN LA VELOCIDAD DE INTERNET, ANTIGUAMENTE ME DABAN RESPUESTA INMEDIATA Y SOLUCIONABAN EL PROBLEMA, PERO LLEVAMOS BASTANTE TIEMPO Y CREO QUE LA VELOCIDAD NO ES LA ADECUADA, LO QUE NOSOTROS PAGAMOS EN EL CONTRATO, HAY UNA DIFERENCIA CONTRATO VERSUS LO QUE ESTAMOS PAGANDO VERSUS LO QUE ESTAMOS TENIENDO.	Mal servicio internet/ se cae/ lento/ falla,Demora en soluciones,Cobros poco claros	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	6	6	6	5	5	No	No	NA	No	Sí	No	Sí	No	NA	NA	NA	NA	4	NA	5	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	6	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	No	No	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	Sí	DE CONECTIVIDAD, BAJA VELOCIDAD, BAJA CONSIDERABLE VELOCIDAD, LA VELOCIDAD, NO ES LA DEL CONTRATO. MÁS QUE NADA ESE	Lento/ lentitud/ demoran,Conectividad/ conexión	Sí	No fue solucionado	NA	5	Ha mejorado	6	800	SOCIEDAD MUNICIPAL	10 AÑOS	VALPARAISO	ENCARGADO DE TECNOLOGIA	V1. PRE CRISIS
wEEmOTzF286A	PYME	AV	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,GTD/ Manquehue	NA	Entel,Telefónica/ Movistar	NA	NA	NA	6	"PORQUE HICIMOS UNOS REQUERIMIENTOS CON LA CONTINGENCIA, DIJERON QUE SI Y LUEGO SE DEMORARON EN ENTREGARLO; UNAS TARJETAS DE INTERNET."	Demora en soluciones	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	PROVIDENCIA	NA	V2. POST CRISIS
CYvElOfAxn1G	GGEE	AV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Telefónica/ Movistar	NA	NA	NA	7. Muy satisfecho	POR LA ESTABILIDAD DEL SERVICIO Y LA BUENA COMUNICACIÓN CON LOS EJECUTIVOS ENCARGADOS DE LA CUENTA, EN QUE NO HAY CORTES DE SERVICIO SALVO POR FALLAS MAYORES O MAS GRAVES Y QUE LOS EJECUTIVOS CUANDO HAY ESE TIPO DE FALLAS SE COMUNICAN ANTES DE QUE NOS LLAMEN A NOSOTROS Y NOS INFORMAN QUE LAS FALLAS ES PRODUCTO DE X EVENTO	Buen servicio/ eficiente,Buen servicio de los ejecutivos/ apoyo/ atención,Servicio estable/ no se cae	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	6	6	6	6	7	Sí	Sí	NA	Sí	Sí	Sí	No	No	7	7	NA	7	7	7	NA	NA	Ejecutivo asignado	Ejecutivo asignado	NA	Ejecutivo asignado	Ejecutivo asignado	A través de la web con clave Mi Entel Empresas	NA	NA	7	NA	7	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	7	7	NA	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Ha mejorado	9	330	MUNICIPALIDAD	7 AÑOS	COLTAUCO RANCAGUA	ENCARGADO DE ADQUISICIONES E INFORMATICA	V1. PRE CRISIS
IfXJ2A5YDtUP	PYME	AV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	LENTITUD DEL SERVICIO LOS SERVICIO LOS SERVICIO NO ESTÁN A TIEMPO	Servicio lento	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	6	6	5	6	6	No	Sí	NA	No	No	No	Sí	No	NA	6	NA	NA	NA	NA	6	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	6	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	6	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	Sí	CORTE DE TELÉFONO Y BANDA HACHA MALA BAJA	Problemas con banda ancha,Problemas con el servicio telefónico	Sí	Si fue solucionado	6	6	Está Igual	8	120	SERVICIOS PÚBLICOS	15 AÑOS	PULICO	JEFE DE INFORMÁTICA	V1. PRE CRISIS
0Ns4izw4aY95	S/Info	AV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE ES MUCHA LA DEMORA ENTRE LA RECLAMACIÓN DE ALGÚN PROBLEMA Y QUE APAREZCAN LOS TÉCNICOS A SOLUCIONAR. SEGÚN ELLOS PORQUE ESTAMOS DISTANTES, PORQUE SON 24 HORAS, SON 36 HORAS A VECES Y EN LA COMUNA ES EL ÚNICO SERVICIO TELEFÓNICO QUE EXISTE, ENTONCES NOS QUEDAMOS SIN SEÑAL. QUE NO TIENEN UN ADECUADO SISTEMA DE RESPALDO ANTE LOS CORTES DE LUZ, DE ENERGÍA ELÉCTRICA, SE CORTA LA LUZ Y SE CAE LA SEÑAL.	Mala señal,Mal servicio	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	4	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	No	6	NA	NA	Sí	SE CORTA PORQUE SE CORTA LA LUZ, LOS DOS, INTERNET Y FIJO, SE CORTAN LAS DOS COSAS, ENTONCES LA MUNICIPALIDAD QUEDA SIN MOVIMIENTO, SIN NADA, SIN PODER HACER NADA. QUE HEMOS CONVERSADO CON ELLOS Y NOS SEÑALAN QUE NO TIENEN POSIBILIDAD DE SOLUCIONARLO POR EL MOMENTO.	Problemas con internet/ caídas/ internet lento,No solucionan problemas,Problemas técnicos/ fallas	Sí	Si fue solucionado	NA	5	NA	NA	NA	NA	NA	EMPEDRADO, 7MA REGIÓN DEL MAULE.	NA	V2. POST CRISIS
jGDblbWZVPtt	PYME	AV	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	"PORQUE EN EL ÚLTIMO TIEMPO HE TENIDO MUCHA DIFICULTAD PARA LOS ÚLTIMOS REQUERIMIENTOS; PARA CONTACTARME CON EL EJECUTIVO QUE TENÍA A CARGO PORQUE AHORA ME CAMBIARON EL EJECUTIVO Y TODO EL PROCESO ES MUY RAPIDITO, PERO EN SU MOMENTO ME COSTO CUANDO EL EJECUTIVO QUE TENÍA ASIGNADO DE TELEFONÍA FIJA DE LOS ÁNGELES ME COSTO. SOLO ESO, PORQUE DE LO CONTRARIO HUBIESE PUESTO UN 7 PORQUE NO ES MALO EL SERVICIO, NO TENGO NADA QUE DECIR, ES SOLAMENTE ESO."	No tiene contacto con los clientes/ difícil contactarse con la cia.	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	NS/NR	7	7	7	7	7	Sí	Sí	NA	No	No	No	No	No	7	7	NA	NA	NA	NA	NA	NA	Ejecutivo asignado	En tienda/ sucursales	NA	NA	NA	NA	NA	NA	7	NA	NA	7	Ejecutivo de Atención que atiende sus requerimientos Post-Venta	NA	Sí	NA	NA	NA	7	NA	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	10. Muy probable	80	SERVICIO PÚBLICO	6 AÑOS	SANTA BARBARA	JEFE DE FINANZA	V1. PRE CRISIS
vCTsNx29UmR8	MICRO	AV	REGIONES	Hombre	No	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Otra ¿Cuál?	Entel	NA	TECHILE	NA	5	"LO QUE PASA ES QUE HEMOS TRATADO DE AUMENTAR LO QUE ES LA BANDA ANCHA DEL SERVICIO, PERO SIEMPRE NOS HAN PRESENTADO UN MILLÓN DE PROBLEMAS AHÍ, ENTONCES HEMOS DECIDIDO Y ESTAMOS EN ESE TRÁMITE DE LICITAR UNA NUEVA EMPRESA QUE NOS DE LA BANDA ANCHA QUE NOSOTROS NECESITAMOS; NOSOTROS LE ESTAMOS SOLICITANDO A ELLOS PODER TRABAJAR CON LO QUE ES LA FIBRA, QUE NUESTRA CONEXIÓN SEA CON FIBRA ÓPTICA, PERO DICEN QUE NO, QUE TODAVÍA NO, QUE EN EL SECTOR DONDE NOSOTROS ESTAMOS TODAVÍA NO SE IMPLEMENTA, MIENTRAS QUE HAY OTRAS EMPRESAS QUE SI LO TIENEN. TENEMOS INTERNET BANDA ANCHA PERO ES MUY MALA LA CALIDAD."	No solucionan problemas	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	6	5	7	7	7	Sí	Sí	NA	Sí	Sí	Sí	Sí	Sí	2	2	NA	7	7	7	6	6	Ejecutivo asignado	Ejecutivo asignado	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	Ejecutivo asignado	5	7	NA	NA	Ejecutivo de Atención que atiende sus requerimientos Post-Venta	NA	No	NA	NA	NA	NA	NA	NA	No cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	Sí	PROBLEMAS DE INTERNET EN LA VELOCIDAD.	Problemas con internet/ caídas/ internet lento	Sí	No fue solucionado	NA	1. Nada dispuesto	Está Igual	0. Nada probable	150	MUNICIPIO	6 AÑOS	REGIÓN DE LA ARAUCANIA LONCOCHE	ENCARGADO DE INFORMATICA	V1. PRE CRISIS
WCZClNb4cWaE	PYME	Mas	NS/NR	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	ES BUENO EL SEERVICO,	Buen servicio/ eficiente	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	7	7	7	7	No	No	NA	Sí	Sí	Sí	No	No	NA	NA	NA	7	7	7	NA	NA	NA	NA	NA	En tienda/ sucursales	En tienda/ sucursales	En tienda/ sucursales	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Ha mejorado	10. Muy probable	100	NO RESPONDE	NO RESPONDE POR QUE LLEVA TRES MESES EN EL PAIS	NO RESPONDE	NO RESPONDE	V1. PRE CRISIS
FMqsjr5aTzWf	PYME	AP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,Telefónica/ Movistar,VTR	NA	Telefónica/ Movistar	NA	NA	NA	6	TENGO CONSTANTES CAÍDAS EN LA BANDA ANCHA DE ENTEL,SIN SEÑAL QUEDA SIN SEÑAL POR LA FIBRA ÓPTICA QUE TENGO CON ENTEL, QUEDA SIN CONEXIÓN A INTERNET.	Mal servicio internet/ se cae/ lento/ falla,Mala señal,Problemas con fibra óptica	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	5	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	Sí	HICIERON UNA INSTALACIÓN NOCTURNA EN LA CALLE, Y DE LOS DOS CONTRATOS QUE TENÍA UNO DE ESOS QUEDO APROXIMADAMENTE UNA SEMANA SIN SEÑAL Y ERA PORQUE ESTABA MAL SOLDADA LA FIBRA.	Mala señal/ problemas de señal,Con la fibra óptica	Sí	Si fue solucionado	NA	6	NA	NA	NA	NA	NA	LAS CONDES	NA	V2. POST CRISIS
cI1r8bNZ8PJt	PYME	MV	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	"PORQUE LE FALTA UN POCO DE ATENCIÓN CLIENTE; CUANDO TIENES ALGÚN PROBLEMA CON ALGÚN SERVICIO, SON MUY LENTOS PARA RESOLVER."	Mala atención,Atención lenta	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	PROVIDENCIA	NA	V2. POST CRISIS
KMqMIvNkm3QG	MICRO	AP	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel,Telefónica/ Movistar,VTR,Telefónica del Sur	Entel,Telefónica/ Movistar,VTR,Telefónica del Sur	Entel,Telefónica/ Movistar,VTR,Telefónica del Sur	NA	NA	NA	6	PORQUE NO HE TENIDO BUENA COMUNICACIÓN CON LA EJECUTIVA, NO HE TENIDO ACCESO A QUIEN SERÁ NUESTRA EJECUTIVA Y NO  HEMOS TENIDO NINGÚN PROBLEMA CON LAS LÍNEAS, NO HEMOS TENIDO NINGÚN PROBLEMA.	Mal servicio de los ejecutivos/ atención/ contacto	6	NA	NA	NA	NA	MPLS	7. Muy satisfecho	7	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	Sí	7	NA	7	Sí	NOS HICIERON UN COBRO DE UNA BOLETA ANTIGUA, DEL CUAL TENÍAMOS DESCONOCIMIENTO Y NO SABÍAMOS A QUIEN CORRESPONDE Y LA PAGAMOS IGUAL PARA PODER CONTRATAR SERVICIOS.	Cobros excesivos	Sí	Está en trámite	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	PROVIDENCIA	NA	V2. POST CRISIS
YXRmjn3nrQ1p	PYME	Mas	SANTIAGO	Mujer	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	PORQUE NO HE TENIDO PROBLEMA, ES QUE FUNCIONA BIEN EL INTERNET Ó SEA NO HAY PROBLEMA CON EL INTERNET.	No ha tenido problemas/ conforme/ todo bien,Buen servicio de internet/ rápido/ estable	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	7	7	1	7	No	No	NA	No	No	No	No	Sí	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	10. Muy probable	4	GREMIAL	NO RECUERDO PERO DEBERÍAN SER UNOS CINCO  O SEIS AÑOS SI NO RECUERDO	SANTIAGO	SECRETARIA	V1. PRE CRISIS
3DpzWhcVp9tu	PYME	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Telefónica/ Movistar	NA	NA	NA	6	PUES ES UNA RELACIÓN QUE ME ENCUENTRO CASI CONFORME POR LO MISMO PORQUE TENGO UN INTERNET MÁS RÁPIDO Y APARTE QUE DONDE VIVO YO COMO HABÍA UN CAMPO UN INTERNET QUE ANDA SUPER BIEN NO ME LLEGA DE LA OTRA RED DE AFUERA, HA SIDO CUANDO AVECES SE CAE EL INTERNET ELLOS VIENEN A ARREGLARLA RÁPIDAMENTE.	Buen servicio de internet/ rápido/ estable	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	6	7	5	7	7	No	No	NA	No	No	No	Sí	No	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	6	Está Igual	9	15	AGRÍCOLA	8 AÑOS	ÁREA METROPOLITANA SANTIAGO COMUNA WIN	ADMINISTRADOR	V1. PRE CRISIS
R3nXX0CLg0TV	S/Info	AV	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel,Telefónica/ Movistar	Entel	Telefónica/ Movistar	NA	NA	NA	6	POR QUE LA VERDAD 7 ES LO MÁXIMO Y LA VERDAD NO LLEGAN ESO, ¿POR QUE?, ES COMO COMO TENGO UN PERSONA QUE ME ATIENDE DIRECTAMENTE ES BUEN OPERADOR, TAMBIÉN CON NOTA?, POR QUE LE SOLICITO ALGO Y ME LO RESUELVE BIEN.	Soluciones rápidas,Buena atención/ amables	7. En absoluto acuerdo	NA	NA	NA	NA	MPLS	7. Muy satisfecho	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	NA	NA	7	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	SANTIGO Y CONCEPCIÓN	NA	V2. POST CRISIS
AHtev0VqcmO2	MICRO	Mas	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE TODO PUEDE SER MAS PERFECTIBLE DE LO QUE HAY, DE REPENTE HAY CORTE SIN AVISO Y SIN ANUNCIO, SE PONE LENTO EL CORREO.	Servicio lento	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	LOS ANGELES OCTAVA REGIÓN	NA	V2. POST CRISIS
asuGGBaqLSkB	PYME	AV	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	GTD/ Manquehue	NA	NA	NA	7. Muy satisfecho	PORQUE NO TENGO NINGÚN PROBLEMA CON ELLOS EL SERVICIO HA FUNCIONADO BIEN, NO HE TENIDO FALLA DEL SERVICIO O ALGO, SOLAMENTE ESO.	No ha tenido problemas/ conforme/ todo bien,Buen servicio/ eficiente	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	5	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	Sí	6	NA	7	No	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	ANTOFAGASTA	NA	V2. POST CRISIS
6kFLfG9jghQS	PYME	MV	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,VTR	NA	Entel	NA	NA	NA	5	PORQUE HAY ALGUNAS COSAS QUE NO RESPONDEN ADECUADAMENTE, PORQUE NO ME SATISFACEN Y ESO ES TODO.	Mal servicio	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	6	6	NS/NR	4	5	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	No	NA	NA	NA	NA	NA	NA	NA	No cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	3	Está Igual	4	6	ACTIVIDAD RELIGIOSO	42 MESES	LA REYNA	REPRESENTANTE LEGAL	V1. PRE CRISIS
