encriptado	SEG_GOL	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?
sV0wEGIPNhtt	MasPrem	Mujer	6	PORQUE ES BASTANTE BUENO EN CUANTO AL SERVICIO QUE TIENE
u2lRqAz7XAeY	MV	Hombre	7	PORQUE NO HE TENIDO PROBLEMAS CON ELLOS, MUY BIEN, LA VERDAD ES QUE ES LO QUE CONTRATE, FUNCIONA EL INTERNET CON VELOCIDAD ACEPTABLE, NO SE CAE, POR ESO.
MwtcivJ3Lgiq	MV	Hombre	6	POR QUE ES BUENO PERO HAY FALENCIAS EN EL SENTIDO DE LOS COBROS, NO ACTUALIZAN, SOY CLIENTE ANTIGUO Y CONTRATO UN PLAN NUEVO Y LE PAGO SETECIENTOS MIL PESOS DE INTERNET A UNA RED FIJA, Y LE CONTRATO EL MISMO SERVICIO AHORA Y VOY A PAGAR CUATROCIENTOS Y NO ME HACEN LA REBAJA QUE DEBERÍAN HACERME, NO TIENEN UNA TARIFA FIJA A LOS CLIENTES EN LOS PLANES.
PWHbp2Npo7yg	Mas	Hombre	2	PORQUE TODO EL MES HE TENIDO PROBLEMAS CON MI LINEA, SE VA Y VUELVE.  TENGO UN RESTAURANTE, NECESITO AJUSTAR LA LINEA TELEFÓNICA, NUNCA ME DIERON SOLUCIÓN, LEVA MAS DE UN MES Y SIGUE CON LO MISMO.
uTZqnWLJJ7zn	AP	Mujer	6	PORQUE EL TIEMPO DE RESPUESTA CUANDO HAY ALGÚN PROBLEMA QUE TENEMOS CON LA SEÑAL.
2MvpLhaBGJXe	Mas	Hombre	7	POR LA CALIDAD Y LA CONFIABILIDAD (NO DA MÁS INFORMACIÓN)
oqTBXfeXRHpA	MasPrem	Hombre	7	PORQUE NO HEMOS TENIDO INCONVENIENTES CON EL SERVICIO, HA FUNCIONADO BIEN.
TMBeJKqsRpy5	MasPrem	Hombre	6	PORQUE EL 7 ES OPTIMO, NO ES FALLA TODO BIEN Y DE REPENTE HAY DETALLITOS.
1H0BEEKEoQVg	MV	Hombre	6	PORQUE NO ES PARA UN 7 NI PARA UN 5 EL SERVICIO ES BUENO ES UN POCO BUENO Y NO LE PONDRÍA ALGUNA OTRA CALIFICACIÓN
kuOmDqCZZC9j	MV	Mujer	7	PORQUE EL SERVICIO SI SE CAE O ALGÚN PROBLEMA EL SERVICIO TÉCNICO ES MUY BUENO Y SE MANTIENE BASTANTE ESTABLE, APARTE SIEMPRE VAN CAMBIANDO EL MATERIAL DE FORMA MODERNA.
NddT4jL4Q8nj	MV	Hombre	6	PORQUE DE REPENTE HAY PROBLEMAS QUE NO SE PUEDEN SOLUCIONAR, UNO HACE CONSULTA SOBRE LA EMPRESA Y EL PROBLEMA QUE TIENE LA COMPAÑÍA NO PUEDEN SOLUCIONARLO, SE DEMORAN EN DAR SOLUCIONES, SE DEMORAN EN DAR RESPUESTA EN CUANTO A QUE NECESITAMOS CAMBIAR LA FIBRA ÓPTICA Y DIJERON QUE SI PERO A LA FINAL DIJERON QUE NO SE PUEDE, SE ARREGLAN PERO NO AL TIRO.
RiXxI9B24m1o	Mas	Mujer	6	PORQUE FUNCIONAN LOS EQUIPOS BIEN
qBI1oogMX8GQ	Mas	Mujer	6	PORQUE DE REPENTE SE CAE LA PAGINA, PERO HA SIDO EN FORMA INTERMITENTE.  ANTES SE ME CAÍA MAS LA PAGINA, ESTUVE A PUNTO DE CAMBIARME, PERO SE MEJORO ARTO EL SERVICIO PORQUE HICIERON INSTALAR UNA TIERRA Y ESO HIZO QUE SE ARREGLARA EL SERVICIO, AUNQUE TENGO ESA CUENTA HACE MUCHOS AÑOS, LA TIENE MI JEFE EN REALIDAD PERO LA PAGO YO, TRABAJO YO CON ELLA, PEDÍ UNA REBAJA Y NO ME LA HICIERON.
UZxSry0zbhNf	Mas	Hombre	6	PORQUE PODRÍA TENER MEJOR (NO DA MÁS INFORMACIÓN)
4z4fks5idLB5	MasPrem	Hombre	6	PORQUE CREO QUE TIENEN UN BUEN SERVICIO YA QUE EN GENERAL ME LOS ENVIAN, ME DAN LA INFORMACIÓN QUE YO NECESITO, BASTANTE PRONTO, EN GENERAL SON CONEXIONES BASTANTE ESTABLES, SOLO FUE UNA OPORTUNIDAD DE PROBLEMAS QUE NO FALTAN.
8zQdcCNDNZuN	AP	Hombre	6	POR LA DISPONIBILIDAD DEL SERVICIO.
y3xb1hvU02BO	MasPrem	Hombre	5	PORQUE NO SON EMPRESAS QUE TENGAN UNA POLÍTICA QUE PONGAN AL MEDIO DEL CLIENTE, EN FORMA ABSURDA GENERAN PLANES QUE LE COBRAN MUCHO MÁS BARATO A LOS NUEVOS CLIENTES Y A LOS ANTIGUOS LOS MANTIENEN CON PLANES MÁS CAROS, POR ESO TENEMOS QUE CAMBIARNOS, QUE HACEMOS LOS PEQUEÑOS EMPRESARIOS, CADA CIERTO TIEMPO HACEMOS PORTABILIDAD Y CAMBIANDO DE COMPAÑÍAS PORQUE NOS OFRECEN SERVICIOS MÁS BARATOS, POR ESO LA CALIFICO CON 05.
yLHVSZ07nJo5	Mas	Hombre	7	PORQUE NO HE TENIDO PROBLEMAS, BÁSICAMENTE ESO NADA MÁS Y ES BIEN TRANSPARENTE LA VERDAD EN EL SENTIDO DE QUE NO ME VEO LA NECESIDAD DE CONTACTAR A NADIE PORQUE NORMALMENTE OPERA EN FORMA ESTABLE.
XsETVuyjTHTx	Mas	Mujer	5	PORQUE LA TELEFONÍA ME PARECE QUE ES MALA PORQUE LA FIBRA ÓPTICA NO ES MUY BUENA EL INTERNET ES BUENO PERO LA TELEFONÍA NO TANTO
0NbgQiMQRa7c	MV	Hombre	6	PORQUE NO HE TENIDO PROBLEMAS, TENGO COMUNICACIÓN, COBERTURA E INTERNET.
dKsUlQ1mS3NJ	MV	Mujer	6	PUES PORQUE SIEMPRE HA ESTADO MAL. (NO DA MÁS INFORMACIÓN).
KSoFPrrVY8hX	MasPrem	Hombre	7	PORQUE NO HE TENIDO PROBLEMAS FUNCIONA BIEN Y LA VELOCIDAD Y NO SE CAE
xXOS0qClb8RV	MasPrem	Hombre	7	PORQUE NUNCA HE TENIDO PROBLEMA.
y8A71JuqfYur	MP	Hombre	1	TENGO TODOS LOS SERVICIOS MALOS, HE INSISTIDO CON LA COMPAÑÍA Y HE TENIDO QUE HACER MILES DE MALABARES.
kdwWABtLtcg7	MasPrem	Mujer	7	PORQUE NO HE TENIDO NUNCA UN PROBLEMA Y POR BUEN SERVICIO.
YfPajjsTS5gx	Mas	Hombre	7	FUNCIONA BIEN EL SERVICIO EN CASO DE QUE SE CAIGA ALGUNA COSA O HAYA ALGÚN PROBLEMA LOS TÉCNICOS ACUDEN DURANTE EL DÍA A SOLUCIONAR EL PROBLEMA.
kCebvrsPN4np	Mas	Hombre	7	PORQUE AL TENER FIBRA ÓPTICA LLEGA BIEN Y PUEDE OCUPAR TODA LA BANDA ANCHA, ANTIGUAMENTE TENIA MOVISTAR PERO ERA POR CABLE Y NO FIBRA ÓPTICA ENTONCES ERA MUY MALO.
PfE8WPBuLPz0	AV	Hombre	5	POR INTERMITENCIA A LA CONEXIÓN DE LA ESTABILIDAD DE LA RED Y LA DESCONEXIÓN O  CAÍDAS DE TELEFONÍA FIJA TAMBIÉN.
2g06igtnsdwT	MV	Hombre	6	PORQUE EN GENERAL ESTAMOS SATISFECHOS, EN CUANTO A QUE HEMOS TENIDO DE FORMA ININTERRUMPIDA EL SERVICIO DURANTE TODO ESTE TIEMPO.
byirlJSLL1AK	AV	Mujer	6	PORQUE AHORA HE TENIDO UNOS CUANTOS PROBLEMAS PORQUE NO ME PUEDEN ENVIAR LA FACTURA MENSUAL, COMO SOMOS BOLIVIANOS, NOS DESIGNAN LA PERSONA PARA ENVIAR LA FACTURA Y TODO ESO, EN LA ACTUALIZACIÓN DE DATOS Y AHÍ ES DONDE HE TENIDO LOS PROBLEMAS EN LA FACTURA.
YPfar3rcuDEg	MV	Hombre	6	ES BASTANTE BUENO EN CUANTO AL CONTACTO, COMUNICACIÓN CON EL EJECUTIVO PARA ATENDER REQUERIMIENTOS, PERO HAY VECES QUE HAY QUE ESTAR INSISTIENDO UN POCO CON ALGUNAS SOLICITUDES.
8KNNMwlgliwT	AV	Mujer	7	TIENE BUEN SERVICIO, NO TIENE FALLAS Y LA ATENCIÓN PARA CLIENTES ES BUENA.
ZzZHnqQhii2F	MasPrem	Hombre	7	"PORQUE ES BUENO EL SERVICIO,NO TENGO NINGÚN RECLAMO HASTA EL MOMENTO;OSEA ENTREGAN EL SERVICIO QUE NECESITO Y EL PRECIO EL QUE  CORRESPONDE AL MERCADO"
ebQYhxOBP5ZM	MV	Mujer	5	PORQUE EN VARIAS OPORTUNIDADES HEMOS TENIDO PROBLEMAS DE CONECTIVIDAD Y HEMOS CONTACTADO PARA SOLUCIONAR Y NO TENEMOS UN TERCERO PARA QUE NOS SOLUCIONE.
B7LJEavQ74TI	AV	Hombre	7	POR QUE NO HE TENIDO NINGÚN PROBLEMA.
J0UYW59TEdXn	MV	Hombre	4	PORQUE EL SERVICIO TUVO HARTOS PROBLEMAS TUVE HARTOS INCONVENIENTES CUANDO QUISE TRASLADAR EL SERVICIO LA ATENCION NO FUE BUENA ES MUY DIFICIL COMUNICARSE CON ELLOS PARA SOLUCIONAR PROBLEMAS QUE VAYAN UN POCO MAS ALLA DE LOS PROBLEMAS RUTINARIOS
oXyZKMHMXrwH	MV	Hombre	4	"POR QUE RESULTA QUE  EL INTERNED ESTA MUY INTERMITENTE ;LA ÚNICA."
tbqnzNU5oqBG	AV	Hombre	6	PORQUE HEMOS TENIDO CAÍDAS Y FALLAS DEL TELÉFONO, HEMOS QUEDADO UN PAR DE HORAS SIN TELÉFONO FIJO. SIN EMBARGO EL TIEMPO DE RESPUESTA ES MUY RÁPIDO LO CUAL ES MUY BUENO, EL SERVICIO AL CLIENTE ES BUENO, NUESTRA EJECUTIVA COMERCIAL CONTESTA SIEMPRE Y ESTA BIEN PREOCUPADA.
J5BqI3ZzgMkK	MasPrem	Hombre	6	PORQUE HEMOS TENIDO PROBLEMAS EN BASE A SEÑAL Y EN BASE A LA PARTE ADMINISTRATIVA.
txvqOzMCZ3Ks	MP	Hombre	7	PORQUE NO HE TENIDO NINGÚN PROBLEMA Y PORQUE EL SERVICIO QUE OFRECEN ES DE ACUERDO A LO QUE ESTOY PAGANDO.
8XLiXL47NKEZ	AV	Hombre	3	POR EL MAL SERVICIO COMERCIAL Y MAL SERVICIO DE LA FACTURA.
kupsHdIJ1Awo	Mas	Hombre	7	PORQUE ME ATIENDEN RÁPIDO, EN MENOS DE 3 HORAS LLEGAN ACÁ, ES MUY BUENA LA ATENCIÓN, ME SOLUCIONAN EL PROBLEMA RÁPIDO Y LOS TÉCNICOS TIENEN CONOCIMIENTO DEL TRABAJO QUE ESTÁN REALIZANDO.
JeEFqMq03KtE	AV	Hombre	6	PORQUE ES BUENO ES DECIR BRINDAR CIERTA CALIDAD DEL SERVICIO PERO SUELE TENER INCONVENIENTES.
SMJ6Y3EiRCVb	AV	Hombre	6	POR LA CALIDAD Y SERVICIO EN CUANTO A LA COBERTURA DE LAS COMUNICACIONES, PROBLEMAS DE DETECCIÓN DEL SISTEMA, COBERTURA, ESTABILIDAD DE LAS COMUNICACIONES, VELOCIDAD.
808K3zVMfkhB	AP	Hombre	6	PORQUE LA SITUACIÓN ESTA PERCEPTIBLE NO SE DE ELLOS LA RESPUESTA A SUS REQUERIMIENTOS PODRÍA SER MAS RÁPIDA ES ESO PERO EN SI EL SERVICIO ES MUY BUENO
85biifDBDnin	MP	Hombre	6	PORQUE EN OCASIONES SE CAE EL SISTEMA EN CUANTO AL INTERNET
YwmZAHlCxm3j	Mas	Hombre	4	POR UNOS PROBLEMAS DE FACTURACIÓN.
UdcNEfxf2aXJ	MP	Hombre	6	PORQUE EL SERVICIO ES BUENO EN ALGUNOS PUNTOS ATENCION TECNICA SERVICIO ES PERMANENTE NO TIENE CAIDAS
q00V01qYVbNk	MP	Hombre	5	DEBIDO A QUE EL SERVICIO ES MUY BUENO, INTERNET TAMBIÉN ES BUENO, EL TIEMPO DE RESPUESTA ES MEDIANO, PERO LA TELEFONÍA ES MALISIMO.
XuX3cJSYMBAj	AV	Mujer	7	PORQUE NO HE TENIDO PROBLEMAS CON ELLOS, LAS VECES QUE HAY ALGÚN PROBLEMA ME LO RESUELVEN EN EL MOMENTO
PBvlwcxzitoe	MV	Hombre	7	PORQUE TIENE LOS COSTOS BAJOS Y BUENA CANTIDAD DE MEGAS
fB2a4fAVDfPf	MV	Hombre	6	PORQUE HE TENIDO MUCHA CONTINUIDAD ES DECIR DISPONIBILIDAD DEL SERVICIO.
Cphi5Jpyb9xw	MP	Mujer	6	PORQUE DEMORAN EN ALGUNAS COSAS EN CUANTO A LA INSTALACIÓN, EL SERVICIO ES SÚPER BUENO.
z62CnBknhFas	MV	Hombre	1	POR QUE EL SERVICIO SIEMPRE TIENE DIFICULTADES, SIEMPRE HEMOS TRATO DE QUE NOS ATIENDAN PARA MEJORAR EL SERVICIO Y NO NOS HAN ECHO NINGUNA VISITA NI NADA PARA MEJORAR LA DISTRIBUCIÓN INTERNA.
Pp6eVi26Z7LJ	Mas	Mujer	6	POR LA ATENCIÓN AL CLIENTE HA SIDO EFECTIVA Y PORQUE NO ME CUESTA COMUNICARME CON ELLOS.
ZIyCXoi59Vbh	MasPrem	Mujer	6	POR EL TEMA EL DE FACTURACIÓN QUE NO ME LLEGA LA FACTURA, QUE AVECES ME LLEGA UN MES SI Y OTRO NO.
l4Qt6mDl3vIu	AV	Hombre	6	TENEMOS BUEN SERVICIO CUMPLEN CON TODO EL TEMA EL PROBLEMA ES EL CAMBIO DE EJECUTIVO NO LO CONOCEMOS PERO EN SI EL SERVICIO ES MUY BUENO
RpPPDuZqlNbT	MV	Hombre	6	PORQUE SIEMPRE HAY QUE MEJORAR COSAS EN CUANTO AL SERVICIO, EL SEGUIMIENTO MÁS QUE NADA CON EL CLIENTE O ESTAR LLAMANDO SI ES QUE ESTÁN BIEN CON EL SERVICIO, QUIZÁS DAR ALGUNA INFORMACIÓN EN CUANTO A DESPUÉS PORQUE UNO IGUAL HACE CONTRATO A LARGO AÑO CON ELLOS ENTONCES PREOCUPARSE MÁS CON EL CLIENTE.
UdveylRhLsQ6	AP	Mujer	2	PORQUE HAY MUCHAS FALTAS DE SEÑAL, MUCHAS VECES SE CORTA EL INTERNET, HAY QUE LLAMARLOS A ELLOS Y DEMORAN PARA MANDAR AL TÉCNICO ASÍ QUE CAUSA UNA PARADA DE LA FUNCIÓN DEL COLEGIO PORQUE AHORA TODO SE REALIZA POR COMPUTADOR Y NOS COMPLICA, ESTAMOS EN UN SECTOR UN POQUITO NUEVA DE HOSPICIO, ASÍ QUE EN ESTE SECTOR NO HAY MUCHA VARIEDAD DE EMPRESAS A ELEGIR, ENTEL ES EL ÚNICO EN ESTE MOMENTO QUE TIENE EN ESTE SECTOR.
rskXHjXHYPlt	MV	Hombre	6	POR QUE SIEMPRE PUEDE SER MEJOR. LA CONECTIVIDAD EN EL SISTEMA ES MUY DIFÍCIL QUE SE CAIGA.
DZsBjiSBYeuc	MP	Hombre	6	PORQUE DE REPENTE HAY PROBLEMAS QUE SE CAE LA BANDA ANCHA, ESTÁ MUY INTERMITENTE Y HAY QUE SOLUCIONAR EL PROBLEMA ACÁ. DENTRO DE LA NORMA ESTÁ OPTIMO EL SERVICIO.
Tfg58XtnuvfZ	Mas	Mujer	7	PORQUE CUANDO HAY PROBLEMA CON EL SISTEMA MANDAN TÉCNICO INMEDIATAMENTE, APARTE EL SERVICIO LO TENEMOS HACE COMO 10 AÑOS Y LA RAPIDEZ CON QUE LLEGAN LOS TÉCNICOS.
2EWri3JRFsDT	AP	Mujer	6	PORQUE TIENEN LOS PRECIOS MUY ALTOS SIN EMBARGO DAN RESPUESTA RÁPIDAMENTE.
Td3gmAmytLqB	AV	Mujer	5	PORQUE  HE TENIDO FALLAS PERO HAN SABIDO SOLUCIONARLAS
JIC5G89Msq8w	AP	Mujer	7	PORQUE NO HE TENIDO PROBLEMAS CON EL SERVICIO PRINCIPALMENTE ESO. (NO DA MAS INFORMACIÓN)
EGqKNCmdT67L	AV	Hombre	4	POR QUE HAY DE COMUNICACIÓN CON LOS EJECUTIVOS.
GROwIOGmmfca	AV	Mujer	6	POR QUE NO HAY SEGUIMIENTO, PERO EL SERVICIO HA FUNCIONADO PERO NO HAY COMO RETROALIMENTACIÓN.
pQuf1f4U841q	MasPrem	Mujer	7	PORQUE OFRECE UN BUEN SERVICIO EN CUANTO A LA VELOCIDAD DEL INTERNET Y POR LO GENERAL HAY CONECTIVIDAD BUENA.
d6AlucTDTHVE	AV	Hombre	7	PORQUE LA VERDAD NUNCA HEMOS TENIDO UN PROBLEMA Y CUANDO LLEGAMOS A TENER UN PROBLEMA QUE SON COMO 2 VECES AL AÑO MÁXIMO HEMOS TENIDO ALGÚN PROBLEMA CON ELLOS, LO SOLUCIONAN INMEDIATAMENTE DENTRO DE LAS 5 HORAS DIRÍA YO, SON SÚPER RÁPIDOS, ENTONCES AL FINAL NO TENEMOS NOSOTROS UN PROBLEMA MAYOR CON ELLOS, AL CONTRARIO SOLUCIÓN INMEDIATA, GENERALMENTE EL ASPECTO TÉCNICO FUNCIONA BIEN EN CUANTO A VELOCIDAD DE INTERNET, VELOCIDAD COMPROMETIDA, LA TELEFONÍA IP QUE ELLOS INSTALARON FUNCIONA BIEN, TODO LO QUE ESTÁ RELACIONADO CON EL CONTRATO ESTÁ FUNCIONANDO BIEN, TODO ANDA BIEN, LO QUE PROMETIERON SE CUMPLE, ASÍ QUE NO HAY PROBLEMA CON ESO COMO EMPRESA.
F8IRZVdmDu1R	AV	Mujer	6	POR QUE TIENE MAS COBERTURA AQUÍ QUE EN CHINA.
VDzKJgpHSbZc	AV	Mujer	5	PORQUE TENGO UN PROBLEMA EN UN POST VENTA YA QUE EN ALGUNAS OPORTUNIDADES NO RESPONDEN COMO YO QUISIERA Y POR PROBLEMAS DE SEÑAL.
lq055httXirq	AP	Hombre	6	PORQUE HEMOS TENIDO CAÍDAS DONDE ESTÁN LAS CAÍDAS DEL SERVICIO Y TOCA ESTAR AVISANDO A ENTEL PARA LA SOLUCIÓN ESO ES LO ÚNICO QUE HA PASADO
lTltGrw02Inv	AV	Hombre	5	PORQUE CREO QUE PODRÍA SER MEJOR EN CUANTO A VELOCIDAD.
q1JdRVcqJ5aU	AP	Hombre	5	POR QUE TENEMOS PROBLEMAS CON TODOS LOS SERVICIOS. MAS QUE NADA ATRASASOS EN INSTALACIONES, PROBLEMAS CON LA TELEFONÍA FIJA, CON EL INTERNET.
LjdqncQ0TOCE	AP	Hombre	6	PORQUE NO ESTOY COMPLETAMENTE SATISFECHO. SIN EMBARGO UNO CALIFICA LA ATENCIÓN CON LA EJECUTIVA Y CON TODO, PERO EL SERVICIO A VECES FALLA.
K7oP3OqMEfaE	AV	Hombre	7	HASTA EL MOMENTO Y A LA FECHA HA SIDO ESTABLE, NO HEMOS TENIDO PROBLEMAS DE CORTE COMO AÑOS ATRÁS.
eGrKkeeF6u5x	AV	Hombre	5	POR QUE NO GENERA LAS ASESORÍAS TÉCNICAS QUE REQUERIMOS NOSOTROS.
Sq3TwgqDAVH8	AV	Hombre	6	PORQUE HAY CIERTOS TRÁMITES ADMINISTRATIVOS QUE SON UN POCO ENGORROSOS EN CUANTO AL TIEMPO, EN LA TRAMITACIÓN DE CIERTOS CONTRATOS, PEDIDOS DE EQUIPOS, EN INSTALACIÓN, EN ESAS COSAS.
chKm6hBZ31pB	AV	Mujer	5	PORQUE TENEMOS ALGUNOS PROBLEMAS TÉCNICOS ES DECIR HAY QUE CAMBIAR EL TIPO DE TELEFONÍA EL DE BANDA ANCHA PARA ESO HAY QUE LLAMAR A SOLICITAR.
WTP1xHWOsF4D	AP	Hombre	5	POR QUE ESTE AÑO BÁSICAMENTE SE HA CAÍDO MUCHO LA SEÑAL DE TELÉFONO Y EL INTERNET BANDA ANCHA.
vD2kxsu26n0N	AV	Mujer	7	PORQUE ME ATIENDEN BIEN.
cKqL2QTKsLUC	AP	Hombre	7	POR LA DISPONIBILIDAD, LA CALIDAD DE LOS SERVICIOS, LA CALIDAD DE POST VENTA Y LES TIEMPOS DE RESPUESTA ANTE CONTINGENCIA.
3DpzWhcVp9tu	MasPrem	Hombre	6	POR QUE HE TENIDO DE REPENTE SE ME CORTA. LO BUENO ES QUE TENGO BANDA ANCHA RÁPIDA.
IjKSaRiq0I8b	AP	Mujer	7	PORQUE NO HE TENIDO  NUNCA PROBLEMA ME ADIETE BIEN CUANDO ACUDO AL EJECUTIVO
RC92JApPq1Nf	MV	Hombre	6	PORQUE NO HEMOS TENIDO MAYORES PROBLEMAS, NO LE PONGO 7 PORQUE NO PUEDE SER PERFECTO
jeYOAU05NT4A	MV	Mujer	6	PORQUE SIEMPRE ES POSIBLE MEJORAR EN CUANTO A TODO, AL SERVICIO, A LA RAPIDEZ, A LAS DEMORAS, LA FACTURACIÓN, A LOS COSTOS, TODO.
GspiwuBSTSVC	Mas	Hombre	3	PORQUE TIENE POCA SEÑAL, POCA COBERTURA Y DONDE ESTOY YO SE CAE A CADA RATO, SOLAMENTE ESO Y QUE NO SE PUEDEN NAVEGAR BIEN.
LNCSQJ5YcR0v	MV	Mujer	3	POR QUE LA COMUNICACIÓN, LA SEÑAL, DE LA RED MÓVIL, LO QUE PASA ES QUE LA SEÑAL ESTA MUY MALA, EN EL VERANO ESTUVIERON HACIENDO ARREGLOS EN LAS ANTENAS CERCANAS Y EN VEZ DE MEJORAR LA SEÑAL, EMPEORÓ.
6kFLfG9jghQS	MV	Mujer	3	PORQUE ÚLTIMAMENTE NO ME ESTÁN ATENDIENDO ADECUADAMENTE , YO ESTOY RECLAMADO QUE ME COBRAN DEMASIADO, NO HAY OTRA ALTERNATIVA DE QUITARME Y HACERME PASAR COMO UNA CASA HOGAR  Y ESO ES IMPOSIBLE PORQUE SOMOS UNA COMUNIDAD RELIGIOSA, ME PARECE MUY CARO
r88yRYWqCfvr	AP	Hombre	6	PUES PORQUE DE REPENTE SE NOS CAE.
oLGkQUM8Aja6	AP	Hombre	6	IGUAL TENEMOS UNOS PEQUEÑOS INCONVENIENTES QUE NO SE HAN SOLUCIONADOS EN OCACIONES TENEMOS INTERMITENCIA EN INTERNET
L9H6D5T9Q6FX	Mas	Hombre	5	PORQUE NO HAN PODIDO ACTUALIZAR EL SISTEMA, SIGO CON EL SISTEMA ANTIGUO.
